_inputshopbuymultiple;KUP
achievement_10683_desc;Aktywuj słowo kluczowe sabat 100 razy
achievement_10683_title;Żelazna dziewica
achievement_10684_desc;Aktywuj słowo kluczowe sabat 500 razy
achievement_10684_title;Dzik wojny
achievement_10685_desc;Aktywuj słowo kluczowe sabat 1000 razy
achievement_10685_title;„A my go zabiliśmy”
achievement_10686_desc;Aktywuj słowo kluczowe cierpliwość 10 razy
achievement_10686_title;…jest cnotą
achievement_10687_desc;Aktywuj słowo kluczowe cierpliwość 100 razy
achievement_10687_title;Opanowanie
achievement_10688_desc;Aktywuj słowo kluczowe cierpliwość 500 razy
achievement_10688_title;Stracić cierpliwość to przegrać bitwę
achievement_10689_desc;Aktywuj słowo kluczowe cierpliwość 1000 razy
achievement_10689_title;Łagodna forma rozpaczy
achievement_11000_desc;Wygraj rozgrywki ({0}) talią potworów podczas aktywnego wyzwania
achievement_11000_new_desc;Wygraj rozgrywki ({0}) Potworami podczas aktywnego wyzwania
achievement_11001_desc;Ukończ 3 zadania, wspierając Potwory podczas wyzwania.
achievement_11001_title;Sługa
achievement_11002_desc;Ukończ 5 zadań, wspierając Potwory podczas wyzwania.
achievement_11002_title;Uczeń
achievement_11003_desc;Ukończ 10 zadań, wspierając Potwory podczas wyzwania.
achievement_11003_title;Akolita
achievement_11004_desc;Ukończ 15 zadań, wspierając Potwory podczas wyzwania.
achievement_11004_title;Pochlebca
achievement_11005_desc;Ukończ 25 zadań, wspierając Potwory podczas wyzwania.
achievement_11005_title;Kolos
achievement_11010_desc;Wygraj rozgrywki ({0}) talią Skellige podczas aktywnego wyzwania
achievement_11010_new_desc;Wygraj rozgrywki ({0}) Skellige podczas aktywnego wyzwania
achievement_11011_desc;Ukończ 3 zadania, wspierając Skellige podczas wyzwania.
achievement_11011_title;Najeźdźca
achievement_11012_desc;Ukończ 5 zadań, wspierając Skellige podczas wyzwania.
achievement_11012_title;Wyjęty spod prawa
achievement_11013_desc;Ukończ 10 zadań, wspierając Skellige podczas wyzwania.
achievement_11013_title;Łupieżca
achievement_11014_desc;Ukończ 15 zadań, wspierając Skellige podczas wyzwania.
achievement_11014_title;Pierwszy oficer
achievement_11015_desc;Ukończ 25 zadań, wspierając Skellige podczas wyzwania.
achievement_11015_title;Piracki kapitan
achievement_11020_desc;Wygraj rozgrywki ({0}), grając talią Królestw Północy podczas aktywnego wyzwania
achievement_11020_new_desc;Wygraj rozgrywki ({0}) Królestwami Północy podczas aktywnego wyzwania
achievement_11021_desc;Ukończ 3 zadania, wspierając Królestwa Północy podczas wyzwania.
achievement_11021_title;Żółtodziób
achievement_11022_desc;Ukończ 5 zadań, wspierając Królestwa Północy podczas wyzwania.
achievement_11022_title;Zastępca
achievement_11023_desc;Ukończ 10 zadań, wspierając Królestwa Północy podczas wyzwania.
achievement_11023_title;Lojalista
achievement_11024_desc;Ukończ 15 zadań, wspierając Królestwa Północy podczas wyzwania.
achievement_11024_title;Patriota
achievement_11025_desc;Ukończ 25 zadań, wspierając Królestwa Północy podczas wyzwania.
achievement_11025_title;Ku chwale ojczyzny
achievement_11030_desc;Wygraj rozgrywki ({0}), grając talią Nilfgaardu podczas aktywnego wyzwania
achievement_11030_new_desc;Wygraj rozgrywki ({0}) Nilfgaardem podczas aktywnego wyzwania
achievement_11031_desc;Ukończ 3 zadania, wspierając Nilfgaard podczas wyzwania.
achievement_11031_title;Szpieg
achievement_11032_desc;Ukończ 5 zadań, wspierając Nilfgaard podczas wyzwania.
achievement_11032_title;Skrytobójca
achievement_11033_desc;Ukończ 10 zadań, wspierając Nilfgaard podczas wyzwania.
achievement_11033_title;Nożownik
achievement_11034_desc;Ukończ 15 zadań, wspierając Nilfgaard podczas wyzwania.
achievement_11034_title;Mistrz szpiegowski
achievement_11035_desc;Ukończ 25 zadań, wspierając Nilfgaard podczas wyzwania.
achievement_11035_title;Wola cesarza
achievement_11040_desc;Wygraj rozgrywki ({0}), grając talią Scoia'tael podczas aktywnego wyzwania
achievement_11040_new_desc;Wygraj rozgrywki ({0}) Scoia'tael podczas aktywnego wyzwania
achievement_11041_desc;Ukończ 3 zadania, wspierając Scoia'tael podczas wyzwania.
achievement_11041_title;Powstaniec
achievement_11042_desc;Ukończ 5 zadań, wspierając Scoia'tael podczas wyzwania.
achievement_11042_title;Rzezimieszek
achievement_11043_desc;Ukończ 10 zadań, wspierając Scoia'tael podczas wyzwania.
achievement_11043_title;Rewolucjonista
achievement_11044_desc;Ukończ 15 zadań, wspierając Scoia'tael podczas wyzwania.
achievement_11044_title;Fanatyk
achievement_11045_desc;Ukończ 25 zadań, wspierając Scoia'tael podczas wyzwania.
achievement_11045_title;Dowódca komanda
achievement_11050_desc;Wygraj rozgrywki ({0}), grając talią Syndykatu podczas aktywnego wyzwania
achievement_11050_new_desc;Wygraj rozgrywki ({0}) Syndykatem podczas aktywnego wyzwania
achievement_11051_title;Chłopiec na posyłki
achievement_11052_title;Drobny rzezimieszek
achievement_11053_title;Zastępca
achievement_11054_title;Prawa ręka
achievement_11055_title;Boss
achievement_11060_desc;Ukończ zadania wyzwania ({0})
achievement_11060_new_desc;Ukończ zadania wyzwania ({0})
achievement_11061_title;Najemna pomoc
achievement_11062_title;Mediator
achievement_11063_title;Wolny strzelec
achievement_11064_title;Najemnik
achievement_11065_title;Kondotier
achievement_11066_desc;Wzmocnij Shani do 20 pkt.
achievement_11066_title;Pozdrowienia od Radowida
achievement_12001_desc;Wygraj 1 partię na planszy Most nad Jarugą
achievement_12001_title;Bitwa o most na Jarudze
achievement_12002_desc;Wygraj 15 partii na planszy Most nad Jarugą
achievement_12002_title;Za Lyrię!
achievement_12003_desc;Wygraj 50 partii na planszy Most nad Jarugą
achievement_12003_title;Mistrzostwo walk mostowych
achievement_12005_desc;Ukończ 1 zadanie dzienne podczas urodzinowej imprezy Ciri i Yennefer!
achievement_12005_title;Zacznij imprezę!
achievement_12006_desc;Ukończ 2 zadania dzienne podczas urodzinowej imprezy Ciri i Yennefer!
achievement_12006_title;Pomyśl życzenie!
achievement_12007_desc;Ukończ 3 zadania dzienne podczas urodzinowej imprezy Ciri i Yennefer!
achievement_12007_title;Sto lat!
achievement_12009_title;Grosza daj wiedźminowi
achievement_12009_title_alt;Znak wiedźmina
achievement_12009_title_alt_2;Grosza daj wilkowi
achievement_12010_title;Grosza daj swej księżniczce
achievement_12010_title_alt;Znak księżniczki
achievement_12011_title;Grosza daj swej czarodziejce
achievement_12011_title_alt;Znak czarodziejki
achievement_12013_title;Zwykły najemnik
achievement_12014_title;Nie tylko najemnik
achievement_12015_title;Nie taki zwykły najemnik
achievement_12017_title;Graj i nie gadaj
achievement_12024_title;Wielkie przetasowanie
achievement_12028_title;Ostateczne przetasowanie
achievement_12030_desc;Otwórz beczkę
achievement_12030_title;Otwórz sobie beczkę
achievement_12035_title;Wciśnij GG, żeby okazać szacunek
achievement_12040_desc;Wygraj jedną partię ze skórką Gascona
achievement_12040_title;Za Brossardów!
achievement_12041_desc;Wygraj 15 partii ze skórką Gascona
achievement_12041_title;Za Kundli ze Spalli!
achievement_12042_desc;Wygraj 50 partii ze skórką Gascona
achievement_12042_title;Za Księcia Psów!
achievement_12044_title;Wielka, zła czerwona czapka
achievement_12045_title;Z cukru
achievement_13005_desc;Wygraj 10 partii ze skórką Sklepa
achievement_13005_title;Świetnie!
achievement_20001_desc;Zagraj w sieci w dowolnym trybie.
achievement_20001_title;Co ci szkodzi spróbować, mówili
achievement_20002_desc;Zagraj w sieci 5 razy w dowolnym trybie.
achievement_20002_title;Jak kamień w wodę
achievement_20003_desc;Zagraj w sieci 25 razy w dowolnym trybie.
achievement_20003_title;Grać, żeby wygrać
achievement_20004_desc;Zagraj w sieci 100 razy w dowolnym trybie.
achievement_20004_title;Młody dowódca
achievement_20005_desc;Zagraj w sieci 500 razy w dowolnym trybie.
achievement_20005_title;Zdobywca
achievement_20100_desc;Pogratuluj przeciwnikowi.
achievement_20100_title;Dobre maniery
achievement_20101_desc;Pogratuluj przeciwnikowi 10 razy.
achievement_20101_title;Uściśnięcie dłoni
achievement_20102_desc;Pogratuluj przeciwnikowi 100 razy.
achievement_20102_title;Wzór sportowca
achievement_20103_desc;Pogratuluj przeciwnikowi 200 razy.
achievement_20103_title;Godny rywal
achievement_20104_desc;Pogratuluj przeciwnikowi 500 razy.
achievement_20104_title;Nie powstrzymuj mnie teraz
achievement_20105_desc;Pogratuluj przeciwnikowi 1000 razy.
achievement_20105_title;Świetna zabawa
achievement_20106_desc;Pogratuluj przeciwnikowi 5000 razy.
achievement_20106_title;W objęciach ekstazy
achievement_20200_desc;Wygraj 100 partii z umiejętnością bazową każdej frakcji.
achievement_20200_title;Wszystkomający
achievement_20210_desc;Wygraj 100 partii z każdą umiejętnością bazową Potworów.
achievement_20210_title;Koszmar
achievement_20211_desc;Wygraj 100 partii z umiejętnością Skorupa.
achievement_20211_title;Mistrzostwo Skorupy
achievement_20212_desc;Wygraj 100 partii z umiejętnością Rój Krabopająków.
achievement_20212_title;Mistrzostwo Roju Krabopająków
achievement_20213_desc;Wygraj 100 partii z umiejętnością Moc Natury.
achievement_20213_title;Mistrzostwo Mocy Natury
achievement_20214_desc;Wygraj 100 partii z umiejętnością Białe Zimno.
achievement_20214_title;Mistrzostwo Białego Zimna
achievement_20220_desc;Wygraj 100 partii z każdą umiejętnością bazową Nilfgaardu.
achievement_20220_title;Cesarz
achievement_20221_desc;Wygraj 100 partii z umiejętnością Areszt.
achievement_20221_title;Mistrzostwo Aresztu
achievement_20222_desc;Wygraj 100 partii z umiejętnością Blokada.
achievement_20222_title;Mistrzostwo Blokady
achievement_20223_desc;Wygraj 100 partii z umiejętnością Cesarska Formacja.
achievement_20223_title;Mistrzostwo Cesarskiej Formacji
achievement_20224_desc;Wygraj 100 partii z umiejętnością Taktyczna Decyzja.
achievement_20224_title;Mistrzostwo Taktycznej Decyzji
achievement_20230_desc;Wygraj 100 partii z każdą umiejętnością bazową Królestw Północy.
achievement_20230_title;Król królów
