_inputshopbuymultiple;ACQUISTA
achievement_10507_desc;Impartisci ordini a 500 unità nelle partite online.
achievement_10507_title;Cieca obbedienza
achievement_10508_desc;Impartisci ordini a 1.000 unità nelle partite online.
achievement_10508_title;Seguite il capo!
achievement_10509_desc;Distruggi 10 unità non umane nelle partite online.
achievement_10509_title;Paura e terrore
achievement_10510_desc;Distruggi 100 unità non umane nelle partite online.
achievement_10510_title;Le tue ultime parole?
achievement_10511_desc;Distruggi 1.000 unità non umane nelle partite online.
achievement_10511_title;Umanizzatore
achievement_10512_desc;Controlla 10 unità con 10 di forza contemporaneamente nelle partite online.
achievement_10512_title;Mi piace, voto dieci
achievement_10513_desc;Popola tutta la tua metà di campo con unità e/o manufatti.
achievement_10513_title;Inizia a esserci un po' di calca
achievement_10514_desc;Usa almeno 1 commento in 10 partite online diverse.
achievement_10514_title;Fatti sotto!
achievement_10515_desc;Usa almeno 1 commento in 100 partite online diverse.
achievement_10515_title;Tutto qui?
achievement_10516_desc;Usa almeno 1 commento in 1.000 partite online diverse.
achievement_10516_title;Lo senti il mio RUGGITO?
achievement_10517_desc;Ottieni più di 30 punti in un singolo turno in una partita online.
achievement_10517_title;Che giocata!
achievement_10518_desc;Infliggi 10 danni alle tue unità nelle partite online.
achievement_10518_title;Non sentirai niente
achievement_10519_desc;Infliggi 100 danni alle tue unità nelle partite online.
achievement_10519_title;A volte bisogna soffrire
achievement_10520_desc;Infliggi 1.000 danni alle tue unità nelle partite online.
achievement_10520_title;Punizione disciplinare
achievement_10521_desc;Vinci un round ottenendo 100 punti in più dell'avversario in una partita online.
achievement_10521_title;Annientamento
achievement_10522_desc;Vinci il primo round rimanendo con 0 carte in mano in una partita online.
achievement_10522_title;O la va o la spacca
achievement_10523_desc;Vinci una partita online dopo aver passato il primo round con 10 carte in mano.
achievement_10523_title;Piano segreto
achievement_10524_desc;Vinci una partita online dopo aver usato tutti i ripescaggi nel primo round.
achievement_10524_title;Fate la vostra puntata!
achievement_10525_desc;Distruggi 5 o più unità nemiche in un turno durante una partita online.
achievement_10525_title;Esecuzione perfetta
achievement_10526_desc;Pesca il tuo intero mazzo e vinci una partita online.
achievement_10526_title;Niente sprechi
achievement_10527_desc;Gioca 30 carte Oro nelle partite online.
achievement_10527_title;Qualità, non quantità
achievement_10528_desc;Gioca 100 carte premium nelle partite online.
achievement_10528_title;Visto che roba?
achievement_10529_desc;Vinci una partita senza distruggere nessuna carta dell'avversario.
achievement_10529_title;Pace e amore
achievement_10530_desc;Vinci l'ultimo round con 0 carte nella metà di campo avversaria in una partita online.
achievement_10530_title;Distruzione totale
achievement_10531_desc;Vinci una partita usando un mazzo con un costo di reclutamento complessivo massimo di 100.
achievement_10531_title;Il gwent dei poveri
achievement_10533_desc;Fai in modo di avere almeno 5 stati su una singola unità in una partita online.
achievement_10533_title;C-cambio!
achievement_10534_desc;Vinci una partita online in meno di 7 minuti.
achievement_10534_title;Veni, vidi, vici
achievement_10536_desc;Gioca 1.000 carte nelle partite online.
achievement_10536_title;Mille
achievement_10537_desc;Gioca 10.000 carte nelle partite online.
achievement_10537_title;Castello di carte
achievement_10538_desc;Gioca 100.000 carte nelle partite online.
achievement_10538_title;Mischia e rimischia...
achievement_10539_desc;Attiva 10 abilità Ultimo desiderio nelle partite online.
achievement_10539_title;Colpiscimi!
achievement_10540_desc;Attiva 100 abilità Ultimo desiderio nelle partite online.
achievement_10540_title;Non fate prigionieri
achievement_10541_desc;Attiva 1.000 abilità Ultimo desiderio nelle partite online.
achievement_10541_title;Degno sacrificio
achievement_10542_desc;Ustiona un'unità con almeno 50 di forza in una partita online.
achievement_10542_title;Più grandi sono...
achievement_10543_desc;Vinci una partita online restando con 0 carte in mano alla fine di ogni round.
achievement_10543_title;Senza freni
achievement_10544_desc;Metti in gioco 10 unità dal tuo cimitero nelle partite online.
achievement_10544_title;Metodi non ortodossi
achievement_10545_desc;Metti in gioco 100 unità dal tuo cimitero nelle partite online.
achievement_10545_title;Ferita superficiale
achievement_10546_desc;Metti in gioco 1.000 unità dal tuo cimitero nelle partite online.
achievement_10546_title;Qualcuno ha chiamato un medico?
achievement_10547_desc;Vinci una partita online in cui una delle tue unità ha almeno 50 di forza.
achievement_10547_title;Fisico bestiale
achievement_10548_desc;Trasforma una carta durante una partita online.
achievement_10548_title;Metamorfosi
achievement_10549_desc;Vinci una partita online in cui distruggi almeno 3 unità con 1 carta.
achievement_10549_title;Trinità
achievement_10550_desc;Sostituisci un effetto su fila con un altro in una partita online.
achievement_10550_title;Sfidare gli elementi
achievement_10551_title;Piacere di conoscerti
achievement_10552_title;Vuoi farmi da aiutante?
achievement_10553_title;Compagni d'arme
achievement_10554_title;Spiriti affini
achievement_10555_title;Primo sangue
achievement_10556_title;Carneficina
achievement_10557_title;Macello
achievement_10558_title;Boia
achievement_10559_title;Disintossicazione
achievement_10560_title;Come mamma li ha fatti
achievement_10561_title;Concentrato
achievement_10562_title;Purista
achievement_10563_title;Infervorato
achievement_10564_title;Infuriato
achievement_10565_title;Impazzito
achievement_10566_title;RAAAARGHHH!
achievement_10567_title;Missionario
achievement_10568_title;Colono
achievement_10569_title;Colonizzatore
achievement_10570_title;Dominatore
achievement_10571_title;Ehilà, vicino!
achievement_10572_title;La forza della differenza
achievement_10573_title;L'unione fa la forza!
achievement_10574_title;Figli della natura
achievement_10575_title;Punturina
achievement_10576_title;Macchiato di sangue
achievement_10577_title;Fradicio di sangue
achievement_10578_title;Bagno di sangue
achievement_10579_title;Brocchiero
achievement_10580_title;Scudo ad aquilone
achievement_10581_title;Palvese
achievement_10582_title;Pluteo
achievement_10583_title;Una goccia nel calice
achievement_10584_title;Esperto di veleni
achievement_10585_title;Gusto assassino
achievement_10586_title;Polvere di iocaina
achievement_10587_title;Abile e arruolato
achievement_10588_title;La dolce vita
achievement_10589_title;Forma smagliante
achievement_10590_title;Aspettativa di vita elevata
achievement_10591_title;Vulnerabile
achievement_10592_title;Indifeso
achievement_10593_title;Forza bruta
achievement_10594_title;Spezza-scudi
achievement_10595_desc;Distruggi un'unità avvelenata senza infliggere un'altra carica di Avvelenamento.
achievement_10595_title;Assassino irrequieto
achievement_10596_desc;Vinci una partita con un'abilità del Sindacato senza spendere monete.
achievement_10596_title;Niente soldi, niente problemi
achievement_10597_desc;Vinci una partita con ancora 9 monete dopo aver usato un'abilità del Sindacato.
achievement_10597_title;Tasche profonde
achievement_10598_desc;Vinci una partita senza più monete dopo aver usato un'abilità del Sindacato.
achievement_10598_title;Fino all'ultimo centesimo
achievement_10599_title;Spendaccione
achievement_10600_title;Pidocchioso
achievement_10601_title;Taccagno
achievement_10602_title;Spilorcio
achievement_10603_title;Avaro
achievement_10604_title;Spiccioletti
achievement_10605_title;Borsello pesante
achievement_10606_title;Investitore
achievement_10607_title;Capitale di rischio
achievement_10608_title;Nuovo membro
achievement_10609_title;Benefici del Sindacato
achievement_10610_title;Un'offerta che non puoi rifiutare
achievement_10611_title;Accredito finale
achievement_10612_title;Salvadanaio
achievement_10613_title;Accumulatore
achievement_10614_title;Ammassatore
achievement_10615_title;Caveau
achievement_10620_title;Ricercato
achievement_10621_title;Marchiato
achievement_10622_title;Inseguito
achievement_10623_title;Braccato
achievement_10624_title;Primo pagamento
achievement_10625_title;Piccola impresa
achievement_10626_title;Molto ricco
achievement_10627_title;Bolla finanziaria
achievement_10628_title;Bullo
achievement_10629_title;Bruto
achievement_10630_title;Energumeno
achievement_10631_title;Bestione
achievement_10634_desc;Aggiungi Armatura alle unità 10 volte.
achievement_10634_title;Guerriero di spessore
achievement_10635_desc;Aggiungi Armatura alle unità 100 volte.
achievement_10635_title;Acciaio e relax
achievement_10636_desc;Aggiungi Armatura alle unità 500 volte.
achievement_10636_title;Che temperamento!
achievement_10637_desc;Aggiungi Armatura alle unità 1.000 volte.
achievement_10637_title;Acciaio temprato
achievement_10638_desc;Attiva Barricata 10 volte.
achievement_10638_title;Barricata
achievement_10639_desc;Attiva Barricata 100 volte.
achievement_10639_title;Avamposto
achievement_10640_desc;Attiva Barricata 500 volte.
achievement_10640_title;Forte
achievement_10641_desc;Attiva Barricata 1.000 volte.
achievement_10641_title;Castello
achievement_10642_desc;Attiva Vulnerabile 10 volte.
achievement_10642_title;Solo un graffio
achievement_10643_desc;Attiva Vulnerabile 100 volte.
achievement_10643_title;Ho visto di peggio
achievement_10644_desc;Attiva Vulnerabile 500 volte.
achievement_10644_title;Sono invincibile
achievement_10645_desc;Attiva Vulnerabile 1.000 volte.
achievement_10645_title;Ti stacco le gambe a morsi
achievement_10646_desc;Raggiungi la terza fase nelle carte Evoluzione dell'espansione Master Mirror 5 volte.
achievement_10646_title;Furfante livello 1
achievement_10647_desc;Raggiungi la terza fase nelle carte Evoluzione dell'espansione Master Mirror 50 volte.
achievement_10647_title;Sicario livello 10
achievement_10648_desc;Raggiungi la terza fase nelle carte Evoluzione dell'espansione Master Mirror 250 volte.
achievement_10648_title;Boss livello 30
achievement_10649_desc;Raggiungi la terza fase nelle carte Evoluzione dell'espansione Master Mirror 500 volte.
achievement_10649_title;Padrino livello 100
achievement_10650_desc;Infliggi danni con Gelo 25 volte.
achievement_10650_title;Brividi
achievement_10651_desc;Infliggi danni con Gelo 250 volte.
achievement_10651_title;Limonata ghiacciata
achievement_10652_desc;Infliggi danni con Gelo 1250 volte.
achievement_10652_title;Fa freschino...
achievement_10653_desc;Infliggi danni con Gelo 2500 volte.
achievement_10653_title;Tempesta artica
achievement_10654_desc;Attiva Congiura 10 volte.
achievement_10654_title;È solo una teoria del complotto!
achievement_10655_desc;Attiva Congiura 100 volte.
achievement_10655_title;La Terra è piatta
achievement_10656_desc;Attiva Congiura 500 volte.
achievement_10656_title;Uomini in nero
achievement_10657_desc;Attiva Congiura 1000 volte.
achievement_10657_title;Nuovo ordine mondiale
achievement_10658_desc;Evoca 10 unità Treant errante.
achievement_10658_title;Verdeggiando
achievement_10659_desc;Evoca 100 unità Treant errante.
achievement_10659_title;Figli di Madre Natura
achievement_10660_desc;Evoca 500 unità Treant errante.
achievement_10660_title;Sembra quasi un mare d'erba
achievement_10661_desc;Evoca 1000 unità Treant errante.
achievement_10661_title;La sagra del Treant
achievement_10662_desc;Evoca 10 unità Volontario.
achievement_10662_title;Squadra
achievement_10663_desc;Evoca 100 unità Volontario.
achievement_10663_title;Compagnia
achievement_10664_desc;Evoca 500 unità Volontario.
achievement_10664_title;Battaglione
achievement_10665_desc;Evoca 1000 unità Volontario.
achievement_10665_title;Brigata
achievement_10666_desc;Evoca 10 unità Fante della Rosa.
achievement_10666_title;Fante della Rosa Fiammeggiante
achievement_10667_desc;Evoca 100 unità Fante della Rosa.
achievement_10667_title;Cavaliere della Rosa Fiammeggiante
achievement_10668_desc;Evoca 500 unità Fante della Rosa.
achievement_10668_title;Maresciallo della Rosa Fiammeggiante
achievement_10669_desc;Evoca 1000 unità Fante della Rosa.
achievement_10669_title;Gran maestro della Rosa Fiammeggiante
achievement_10670_desc;Attiva Veterano 10 volte.
achievement_10670_title;Schiavo
achievement_10671_desc;Attiva Veterano 100 volte.
achievement_10671_title;Schiavo liberato
achievement_10672_desc;Attiva Veterano 500 volte.
achievement_10672_title;Sevirato
achievement_10673_desc;Attiva Veterano 1000 volte.
achievement_10673_title;Huscarlo
achievement_10674_desc;Metti in gioco 10 Witcher
achievement_10674_title;Rapimento
achievement_10675_desc;Metti in gioco 100 Witcher
achievement_10675_title;Prova delle Erbe
achievement_10676_desc;Metti in gioco 500 Witcher
achievement_10676_title;Brutale addestramento marziale
achievement_10677_desc;Metti in gioco 1000 Witcher
achievement_10677_title;Ammazzamostri esperti
achievement_10678_desc;Attiva Adrenalina 10 volte
achievement_10678_title;Scarica di adrenalina
achievement_10679_desc;Attiva Adrenalina 100 volte
achievement_10679_title;Adrenalina-dipendente
achievement_10680_desc;Attiva Adrenalina 500 volte
achievement_10680_title;Iniezioni di adrenalina
achievement_10681_desc;Attiva Adrenalina 1000 volte
achievement_10681_title;Devo darmi una calmata
achievement_11001_desc;Completa 3 missioni sostenendo i Mostri durante un evento sfida.
achievement_11001_title;Seguace
achievement_11002_desc;Completa 5 missioni sostenendo i Mostri durante un evento sfida.
achievement_11002_title;Apprendista
achievement_11003_desc;Completa 10 missioni sostenendo i Mostri durante un evento sfida.
achievement_11003_title;Accolito
achievement_11004_desc;Completa 15 missioni sostenendo i Mostri durante un evento sfida.
achievement_11004_title;Sicofante
achievement_11005_desc;Completa 25 missioni sostenendo i Mostri durante un evento sfida.
achievement_11005_title;Colosso
achievement_11011_desc;Completa 3 missioni sostenendo Skellige durante un evento sfida.
achievement_11011_title;Predone
achievement_11012_desc;Completa 5 missioni sostenendo Skellige durante un evento sfida.
achievement_11012_title;Fuorilegge
achievement_11013_desc;Completa 10 missioni sostenendo Skellige durante un evento sfida.
achievement_11013_title;Saccheggiatore
achievement_11014_desc;Completa 15 missioni sostenendo Skellige durante un evento sfida.
achievement_11014_title;Nostromo
achievement_11015_desc;Completa 25 missioni sostenendo Skellige durante un evento sfida.
achievement_11015_title;Capitano pirata
achievement_11021_desc;Completa 3 missioni sostenendo i Regni Settentrionali durante un evento sfida.
achievement_11021_title;Recluta
achievement_11022_desc;Completa 5 missioni sostenendo i Regni Settentrionali durante un evento sfida.
achievement_11022_title;Tenente
achievement_11023_desc;Completa 10 missioni sostenendo i Regni Settentrionali durante un evento sfida.
achievement_11023_title;Lealista
achievement_11024_desc;Completa 15 missioni sostenendo i Regni Settentrionali durante un evento sfida.
achievement_11024_title;Patriota
achievement_11025_desc;Completa 25 missioni sostenendo i Regni Settentrionali durante un evento sfida.
achievement_11025_title;Per il re e il regno!
achievement_11031_desc;Completa 3 missioni sostenendo Nilfgaard durante un evento sfida.
achievement_11031_title;Spia
achievement_11032_desc;Completa 5 missioni sostenendo Nilfgaard durante un evento sfida.
achievement_11032_title;Assassino
achievement_11033_desc;Completa 10 missioni sostenendo Nilfgaard durante un evento sfida.
achievement_11033_title;Traditore
achievement_11034_desc;Completa 15 missioni sostenendo Nilfgaard durante un evento sfida.
achievement_11034_title;Capo dello spionaggio
achievement_11035_desc;Completa 25 missioni sostenendo Nilfgaard durante un evento sfida.
achievement_11035_title;Volontà dell'imperatore
achievement_11041_desc;Completa 3 missioni sostenendo gli Scoia'tael durante un evento sfida.
achievement_11041_title;Insorto
achievement_11042_desc;Completa 5 missioni sostenendo gli Scoia'tael durante un evento sfida.
achievement_11042_title;Tagliagole
achievement_11043_desc;Completa 10 missioni sostenendo gli Scoia'tael durante un evento sfida.
achievement_11043_title;Rivoluzionario
achievement_11044_desc;Completa 15 missioni sostenendo gli Scoia'tael durante un evento sfida.
achievement_11044_title;Fanatico
achievement_11045_desc;Completa 25 missioni sostenendo gli Scoia'tael durante un evento sfida.
achievement_11045_title;Comandante del commando
achievement_11051_title;Garzone
achievement_11052_title;Ladruncolo
achievement_11053_title;Tenente
achievement_11054_title;Braccio destro
achievement_11055_title;Capofamiglia
achievement_11061_title;Aiuto offresi!
achievement_11062_title;Mediatore
achievement_11063_title;Libero professionista
achievement_11064_title;Mercenario
achievement_11065_title;Soldato di ventura
achievement_11066_desc;Potenzia Shani a 20.
achievement_11066_title;Da Radovid con amore
achievement_12001_desc;Vinci 1 partita con il tavoliere Ponte sullo Yaruga equipaggiato
achievement_12001_title;Battaglia del Ponte sullo Yaruga
achievement_12002_desc;Vinci 15 partite con il tavoliere Ponte sullo Yaruga equipaggiato
achievement_12002_title;Per Lyria!
achievement_12003_desc;Vinci 50 partite con il tavoliere Ponte sullo Yaruga equipaggiato
achievement_12003_title;Mastro d'assedio
achievement_12005_desc;Completa 1 missione giornaliera durante la festa di compleanno di Yennefer e Ciri!
achievement_12005_title;Che la festa abbia inizio!
achievement_12006_desc;Completa 2 missioni giornaliere durante la festa di compleanno di Yennefer e Ciri!
achievement_12006_title;Esprimi un desiderio!
achievement_12007_desc;Completa 3 missioni giornaliere durante la festa di compleanno di Yennefer e Ciri!
achievement_12007_title;Buon compleanno!
achievement_13005_desc;Vinci 10 partite con la skin Empørio
achievement_13005_title;Adorabile!
achievement_20001_desc;Gioca una partita online in qualsiasi modalità.
achievement_20001_title;Proviamo, cosa può andare storto?
achievement_20002_desc;Gioca 5 partite online in qualsiasi modalità.
achievement_20002_title;Abboccano i lucci!
achievement_20003_desc;Gioca 25 partite online in qualsiasi modalità.
achievement_20003_title;Verso la vittoria
achievement_20004_desc;Gioca 100 partite online in qualsiasi modalità.
achievement_20004_title;Comandante in erba
achievement_20005_desc;Gioca 500 partite online in qualsiasi modalità.
achievement_20005_title;Conquistatore
achievement_20100_desc;Invia Bella partita! a un avversario.
achievement_20100_title;Buone maniere
achievement_20101_desc;Invia Bella partita! a 10 avversari.
achievement_20101_title;Diamoci la mano
achievement_20102_desc;Invia Bella partita! a 100 avversari.
achievement_20102_title;Vero sportivo
achievement_20103_desc;Invia Bella partita! a 200 avversari.
achievement_20103_title;Degno avversario
achievement_20104_desc;Invia Bella partita! a 500 avversari.
achievement_20104_title;Inarrestabile
achievement_20105_desc;Invia Bella partita! a 1.000 avversari.
achievement_20105_title;Che spasso
achievement_20106_desc;Invia Bella partita! a 5.000 avversari.
achievement_20106_title;In estasi
achievement_20200_desc;Vinci 100 partite con ogni abilità base della fazione.
achievement_20200_title;Factotum
achievement_20210_desc;Vinci 100 partite con ogni abilità base dei Mostri.
achievement_20210_title;Incubo
achievement_20211_desc;Vinci 100 partite con l'abilità Carapace.
achievement_20211_title;Carapace competente
achievement_20212_desc;Vinci 100 partite con l'abilità Sciame di arachas.
achievement_20212_title;Sciame di arachas competente
achievement_20213_desc;Vinci 100 partite con l'abilità Forza della natura.
achievement_20213_title;Forza della natura competente
achievement_20214_desc;Vinci 100 partite con l'abilità Bianco Gelo
achievement_20214_title;Bianco Gelo competente
achievement_20220_desc;Vinci 100 partite con ogni abilità base di Nilfgaard.
achievement_20220_title;L'imperatore
achievement_20221_desc;Vinci 100 partite con l'abilità Imprigionamento
achievement_20221_title;Imprigionamento competente
achievement_20222_desc;Vinci 100 partite con l'abilità Isolamento.
achievement_20222_title;Isolamento competente
achievement_20223_desc;Vinci 100 partite con l'abilità Formazione imperiale.
achievement_20223_title;Formazione imperiale competente
achievement_20224_desc;Vinci 100 partite con l'abilità Decisione strategica.
achievement_20224_title;Decisione strategica competente
achievement_20230_desc;Vinci 100 partite con ogni abilità base dei Regni Settentrionali.
achievement_20230_title;Il re dei re
achievement_20231_desc;Vinci 100 partite con l'abilità Fervore ispirato.
achievement_20231_title;Fervore ispirato competente
achievement_20232_desc;Vinci 100 partite con l'abilità Muro di scudi
achievement_20232_title;Muro di scudi competente
achievement_20233_desc;Vinci 100 partite con l'abilità Mobilitazione.
achievement_20233_title;Mobilitazione competente
achievement_20234_desc;Vinci 100 partite con l'abilità Accumulo.
achievement_20234_title;Accumulo competente
achievement_20240_desc;Vinci 100 partite con ogni abilità base degli Scoia'tael.
achievement_20240_title;Il guerrigliere
achievement_20241_desc;Vinci 100 partite con l'abilità Assalto preciso.
achievement_20241_title;Assalto preciso competente
achievement_20242_desc;Vinci 100 partite con l'abilità Rinvigorimento.
achievement_20242_title;Rinvigorimento competente
achievement_20243_desc;Vinci 100 partite con l'abilità Dono della natura
achievement_20243_title;Dono della natura competente
achievement_20244_desc;Vinci 100 partite con l'abilità Tattiche di guerriglia.
achievement_20244_title;Tattiche di guerriglia competente
achievement_20250_desc;Vinci 100 partite con ogni abilità base di Skellige.
achievement_20250_title;Lo jarl
achievement_20251_desc;Vinci 100 partite con l'abilità Raffica spietata.
achievement_20251_title;Raffica spietata competente
achievement_20252_desc;Vinci 100 partite con l'abilità Furore del mare
achievement_20252_title;Furore del mare competente
achievement_20253_desc;Vinci 100 partite con l'abilità Massacro.
achievement_20253_title;Massacro competente
achievement_20254_desc;Vinci 100 partite con l'abilità Furia combattiva
achievement_20254_title;Furia combattiva competente
achievement_20260_desc;Vinci 100 partite con ogni abilità di Thronebreaker.
achievement_20260_title;Salvatore di Lyria e Rivia
achievement_20261_desc;Vinci 100 partite con l'abilità Furia patricida.
achievement_20261_title;Furia patricida competente
achievement_20262_desc;Vinci 100 partite con l'abilità Imboscata di Occhi di falco.
achievement_20262_title;Imboscata di Occhi di falco competente
achievement_20263_desc;Vinci 100 partite con l'abilità Ispirazione reale.
achievement_20263_title;Ispirazione reale competente
achievement_20264_desc;Vinci 100 partite con l'abilità Schiavitù.
achievement_20264_title;Schiavitù competente
achievement_20265_desc;Vinci 100 partite con l'abilità Frutti di Ysgith.
achievement_20265_title;Frutti di Ysgith competente
achievement_20270_desc;Vinci 100 partite con ogni abilità di Crimson Curse.
achievement_20270_title;Supremo signore cremisi
achievement_20271_desc;Vinci 100 partite con l'abilità Richiamo dell'armonia.
achievement_20271_title;Richiamo dell'armonia competente
achievement_20272_desc;Vinci 100 partite con l'abilità Rituale ursino.
achievement_20272_title;Rituale ursino competente
achievement_20273_desc;Vinci 100 partite con l'abilità Profumo di sangue.
achievement_20273_title;Profumo di sangue competente
achievement_20274_desc;Vinci 100 partite con l'abilità Tradimento.
achievement_20274_title;Tradimento competente
achievement_20275_desc;Vinci 100 partite con l'abilità Manovra a tenaglia.
achievement_20275_title;Manovra a tenaglia competente
achievement_20280_desc;Vinci 100 partite con ogni abilità del Sindacato.
achievement_20280_title;Signore delle ombre
achievement_20281_desc;Vinci 100 partite con l'abilità Congregazione.
achievement_20281_title;Congregazione competente
achievement_20282_desc;Vinci 100 partite con l'abilità Baia dei pirati
achievement_20282_title;Baia dei pirati competente
achievement_20283_desc;Vinci 100 partite con l'abilità Jackpot.
achievement_20283_title;Jackpot competente
achievement_20284_desc;Vinci 100 partite con l'abilità Pagamento illecito.
achievement_20284_title;Pagamento illecito competente
achievement_20285_desc;Vinci 100 partite con l'abilità Soldi sporchi.
achievement_20285_title;Soldi sporchi competente
achievement_20286_desc;Vinci 100 partite con l'abilità Tasche piene.
achievement_20286_title;Tasche piene competente
achievement_20290_desc;Vinci 100 partite con ogni abilità dell'Anno del Ratto mannaro.
achievement_20290_title;Ratto mannaro ereditario
achievement_20291_desc;Vinci 100 partite con l'abilità Fame irrefrenabile.
achievement_20291_title;Fame irrefrenabile competente
achievement_20292_desc;Vinci 100 partite con l'abilità Impostore.
achievement_20292_title;Impostore competente
achievement_20293_desc;Vinci 100 partite con l'abilità Sommossa.
achievement_20293_title;Sommossa competente
achievement_20294_desc;Vinci 100 partite con l'abilità Forgia di Mahakam.
achievement_20294_title;Forgia di Mahakam competente
achievement_20295_desc;Vinci 100 partite con l'abilità Vampata di gloria.
achievement_20295_title;Vampata di gloria competente
achievement_20296_desc;Vinci 100 partite con l'abilità Scorte nascoste.
achievement_20296_title;Scorte nascoste competente
achievement_20501_desc;Vinci 25 partite con un'abilità dei Mostri.
achievement_20501_title;Abbandonare il nido
achievement_20502_desc;Vinci 100 partite con un'abilità dei Mostri.
achievement_20502_title;Monsters & Co.
achievement_20503_desc;Vinci 250 partite con un'abilità dei Mostri.
achievement_20503_title;Bagno di sangue
achievement_20504_desc;Vinci 500 partite con un'abilità dei Mostri.
achievement_20504_title;Non si scappa
achievement_20505_desc;Vinci 1.000 partite con un'abilità dei Mostri.
achievement_20505_title;Notte buia
