_inputshopbuymultiple;구매
achievement_10300_desc;운석 가루 100개를 사용하십시오.
achievement_10300_title;우오, 반짝이!
achievement_10301_desc;운석 가루 1,000개를 사용하십시오.
achievement_10301_title;반짝거리는 게 최고야
achievement_10302_desc;운석 가루 5,000개를 사용하십시오.
achievement_10302_title;패셔니스타
achievement_10303_desc;운석 가루 10,000개를 사용하십시오.
achievement_10303_title;그야말로 장관!
achievement_10304_desc;운석 가루 20,000개를 사용하십시오.
achievement_10304_title;무지개를 따라서
achievement_10400_desc;10 보상 포인트를 사용하십시오.
achievement_10400_title;끄적끄적
achievement_10401_desc;50 보상 포인트를 사용하십시오.
achievement_10401_title;빵조각을 따라서
achievement_10402_desc;100 보상 포인트를 사용하십시오.
achievement_10402_title;모든 것은 이어져 있다
achievement_10403_desc;500 보상 포인트를 사용하십시오.
achievement_10403_title;환경 운동가
achievement_10404_desc;1,000 보상 포인트를 사용하십시오.
achievement_10404_title;점을 모두 연결하면
achievement_10501_desc;온라인 경기에서 카드 10장을 공개하십시오.
achievement_10501_title;까꿍!
achievement_10502_desc;온라인 경기에서 카드 100장을 공개하십시오.
achievement_10502_title;정체를 밝혀라
achievement_10503_desc;온라인 경기에서 카드 500장을 공개하십시오.
achievement_10503_title;숨을 곳은 없다
achievement_10504_desc;온라인 경기에서 카드 1,000장을 공개하십시오.
achievement_10504_title;사우론의 눈
achievement_10505_desc;온라인 경기에서 유닛 10개에게 명령을 내리십시오.
achievement_10505_title;밀집 대형
achievement_10506_desc;온라인 경기에서 유닛 100개에게 명령을 내리십시오.
achievement_10506_title;왼발, 오른발, 왼발, 오른발!
achievement_10507_desc;온라인 경기에서 유닛 500개에게 명령을 내리십시오.
achievement_10507_title;맹종
achievement_10508_desc;온라인 경기에서 유닛 1,000개에게 명령을 내리십시오.
achievement_10508_title;지휘관을 따르라
achievement_10509_desc;온라인 경기에서 비인간 유닛 10개를 파괴하십시오.
achievement_10509_title;공포 그리고 전율
achievement_10510_desc;온라인 경기에서 비인간 유닛 100개를 파괴하십시오.
achievement_10510_title;마지막으로 할 말은?
achievement_10511_desc;온라인 경기에서 비인간 유닛 1,000개를 파괴하십시오.
achievement_10511_title;인도주의자
achievement_10512_desc;온라인 경기에서 전력 10의 유닛 10개를 동시에 조종하십시오.
achievement_10512_title;10/10
achievement_10513_desc;당신 진영의 전장을 유닛 및(또는) 인공물로 꽉 채우십시오.
achievement_10513_title;북적북적
achievement_10514_desc;다양한 모드의 온라인 경기를 10회 치르면서 도발을 1번 이상 사용하십시오.
achievement_10514_title;덤벼
achievement_10515_desc;다양한 모드의 온라인 경기를 100회 치르면서 도발을 1번 이상 사용하십시오.
achievement_10515_title;그게 다인가?
achievement_10516_desc;다양한 모드의 온라인 경기를 1,000회 치르면서 도발을 1번 이상 사용하십시오.
achievement_10516_title;내 포효를 들으라
achievement_10517_desc;온라인 경기에서 한 턴에 30점 넘게 점수를 획득하십시오.
achievement_10517_title;즐겨볼까
achievement_10518_desc;온라인 경기에서 당신의 유닛에게 10만큼 피해를 주십시오.
achievement_10518_title;간지럽군
achievement_10519_desc;온라인 경기에서 당신의 유닛에게 100만큼 피해를 주십시오.
achievement_10519_title;고진감래
achievement_10520_desc;온라인 경기에서 당신의 유닛에게 1,000만큼 피해를 주십시오.
achievement_10520_title;훈육과 처벌
achievement_10521_desc;온라인 경기에서 상대보다 100점 높은 점수로 한 라운드를 승리하십시오.
achievement_10521_title;오버킬
achievement_10522_desc;온라인 경기에서 손에 아무런 카드도 남기지 않은 채 첫 번째 라운드를 승리하십시오.
achievement_10522_title;올인!
achievement_10523_desc;첫 번째 라운드에서 손에 10장의 카드를 보유한 채 패스하고 온라인 경기에서 승리하십시오.
achievement_10523_title;비밀 작전
achievement_10524_desc;첫 번째 라운드에서 다시 뽑기를 모두 사용한 후 온라인 경기에서 승리하십시오.
achievement_10524_title;모든 걸 걸겠어
achievement_10525_desc;온라인 경기에서 한 턴에 적 유닛 5개 이상을 파괴하십시오.
achievement_10525_title;완벽한 집행
achievement_10526_desc;덱에 있는 모든 카드를 뽑고 온라인 경기에서 승리하십시오.
achievement_10526_title;마지막 한 장까지
achievement_10527_desc;온라인 경기에서 골드 카드 30장을 내십시오.
achievement_10527_title;양보다 질
achievement_10528_desc;온라인 경기에서 프리미엄 카드 100장을 내십시오.
achievement_10528_title;이것이 프리미엄 스웩
achievement_10529_desc;상대의 카드를 한 장도 파괴하지 않고 경기에서 승리하십시오.
achievement_10529_title;당신은 사랑받기 위해 태어난 사람
achievement_10530_desc;온라인 경기에서 상대 진영의 보드에 아무런 카드도 남기지 않은 채 마지막 라운드를 승리하십시오.
achievement_10530_title;전멸
achievement_10531_desc;유지비가 100 이하인 덱을 사용하여 경기에서 승리하십시오.
achievement_10531_title;가난한 자의 플레이 방식
achievement_10533_desc;온라인 경기에서 하나의 유닛에 상태를 5개 이상 보유하십시오.
achievement_10533_title;전환!
achievement_10534_desc;온라인 경기에서 7분 이내에 승리하십시오.
achievement_10534_title;피융, 쾅, 끝!
achievement_10536_desc;온라인 경기에서 카드 1,000장을 사용하십시오.
achievement_10536_title;1,000장 왕국
achievement_10537_desc;온라인 경기에서 카드 10,000장을 사용하십시오.
achievement_10537_title;하우스 오브 카드
achievement_10538_desc;온라인 경기에서 카드 100,000장을 사용하십시오.
achievement_10538_title;아수라발발타
achievement_10539_desc;온라인 경기에서 10개의 유언 능력을 발동시키십시오.
achievement_10539_title;다 덤벼!
achievement_10540_desc;온라인 경기에서 100개의 유언 능력을 발동하십시오.
achievement_10540_title;한 놈도 남기지 마라!
achievement_10541_desc;온라인 경기에서 1,000개의 유언 능력을 발동하십시오.
achievement_10541_title;값진 희생
achievement_10542_desc;온라인 경기에서 연소 카드를 사용해 전력이 50 이상인 유닛을 파괴하십시오.
achievement_10542_title;클수록 좋...
achievement_10543_desc;매 라운드 종료 시 손에 아무런 카드도 남기지 않은 채 온라인 경기에서 승리하십시오.
achievement_10543_title;거리낄 것이 없다
achievement_10544_desc;온라인 경기에서 당신의 무덤에 있는 유닛 10개를 가져와서 내십시오.
achievement_10544_title;남다른 방법
achievement_10545_desc;온라인 경기에서 당신의 무덤에 있는 유닛 100개를 가져와서 내십시오.
achievement_10545_title;살짝 다쳤을 뿐
achievement_10546_desc;온라인 경기에서 당신의 무덤에 있는 유닛 1,000개를 가져와서 내십시오.
achievement_10546_title;의무병 찾으신 분?
achievement_10547_desc;유닛 하나의 전력이 50 이상인 상태로 온라인 경기에서 승리하십시오.
achievement_10547_title;보디빌더
achievement_10548_desc;온라인 경기에서 카드 한 장을 변이하십시오.
achievement_10548_title;변신
achievement_10549_desc;카드 1장으로 유닛 3개 이상을 파괴하고 온라인 경기에서 승리하십시오.
achievement_10549_title;일타 삼피
achievement_10550_desc;온라인 경기에서 하나의 전열 효과를 다른 전열 효과로 교체하십시오.
achievement_10550_title;악천후에 맞서다
achievement_10551_title;만나서 반가워
achievement_10552_title;너, 내 조수가 돼라
achievement_10553_title;전우
achievement_10554_title;동지
achievement_10555_title;선제 공격
achievement_10556_title;대학살
achievement_10557_title;도살자
achievement_10558_title;사형 집행인
achievement_10559_title;해독
achievement_10560_title;자연 그대로
achievement_10561_title;때 묻지 않은
achievement_10562_title;순수주의자
achievement_10563_title;흥분되는데
achievement_10564_title;열 받게 하네
achievement_10565_title;미치겠네
achievement_10566_title;으아아아아!!
achievement_10567_title;선교사
achievement_10568_title;정착민
achievement_10569_title;식민지 개척자
achievement_10570_title;절대자
achievement_10571_title;안녕, 친구!
achievement_10572_title;다름의 힘
achievement_10573_title;뭉쳐야 산다!
achievement_10574_title;자연의 아이들
achievement_10575_title;좀 따갑네
achievement_10576_title;피투성이
achievement_10577_title;피범벅
achievement_10578_title;핏빛 학살
achievement_10579_title;둥근 방패
achievement_10580_title;다리미꼴 방패
achievement_10581_title;커다란 방패
achievement_10582_title;대형 방패
achievement_10583_title;네 잔에 한 방울
achievement_10584_title;독 전문가
achievement_10585_title;죽이는 맛이지?
achievement_10586_title;아이오케인 가루
achievement_10587_title;몸 좋은데?
achievement_10588_title;아름다운 인생
achievement_10589_title;힘이여 솟아라
achievement_10590_title;만수무강
achievement_10591_title;무장 해제
achievement_10592_title;속수무책
achievement_10593_title;무차별 공격
achievement_10594_title;보호막 파괴자
achievement_10595_desc;중독된 유닛을 추가로 중독시키지 않고 파괴하십시오.
achievement_10595_title;초조한 암살자
achievement_10596_desc;신디케이트의 능력을 사용하여 코인을 사용하지 않은 채 게임에서 승리하십시오.
achievement_10596_title;돈이 없으면 걱정도 없지
achievement_10597_desc;신디케이트의 능력을 사용하여 9코인을 남긴 채 게임에서 승리하십시오.
achievement_10597_title;재력
achievement_10598_desc;신디케이트의 능력을 사용하여 코인을 남기지 않은 채 게임에서 승리하십시오
achievement_10598_title;마지막 한 푼까지
achievement_10599_title;낭비벽
achievement_10600_title;깍쟁이
achievement_10601_title;수전노
achievement_10602_title;짠돌이
achievement_10603_title;구두쇠
achievement_10604_title;푼돈
achievement_10605_title;두둑한 지갑
achievement_10606_title;투자자
achievement_10607_title;벤처 자금
achievement_10608_title;신입 멤버
achievement_10609_title;신디케이트의 특권
achievement_10610_title;거절할 수 없는 제안
achievement_10611_title;최종 납기일
achievement_10612_title;돼지 저금통
achievement_10613_title;수집광
achievement_10614_title;사재기꾼
achievement_10615_title;금고
achievement_10620_title;지명 수배
achievement_10621_title;표적
achievement_10622_title;도망자
achievement_10623_title;사냥감
achievement_10624_title;첫 수당
achievement_10625_title;작은 사업
achievement_10626_title;떼부자
achievement_10627_title;거품 경제
achievement_10628_title;깡패
achievement_10629_title;폭력
achievement_10630_title;집행자
achievement_10631_title;근육
achievement_10634_desc;유닛에 방어구를 10회 부여하십시오
achievement_10634_title;어디 한번 달궈 볼까!
achievement_10635_desc;유닛에 방어구를 100회 부여하십시오
achievement_10635_title;담금질
achievement_10636_desc;유닛에 방어구를 500여하십시오
achievement_10636_title;뜨임 처리
achievement_10637_desc;유닛에 방어구를 1000회 부여하십시오
achievement_10637_title;경화 강철
achievement_10638_desc;방벽을 10회 발동하십시오
achievement_10638_title;방벽
achievement_10639_desc;방벽을 100회 발동하십시오
achievement_10639_title;전초 기지
achievement_10640_desc;방벽을 500회 발동하십시오
achievement_10640_title;요새
achievement_10641_desc;방벽을 1000회 발동하십시오
achievement_10641_title;성
achievement_10642_desc;노출을 10회 발동하십시오
achievement_10642_title;살짝 긁힌 거야
achievement_10643_desc;노출을 100회 발동하십시오
achievement_10643_title;이 정도 상처쯤이야
achievement_10644_desc;노출을 500회 발동하십시오
achievement_10644_title;나는 무적이다
achievement_10645_desc;노출을 1000회 발동하십시오
achievement_10645_title;다리를 물어뜯어 주지
achievement_10646_desc;마스터 미러 확장팩의 진화하는 카드를 3단계까지 5회 진화시키십시오
achievement_10646_title;1레벨 사기꾼
achievement_10647_desc;마스터 미러 확장팩의 진화하는 카드를 3단계까지 50회 진화시키십시오
achievement_10647_title;10레벨 암살자
achievement_10648_desc;마스터 미러 확장팩의 진화하는 카드를 3단계까지 250회 진화시키십시오
achievement_10648_title;30레벨 두목
achievement_10649_desc;마스터 미러 확장팩의 진화하는 카드를 3단계까지 500회 진화시키십시오
achievement_10649_title;100레벨 대부
achievement_10650_desc;서리 능력으로 피해를 25회 주십시오
achievement_10650_title;오들오들
achievement_10651_desc;서리 능력으로 피해를 250회 주십시오
achievement_10651_title;차디찬 레모네이드
achievement_10652_desc;서리 능력으로 피해를 1250회 주십시오
achievement_10652_title;썰렁한 농담이었어, 친구
achievement_10653_desc;서리 능력으로 피해를 2500회 주십시오
achievement_10653_title;프로스트 펑크
achievement_10654_desc;음모 능력을 10회 발동하십시오
achievement_10654_title;이거 완전 음모론이잖아!
achievement_10655_desc;음모 능력을 100회 발동하십시오
achievement_10655_title;지구는 평평하다
achievement_10656_desc;음모 능력을 500회 발동하십시오
achievement_10656_title;맨 인 블랙
achievement_10657_desc;음모 능력을 1000회 발동하십시오
achievement_10657_title;신세계 질서
achievement_10658_desc;방황하는 나무귀신을 10회 생성하십시오
achievement_10658_title;친환경
achievement_10659_desc;방황하는 나무귀신을 100회 생성하십시오
achievement_10659_title;대자연의 아들
achievement_10660_desc;방황하는 나무귀신을 500회 생성하십시오
achievement_10660_title;초록의 바다
achievement_10661_desc;방황하는 나무귀신을 1000회 생성하십시오
achievement_10661_title;나무귀신의 날
achievement_10662_desc;자원병을 10회 생성하십시오
achievement_10662_title;분대
achievement_10663_desc;자원병을 100회 생성하십시오
achievement_10663_title;중대
achievement_10664_desc;자원병을 500회 생성하십시오
achievement_10664_title;대대
achievement_10665_desc;자원병을 1000회 생성하십시오
achievement_10665_title;여단
achievement_10666_desc;플레이밍 로즈 풋맨을 10회 생성하십시오
achievement_10666_title;플레이밍 로즈 풋맨
achievement_10667_desc;플레이밍 로즈 풋맨을 100회 생성하십시오
achievement_10667_title;플레이밍 로즈 기사
achievement_10668_desc;플레이밍 로즈 풋맨을 500회 생성하십시오
achievement_10668_title;플레이밍 로즈 원수
achievement_10669_desc;플레이밍 로즈 풋맨을 1000회 생성하십시오
achievement_10669_title;플레이밍 로즈 그랜드 마스터
achievement_10670_desc;베테랑 키워드를 10회 발동하십시오
achievement_10670_title;노예
achievement_10671_desc;베테랑 키워드를 100회 발동하십시오
achievement_10671_title;자유민
achievement_10672_desc;베테랑 키워드를 500회 발동하십시오
achievement_10672_title;차지 자유인
achievement_10673_desc;베테랑 키워드를 1000회 발동하십시오
achievement_10673_title;친위 대원
achievement_10674_desc;위쳐를 10장 내십시오
achievement_10674_title;납치당한
achievement_10675_desc;위쳐 카드를 100장 내십시오
achievement_10675_title;풀의 시험
achievement_10676_desc;위쳐를 500장 내십시오
achievement_10676_title;잔인한 격투 훈련
achievement_10677_desc;위쳐를 1000장 내십시오
achievement_10677_title;성인이 된 괴물 사냥꾼 위쳐
achievement_10678_desc;아드레날린 키워드를 10회 발동하십시오
achievement_10678_title;아드레날린 폭주
achievement_10679_desc;아드레날린 키워드를 100회 발동하십시오
achievement_10679_title;아드레날린 중독자
achievement_10680_desc;아드레날린 키워드를 500회 발동하십시오
achievement_10680_title;아드레날린 주사
achievement_10681_desc;아드레날린 키워드를 1000회 발동하십시오
achievement_10681_title;진정해
achievement_11001_desc;도전 이벤트에서 괴물을 지원하며 3개의 퀘스트를 완료하십시오.
achievement_11001_title;새끼 괴물
achievement_11002_desc;도전 이벤트에서 괴물을 지원하며 5개의 퀘스트를 완료하십시오.
achievement_11002_title;어린 괴물
achievement_11003_desc;도전 이벤트에서 괴물을 지원하며 10개의 퀘스트를 완료하십시오.
achievement_11003_title;신참 괴물
achievement_11004_desc;도전 이벤트에서 괴물을 지원하며 15개의 퀘스트를 완료하십시오.
achievement_11004_title;고참 괴물
achievement_11005_desc;도전 이벤트에서 괴물을 지원하며 25개의 퀘스트를 완료하십시오.
achievement_11005_title;거대 괴물
achievement_11011_desc;도전 이벤트에서 스켈리게를 지원하며 3개의 퀘스트를 완료하십시오.
achievement_11011_title;침략자
achievement_11012_desc;도전 이벤트에서 스켈리게를 지원하며 5개의 퀘스트를 완료하십시오.
achievement_11012_title;무법자
achievement_11013_desc;도전 이벤트에서 스켈리게를 지원하며 10개의 퀘스트를 완료하십시오.
achievement_11013_title;약탈광
achievement_11014_desc;도전 이벤트에서 스켈리게를 지원하며 15개의 퀘스트를 완료하십시오.
achievement_11014_title;일등 항해사
achievement_11015_desc;도전 이벤트에서 스켈리게를 지원하며 25개의 퀘스트를 완료하십시오.
achievement_11015_title;해적왕
achievement_11021_desc;도전 이벤트에서 북부 왕국을 지원하며 3개의 퀘스트를 완료하십시오.
achievement_11021_title;신참
achievement_11022_desc;도전 이벤트에서 북부 왕국을 지원하며 5개의 퀘스트를 완료하십시오.
achievement_11022_title;고참
achievement_11023_desc;도전 이벤트에서 북부 왕국을 지원하며 10개의 퀘스트를 완료하십시오.
achievement_11023_title;부관
achievement_11024_desc;도전 이벤트에서 북부 왕국을 지원하며 15개의 퀘스트를 완료하십시오.
achievement_11024_title;애국자
achievement_11025_desc;도전 이벤트에서 북부 왕국을 지원하며 25개의 퀘스트를 완료하십시오.
achievement_11025_title;왕과 조국을 위하여
achievement_11031_desc;도전 이벤트에서 닐프가드를 지원하며 3개의 퀘스트를 완료하십시오.
achievement_11031_title;첩보원
achievement_11032_desc;도전 이벤트에서 닐프가드를 지원하며 5개의 퀘스트를 완료하십시오.
achievement_11032_title;암살자
achievement_11033_desc;도전 이벤트에서 닐프가드를 지원하며 10개의 퀘스트를 완료하십시오.
achievement_11033_title;중상모략가
achievement_11034_desc;도전 이벤트에서 닐프가드를 지원하며 15개의 퀘스트를 완료하십시오.
achievement_11034_title;첩자마스터
achievement_11035_desc;도전 이벤트에서 닐프가드를 지원하며 25개의 퀘스트를 완료하십시오.
achievement_11035_title;제국의 의지
achievement_11041_desc;도전 이벤트에서 스코이아텔을 지원하며 3개의 퀘스트를 완료하십시오.
achievement_11041_title;반항아
achievement_11042_desc;도전 이벤트에서 스코이아텔을 지원하며 5개의 퀘스트를 완료하십시오.
achievement_11042_title;자객
achievement_11043_desc;도전 이벤트에서 스코이아텔을 지원하며 10개의 퀘스트를 완료하십시오.
achievement_11043_title;혁명가
achievement_11044_desc;도전 이벤트에서 스코이아텔을 지원하며 15개의 퀘스트를 완료하십시오.
achievement_11044_title;광신도
achievement_11045_desc;도전 이벤트에서 스코이아텔을 지원하며 25개의 퀘스트를 완료하십시오.
achievement_11045_title;특공대 지휘관
achievement_11051_title;심부름꾼
achievement_11052_title;잡범
achievement_11053_title;중위
achievement_11054_title;오른팔
achievement_11055_title;우두머리
achievement_11061_title;뽑아만 주세요!
achievement_11062_title;중재자
achievement_11063_title;프리랜서
achievement_11064_title;용병
achievement_11065_title;풍운아
achievement_11066_desc;샤니의 전력을 20점까지 증폭하십시오
achievement_11066_title;라도비드가 사랑을 담아
achievement_12001_desc;야루가 강 다리 보드를 장착하고 경기에서 1회 승리하십시오
achievement_12001_title;야루가 강 다리 위의 전투
achievement_12002_desc;야루가 강 다리 보드를 장착하고 경기에서 15회 승리하십시오
achievement_12002_title;리리아를 위해!
achievement_12003_desc;야루가 강 다리 보드를 장착하고 경기에서 50회 승리하십시오
achievement_12003_title;포위전 전문가
achievement_13005_desc;슙 스킨으로 경기에서 10회 승리하십시오
achievement_13005_title;사랑스러운!
achievement_20001_desc;온라인 경기를 1회 진행하십시오. 모드는 상관없습니다.
achievement_20001_title;해보라던데
achievement_20002_desc;온라인 경기를 5회 진행하십시오. 모드는 상관없습니다.
achievement_20002_title;낚였네 낚였어
achievement_20003_desc;온라인 경기를 25회 진행하십시오. 모드는 상관없습니다.
achievement_20003_title;이길 때까지
achievement_20004_desc;온라인 경기를 100회 진행하십시오. 모드는 상관없습니다.
achievement_20004_title;젊은 지휘관
achievement_20005_desc;온라인 경기를 500회 진행하십시오. 모드는 상관없습니다.
achievement_20005_title;정복자
achievement_20100_desc;상대에게 GG를 1회 보내십시오.
achievement_20100_title;매너는 지킵시다
achievement_20101_desc;상대에게 GG를 10회 보내십시오.
achievement_20101_title;악수도 좀 하고
achievement_20102_desc;상대에게 GG를 100회 보내십시오.
achievement_20102_title;스포츠맨십이란 이런 것
achievement_20103_desc;상대에게 GG를 200회 보내십시오.
achievement_20103_title;대단한 적수들
achievement_20104_desc;상대에게 GG를 500회 보내십시오.
achievement_20104_title;Don't stop me now(날 막지 마)
achievement_20105_desc;상대에게 GG를 1,000회 보내십시오.
achievement_20105_title;Havin' such a good time(좋은 시간을 보내고 있으니까)
achievement_20106_desc;상대에게 GG를 5,000회 보내십시오.
achievement_20106_title;Floating in ecstasy(황홀해서 죽을 지경이야)
achievement_20200_desc;각 세력의 기본 능력으로 경기에서 100회씩 승리하십시오.
achievement_20200_title;전천후
achievement_20210_desc;괴물의 기본 능력으로 경기에서 100회씩 승리하십시오.
achievement_20210_title;악몽
achievement_20211_desc;갑각 능력으로 경기에서 100회 승리하십시오.
achievement_20211_title;갑각 마스터
achievement_20212_desc;아라카스 군단 능력으로 경기에서 100회 승리하십시오.
achievement_20212_title;아라카스 군단 마스터
achievement_20213_desc;자연의 힘 능력으로 경기에서 100회 승리하십시오
achievement_20213_title;자연의 힘 마스터
achievement_20214_desc;백색 서리 능력으로 경기에서 100회 승리하십시오
achievement_20214_title;백색 서리 마스터
achievement_20220_desc;닐프가드의 기본 능력으로 경기에서 100회씩 승리하십시오.
achievement_20220_title;황제
achievement_20221_desc;구금 능력으로 경기에서 100회 승리하십시오
achievement_20221_title;구금 마스터
achievement_20222_desc;제재 능력으로 경기에서 100회 승리하십시오
achievement_20222_title;제재 마스터
achievement_20223_desc;제국의 진형 능력으로 경기에서 100회 승리하십시오
achievement_20223_title;제국의 진형 마스터
achievement_20224_desc;전술적 결정 능력으로 경기에서 100회 승리하십시오
achievement_20224_title;전술적 결정 마스터
achievement_20230_desc;북부 왕국의 기본 능력으로 경기에서 100회씩 승리하십시오.
achievement_20230_title;왕들의 왕
achievement_20231_desc;빛나는 열의 능력으로 경기에서 100회 승리하십시오
achievement_20231_title;빛나는 열의 마스터
achievement_20232_desc;방패 장벽 능력으로 경기에서 100회 승리하십시오
achievement_20232_title;방패 장벽 마스터
achievement_20233_desc;동원 능력으로 경기에서 100회 승리하십시오
achievement_20233_title;동원 마스터
achievement_20234_desc;비축 능력으로 경기에서 100회 승리하십시오
achievement_20234_title;비축 마스터
achievement_20240_desc;스코이아텔의 기본 능력으로 경기에서 100회씩 승리하십시오.
achievement_20240_title;게릴라
achievement_20241_desc;정밀 타격 능력으로 경기에서 100회 승리하십시오
achievement_20241_title;정밀 타격 마스터
achievement_20242_desc;활기 부여 능력으로 경기에서 100회 승리하십시오
achievement_20242_title;활기 부여 마스터
achievement_20243_desc;자연의 선물 능력으로 경기에서 100회 승리하십시오
achievement_20243_title;자연의 선물 마스터
achievement_20244_desc;게릴라 전술 능력으로 경기에서 100회 승리하십시오
achievement_20244_title;게릴라 전술 마스터
achievement_20250_desc;스켈리게의 기본 능력으로 경기에서 100회씩 승리하십시오.
achievement_20250_title;족장
achievement_20251_desc;난폭한 광풍 능력으로 경기에서 100회 승리하십시오
achievement_20251_title;난폭한 광풍 마스터
achievement_20252_desc;바다의 분노 능력으로 경기에서 100회 승리하십시오
achievement_20252_title;바다의 분노 마스터
achievement_20253_desc;맹공 능력으로 경기에서 100회 승리하십시오
achievement_20253_title;맹공 마스터
achievement_20254_desc;전투 트랜스 능력으로 경기에서 100회 승리하십시오
achievement_20254_title;전투 트랜스 마스터
achievement_20260_desc;쓰론브레이커의 기본 능력으로 경기에서 100회씩 승리하십시오.
achievement_20260_title;리리아와 리비아의 구원자
achievement_20261_desc;패륜아의 분노 능력으로 경기에서 100회 승리하십시오
achievement_20261_title;패륜아의 분노 마스터
achievement_20262_desc;명사수의 매복 능력으로 경기에서 100회 승리하십시오
achievement_20262_title;명사수의 매복 마스터
achievement_20263_desc;여왕의 격려 능력으로 경기에서 100회 승리하십시오
achievement_20263_title;여왕의 격려 마스터
achievement_20264_desc;노예화 능력으로 경기에서 100회 승리하십시오
achievement_20264_title;노예화 마스터
achievement_20265_desc;이스기스의 열매 능력으로 경기에서 100회 승리하십시오
achievement_20265_title;이스기스의 열매 마스터
achievement_20270_desc;핏빛 저주의 기본 능력으로 경기에서 100회씩 승리하십시오.
achievement_20270_title;핏빛 군주
achievement_20271_desc;조화의 부름 능력으로 경기에서 100회 승리하십시오
achievement_20271_title;조화의 부름 마스터
achievement_20272_desc;곰의 의식 능력으로 경기에서 100회 승리하십시오
achievement_20272_title;곰의 의식 마스터
achievement_20273_desc;핏빛 향기 능력으로 경기에서 100회 승리하십시오
achievement_20273_title;핏빛 향기 마스터
achievement_20274_desc;부정한 배반 능력으로 경기에서 100회 승리하십시오.
achievement_20274_title;부정한 배반 마스터
achievement_20275_desc;협동 작전 능력으로 경기에서 100회 승리하십시오
achievement_20275_title;협동 작전 마스터
achievement_20280_desc;신디케이트의 능력으로 경기에서 100회씩 승리하십시오
achievement_20280_title;그림자의 지배자
achievement_20281_desc;결집 능력으로 경기에서 100회 승리하십시오
achievement_20281_title;결집 마스터
achievement_20282_desc;해적 소굴 능력으로 경기에서 100회 승리하십시오
achievement_20282_title;해적 소굴 마스터
achievement_20283_desc;잭팟 능력으로 경기에서 100회 승리하십시오
achievement_20283_title;잭팟 마스터
achievement_20284_desc;제명 능력으로 경기에서 100회 승리하십시오
achievement_20284_title;제명 마스터
achievement_20285_desc;피 묻은 돈 능력으로 경기에서 100회 승리하십시오
achievement_20285_title;피 묻은 돈 마스터
achievement_20286_desc;비장의 주머니 능력으로 경기에서 100회 승리하십시오
achievement_20286_title;비장의 주머니 마스터
achievement_20290_desc;쥐인간의 해 능력으로 경기에서 100회씩 승리하십시오
achievement_20290_title;쥐인간의 유산
achievement_20291_desc;기근 능력으로 경기에서 100회 승리하십시오
