_inputshopbuymultiple;COMPRAR
achievement_10543_desc;Ten 0 cartas en la mano al final de cada ronda y gana una partida en línea.
achievement_10543_title;Todo vale
achievement_10544_desc;Juega 10 unidades desde tu cementerio durante partidas en línea.
achievement_10544_title;Métodos poco ortodoxos
achievement_10545_desc;Juega 100 unidades desde tu cementerio durante partidas en línea.
achievement_10545_title;Heridas superficiales
achievement_10546_desc;Juega 1000 unidades desde tu cementerio durante partidas en línea.
achievement_10546_title;¿Alguien ha llamado a un médico?
achievement_10547_desc;Gana una partida en línea en la que el poder de una de tus unidades sea de al menos 50.
achievement_10547_title;Culturista
achievement_10548_desc;Transforma una carta durante una partida en línea.
achievement_10548_title;Metamorfosis
achievement_10549_desc;Destruye al menos 3 unidades con 1 carta y gana una partida en línea.
achievement_10549_title;Las llamaban trinidad
achievement_10550_desc;Sustituye un efecto de fila con otro efecto de fila diferente durante una partida en línea.
achievement_10550_title;Contra los elementos
achievement_10551_title;Un placer conocerte
achievement_10552_title;¿Quieres ser mi compinche?
achievement_10553_title;Camaradas de guerra
achievement_10554_title;Almas gemelas
achievement_10555_title;Primera sangre
achievement_10556_title;Matanza
achievement_10557_title;Carnicería
achievement_10558_title;Ejecutor
achievement_10559_title;Desintoxicación
achievement_10560_title;Al natural
achievement_10561_title;Sin diluir
achievement_10562_title;Purista
achievement_10563_title;Agitado
achievement_10564_title;Furibundo
achievement_10565_title;Enloquecido
achievement_10566_title;¡¡AAAARGGGH!!
achievement_10567_title;Misionero
achievement_10568_title;Pionero
achievement_10569_title;Colono
achievement_10570_title;Imperium
achievement_10571_title;¡Hola, vecino!
achievement_10572_title;La fuerza de la diferencia
achievement_10573_title;¡Unidos resistiremos!
achievement_10574_title;Hijos de la naturaleza
achievement_10575_title;Solo un pinchacito
achievement_10576_title;Manchado de sangre
achievement_10577_title;Cubierto de sangre
achievement_10578_title;Baño de sangre carmesí
achievement_10579_title;Rodela
achievement_10580_title;Escudo triangular
achievement_10581_title;Pavés
achievement_10582_title;Pluteo
achievement_10583_title;Gota en la copa
achievement_10584_title;Venenífero
achievement_10585_title;Sabor letal
achievement_10586_title;Iocaína
achievement_10587_title;Apto para servir
achievement_10588_title;La buena vida
achievement_10589_title;En perfectas condiciones
achievement_10590_title;Esperanza de vida: alta
achievement_10591_title;Vulnerable
achievement_10592_title;Indefenso
achievement_10593_title;Fuerza bruta
achievement_10594_title;Rompescudos
achievement_10595_desc;Destruye una unidad envenenada sin añadirle más veneno.
achievement_10595_title;Asesino implacable
achievement_10596_desc;Gana una partida usando una habilidad del Sindicato sin usar ninguna moneda.
achievement_10596_title;Sin dinero, sin problemas
achievement_10597_desc;Gana una partida usando una habilidad del Sindicato manteniendo 9 monedas al final de la partida.
achievement_10597_title;Bolsillos llenos
achievement_10598_desc;Gana una partida usando una habilidad del Sindicato sin que te quede ninguna moneda al final de la partida.
achievement_10598_title;Hasta el último céntimo
achievement_10599_title;Manirrotura
achievement_10600_title;Roñoso
achievement_10601_title;Agarrado
achievement_10602_title;Tacaño
achievement_10603_title;Avaro
achievement_10604_title;Berzotas
achievement_10605_title;Bolsa llena
achievement_10606_title;Inversor
achievement_10607_title;Capital de riesgo
achievement_10608_title;Nuevo miembro
achievement_10609_title;Ventajas del Sindicato
achievement_10610_title;Una oferta que no podrás rechazar
achievement_10611_title;Deudas finales
achievement_10612_title;Hucha
achievement_10613_title;Acaparador
achievement_10614_title;Acumulador
achievement_10615_title;Cámara acorazada
achievement_10620_title;Se busca
achievement_10621_title;Marcado
achievement_10622_title;Perseguido
achievement_10623_title;Cazado
achievement_10624_title;Primer pago
achievement_10625_title;Pequeña operación
achievement_10626_title;Bastante rico
achievement_10627_title;Burbuja financiera
achievement_10628_title;Matón
achievement_10629_title;Intimidador
achievement_10630_title;Ejecutor
achievement_10631_title;Esbirro
achievement_10634_desc;Otorga armadura a unidades 10 veces.
achievement_10634_title;¡Esto se caldea!
achievement_10635_desc;Otorga armadura a unidades 100 veces.
achievement_10635_title;Agua para enfriar
achievement_10636_desc;Otorga armadura a unidades 500 veces.
achievement_10636_title;Templa, templa
achievement_10637_desc;Otorga armadura a unidades 1000 veces.
achievement_10637_title;Acero endurecido
achievement_10638_desc;Activa Barricada 10 veces.
achievement_10638_title;Barricada
achievement_10639_desc;Activa Barricada 100 veces.
achievement_10639_title;Puesto de avanzada
achievement_10640_desc;Activa Barricada 500 veces.
achievement_10640_title;Fuerte
achievement_10641_desc;Activa Barricada 1000 veces.
achievement_10641_title;Castillo
achievement_10642_desc;Activa Expuesto 10 veces.
achievement_10642_title;No es más que un arañazo
achievement_10643_desc;Activa Expuesto 100 veces.
achievement_10643_title;Una herida superficial
achievement_10644_desc;Activa Expuesto 500 veces.
achievement_10644_title;Soy invencible
achievement_10645_desc;Activa Expuesto 1000 veces.
achievement_10645_title;Te destrozaré a mordiscos
achievement_10646_desc;Alcanza la 3.ª fase con cartas en evolución de la expansión Master Mirror 5 veces.
achievement_10646_title;Niv. 1 Delincuente
achievement_10647_desc;Alcanza la 3.ª fase con cartas en evolución de la expansión Master Mirror 50 veces.
achievement_10647_title;Niv. 10 Sicario
achievement_10648_desc;Alcanza la 3.ª fase con cartas en evolución de la expansión Master Mirror 250 veces.
achievement_10648_title;Niv. 30 Jefe
achievement_10649_desc;Alcanza la 3.ª fase con cartas en evolución de la expansión Master Mirror 500 veces.
achievement_10649_title;Niv. 100 Padrino
achievement_10650_desc;Inflige daño por escarcha 25 veces.
achievement_10650_title;Me da escalofríos
achievement_10651_desc;Inflige daño por escarcha 250 veces.
achievement_10651_title;Granizado de limón
achievement_10652_desc;Inflige daño por escarcha 1250 veces.
achievement_10652_title;Algo para refrescarse
achievement_10653_desc;Inflige daño por escarcha 2500 veces.
achievement_10653_title;Punto de congelación
achievement_10654_desc;Activa Conspiración 10 veces.
achievement_10654_title;¡Es solo una teoría de la conspiración!
achievement_10655_desc;Activa Conspiración 100 veces.
achievement_10655_title;El Club de la Tierra Plana
achievement_10656_desc;Activa Conspiración 500 veces.
achievement_10656_title;Hombres de negro
achievement_10657_desc;Activa Conspiración 1000 veces.
achievement_10657_title;Nuevo orden mundial
achievement_10658_desc;Genera 10 Silvanos errantes.
achievement_10658_title;Mentalidad ecológica
achievement_10659_desc;Genera 100 Silvanos errantes.
achievement_10659_title;Hijo de la Madre Naturaleza
achievement_10660_desc;Genera 500 Silvanos errantes.
achievement_10660_title;Un mar de color verde
achievement_10661_desc;Genera 1000 Silvanos errantes.
achievement_10661_title;El día de los silvanos
achievement_10662_desc;Genera 10 Voluntarios.
achievement_10662_title;Escuadrón
achievement_10663_desc;Genera 100 Voluntarios.
achievement_10663_title;Compañía
achievement_10664_desc;Genera 500 Voluntarios.
achievement_10664_title;Batallón
achievement_10665_desc;Genera 1000 Voluntarios.
achievement_10665_title;Brigada
achievement_10666_desc;Genera 10 Soldados de la Rosa.
achievement_10666_title;Soldado de la Rosa Llameante
achievement_10667_desc;Genera 100 Soldados de la Rosa.
achievement_10667_title;Caballero de la Rosa Llameante
achievement_10668_desc;Genera 500 Soldados de la Rosa.
achievement_10668_title;Mariscal de la Rosa Llameante
achievement_10669_desc;Genera 1000 Soldados de la Rosa.
achievement_10669_title;Gran maestre de la Rosa Llameante
achievement_10670_desc;Activa la palabra clave Veterano 10 veces.
achievement_10670_title;Esclavo
achievement_10671_desc;Activa la palabra clave Veterano 100 veces.
achievement_10671_title;Liberto
achievement_10672_desc;Activa la palabra clave Veterano 500 veces.
achievement_10672_title;Hombre libre
achievement_10673_desc;Activa la palabra clave Veterano 1000 veces.
achievement_10673_title;Huscarle
achievement_10674_desc;Juega 10 brujos.
achievement_10674_title;Secuestro
achievement_10675_desc;Juega 100 brujos.
achievement_10675_title;Prueba de las Hierbas
achievement_10676_desc;Juega 500 brujos.
achievement_10676_title;Entrenamiento marcial brutal
achievement_10677_desc;Juega 1000 brujos.
achievement_10677_title;Brujos cazadores de monstruos maduros
achievement_10678_desc;Activa la palabra clave Adrenalina 10 veces.
achievement_10678_title;Subida de adrenalina
achievement_10679_desc;Activa la palabra clave Adrenalina 100 veces.
achievement_10679_title;Adicción a la adrenalina
achievement_10680_desc;Activa la palabra clave Adrenalina 500 veces.
achievement_10680_title;Chute de adrenalina
achievement_10681_desc;Activa la palabra clave Adrenalina 1000 veces.
achievement_10681_title;Tengo que relajarme
achievement_10682_desc;Activa la palabra clave Aquelarre 10 veces.
achievement_10682_title;Paranoia
achievement_10683_desc;Activa la palabra clave Aquelarre 100 veces.
achievement_10683_title;Dama de hierro
achievement_10684_desc;Activa la palabra clave Aquelarre 500 veces.
achievement_10684_title;Jabalí de guerra
achievement_10685_desc;Activa la palabra clave Aquelarre 1000 veces.
achievement_10685_title;«Y nosotros lo hemos matado»
achievement_10686_desc;Activa la palabra clave Paciencia 10 veces.
achievement_10686_title;... Es una virtud
achievement_10687_desc;Activa la palabra clave Paciencia 100 veces.
achievement_10687_title;Autocontrol
achievement_10688_desc;Activa la palabra clave Paciencia 500 veces.
achievement_10688_title;Perder la paciencia es perder la batalla
achievement_10689_desc;Activa la palabra clave Paciencia 1000 veces.
achievement_10689_title;La hermana menor de la desesperación
achievement_11000_desc;Gana {0} partidas con una baraja de Monstruos durante el desafío activo.
achievement_11000_new_desc;Gana {0} partidas con Monstruos durante el desafío activo.
achievement_11001_desc;Completa 3 misiones respaldando la facción de Monstruos durante un evento de desafío.
achievement_11001_title;Secuaz
achievement_11002_desc;Completa 5 misiones respaldando la facción de Monstruos durante un evento de desafío.
achievement_11002_title;Aprendiz
achievement_11003_desc;Completa 10 misiones respaldando la facción de Monstruos durante un evento de desafío.
achievement_11003_title;Acólito
achievement_11004_desc;Completa 15 misiones respaldando la facción de Monstruos durante un evento de desafío.
achievement_11004_title;Adulador
achievement_11005_desc;Completa 25 misiones respaldando la facción de Monstruos durante un evento de desafío.
achievement_11005_title;Coloso
achievement_11010_desc;Gana {0} partidas con una baraja de Skellige durante el desafío activo.
achievement_11010_new_desc;Gana {0} partidas con Skellige durante el desafío activo.
achievement_11011_desc;Completa 3 misiones respaldando la facción de Skellige durante un evento de desafío.
achievement_11011_title;Saqueador
achievement_11012_desc;Completa 5 misiones respaldando la facción de Skellige durante un evento de desafío.
achievement_11012_title;Proscrito
achievement_11013_desc;Completa 10 misiones respaldando la facción de Skellige durante un evento de desafío.
achievement_11013_title;Expoliador
achievement_11014_desc;Completa 15 misiones respaldando la facción de Skellige durante un evento de desafío.
achievement_11014_title;Primer oficial
achievement_11015_desc;Completa 25 misiones respaldando la facción de Skellige durante un evento de desafío.
achievement_11015_title;Capitán pirata
achievement_11020_desc;Gana {0} partidas con una baraja de los Reinos del Norte durante el desafío activo.
achievement_11020_new_desc;Gana {0} partidas con los Reinos del Norte durante el desafío activo.
achievement_11021_desc;Completa 3 misiones respaldando la facción de los Reinos del Norte durante un evento de desafío.
achievement_11021_title;Novato
achievement_11022_desc;Completa 5 misiones respaldando la facción de los Reinos del Norte durante un evento de desafío.
achievement_11022_title;Teniente
achievement_11023_desc;Completa 10 misiones respaldando la facción de los Reinos del Norte durante un evento de desafío.
achievement_11023_title;Partidario
achievement_11024_desc;Completa 15 misiones respaldando la facción de los Reinos del Norte durante un evento de desafío.
achievement_11024_title;Patriota
achievement_11025_desc;Completa 25 misiones respaldando la facción de los Reinos del Norte durante un evento de desafío.
achievement_11025_title;Por el rey y la nación
achievement_11030_desc;Gana {0} partidas con una baraja de Nilfgaard durante el desafío activo.
achievement_11030_new_desc;Gana {0} partidas con Nilfgaard durante el desafío activo.
achievement_11031_desc;Completa 3 misiones respaldando la facción de Nilfgaard durante un evento de desafío.
achievement_11031_title;Espía
achievement_11032_desc;Completa 5 misiones respaldando la facción de Nilfgaard durante un evento de desafío.
achievement_11032_title;Asesino
achievement_11033_desc;Completa 10 misiones respaldando la facción de Nilfgaard durante un evento de desafío.
achievement_11033_title;Traidor
achievement_11034_desc;Completa 15 misiones respaldando la facción de Nilfgaard durante un evento de desafío.
achievement_11034_title;Maestro espía
achievement_11035_desc;Completa 25 misiones respaldando la facción de Nilfgaard durante un evento de desafío.
achievement_11035_title;Voluntad del emperador
achievement_11040_desc;Gana {0} partidas con una baraja de Scoia'tael durante el desafío activo.
achievement_11040_new_desc;Gana {0} partidas con Scoia'tael durante el desafío activo.
achievement_11041_desc;Completa 3 misiones respaldando la facción de Scoia'tael durante un evento de desafío.
achievement_11041_title;Insurgente
achievement_11042_desc;Completa 5 misiones respaldando la facción de Scoia'tael durante un evento de desafío.
achievement_11042_title;Sicario
achievement_11043_desc;Completa 10 misiones respaldando la facción de Scoia'tael durante un evento de desafío.
achievement_11043_title;Revolucionario
achievement_11044_desc;Completa 15 misiones respaldando la facción de Scoia'tael durante un evento de desafío.
achievement_11044_title;Fanático
achievement_11045_desc;Completa 25 misiones respaldando la facción de Scoia'tael durante un evento de desafío.
achievement_11045_title;Líder de comando
achievement_11050_desc;Gana {0} partidas con una baraja del Sindicato durante el desafío activo.
achievement_11050_new_desc;Gana {0} partidas con el Sindicato durante el desafío activo.
achievement_11051_title;Chico de los recados
achievement_11052_title;Criminal de tres al cuarto
achievement_11053_title;Teniente
achievement_11054_title;Mano derecha
achievement_11055_title;Mandamás
achievement_11060_desc;Completa {0} misiones de desafío.
achievement_11060_new_desc;Completa {0} misiones de desafío.
achievement_11061_title;¡Se necesita ayuda!
achievement_11062_title;Mediador
achievement_11063_title;Autónomo
achievement_11064_title;Mercenario
achievement_11065_title;Soldado de fortuna
achievement_11066_desc;Potencia a Shani hasta los 20 puntos.
achievement_11066_title;De Radovid con amor
achievement_12001_desc;Gana 1 partida con el tablero Puente sobre el Yaruga equipado
achievement_12001_title;Batalla del puente sobre el Yaruga
achievement_12002_desc;Gana 15 partidas con el tablero Puente sobre el Yaruga equipado
achievement_12002_title;¡Por Lyria!
achievement_12003_desc;Gana 50 partidas con el tablero Puente sobre el Yaruga equipado
achievement_12003_title;Maestro de asedios
achievement_12005_desc;¡Completa 1 misión diaria durante la fiesta de cumpleaños de Ciri y Yennefer!
achievement_12005_title;¡Que empiece la fiesta!
achievement_12006_desc;¡Completa 2 misiones diarias durante la fiesta de cumpleaños de Ciri y Yennefer!
achievement_12006_title;¡Pide un deseo!
achievement_12007_desc;¡Completa 3 misiones diarias durante la fiesta de cumpleaños de Ciri y Yennefer!
achievement_12007_title;¡Cumpleaños feliz!
achievement_12009_title;Lánzale una moneda al brujo
achievement_12009_title_alt;Señal del brujo
achievement_12009_title_alt_2;Lánzale una moneda al lobo
achievement_12010_title;Lánzale una moneda a la princesa
achievement_12010_title_alt;Señal de la princesa
achievement_12011_title;Lánzale una moneda a la hechicera
achievement_12011_title_alt;Señal de la hechicera
achievement_12013_title;Solo un mercenario
achievement_12014_title;No solo un mercenario
achievement_12015_title;No un mercenario cualquiera
achievement_12017_title;Sigue jugando
achievement_12024_title;La gran barajada
achievement_12028_title;La mayor barajada
achievement_12030_desc;Abre un barril.
achievement_12030_title;Abrir uno de oro
achievement_12035_title;Envía «Buena partida» para presentar tus respetos
achievement_12040_desc;Gana 1 partida con el aspecto de Gascon equipado
achievement_12040_title;¡Por los Brossard!
achievement_12041_desc;Gana 15 partidas con el aspecto de Gascon equipado
achievement_12041_title;¡Por la Jauría de Spalla!
achievement_12042_desc;Gana 50 partidas con el aspecto de Gascon equipado
achievement_12042_title;¡Por el Duque de los Perros!
achievement_12044_title;El gorro rojo feroz
achievement_12045_title;Es todo azúcar
achievement_12047_desc;Gana 1 partida durante la celebración del aniversario.
achievement_12047_title;¡Anda, mira, una tarta!
achievement_12048_desc;Gana 3 partidas durante la celebración del aniversario.
achievement_12048_title;El dulce sabor de la victoria
achievement_12049_desc;Gana 6 partidas durante la celebración del aniversario.
achievement_12049_title;Vale, solo una más
achievement_12050_desc;Gana 15 partidas durante la celebración del aniversario.
achievement_12050_title;No puedo parar de comer
achievement_12052_desc;Completa 1 misión diaria durante la celebración del aniversario.
achievement_12052_title;¡Preparados!
achievement_12053_desc;Completa 3 misiones diarias durante la celebración del aniversario.
achievement_12053_title;¡Listos!
achievement_12054_desc;Completa 7 misiones diarias durante la celebración del aniversario.
achievement_12054_title;¡Fiesta!
achievement_12056_desc;Juega 1 partida con la facción de Monstruos durante la celebración del aniversario.
achievement_12056_title;¡Celebración monstruosa!
achievement_12057_desc;Juega 3 partidas con la facción de Monstruos durante la celebración del aniversario.
achievement_12057_title;¿Sangre o vino?
achievement_12058_desc;Juega 5 partidas con la facción de Monstruos durante la celebración del aniversario.
achievement_12058_title;El vino vuela cuando te estás divirtiendo
achievement_12060_desc;Juega 1 partida con la facción de Nilfgaard durante la celebración del aniversario.
achievement_12060_title;¡Celebración nilfgaardiana!
achievement_12061_desc;Juega 3 partidas con la facción de Nilfgaard durante la celebración del aniversario.
achievement_12061_title;¿Y por qué no?
achievement_12062_desc;Juega 5 partidas con la facción de Nilfgaard durante la celebración del aniversario.
achievement_12062_title;La noche es joven
achievement_12064_desc;Juega 1 partida con la facción de Scoia'tael durante la celebración del aniversario.
achievement_12064_title;¡Celebración Scoia'tael!
achievement_12065_desc;Juega 3 partidas con la facción de Scoia'tael durante la celebración del aniversario.
achievement_12065_title;Hagamos un brindis
achievement_12066_desc;Juega 5 partidas con la facción de Scoia'tael durante la celebración del aniversario.
achievement_12066_title;Juntos somos más fuertes
achievement_12068_desc;Juega 1 partida con la facción de Skellige durante la celebración del aniversario.
achievement_12068_title;¡Celebración de Skellige!
achievement_12069_desc;Juega 3 partidas con la facción de Skellige durante la celebración del aniversario.
achievement_12069_title;Dueños de la noche
achievement_12070_desc;Juega 5 partidas con la facción de Skellige durante la celebración del aniversario.
achievement_12070_title;Fiesta en el mar
achievement_12072_desc;Juega 1 partida con la facción de los Reinos del Norte durante la celebración del aniversario.
achievement_12072_title;¡Celebración de los Reinos del Norte!
achievement_12073_desc;Juega 3 partidas con la facción de los Reinos del Norte durante la celebración del aniversario.
achievement_12073_title;¿Qué importa el nombre?
achievement_12074_desc;Juega 5 partidas con la facción de los Reinos del Norte durante la celebración del aniversario.
achievement_12074_title;Buenas viandas, buen ánimo
achievement_12076_desc;Juega 1 partida con la facción del Sindicato durante la celebración del aniversario.
achievement_12076_title;¡Celebración del Sindicato!
achievement_12077_desc;Juega 3 partidas con la facción del Sindicato durante la celebración del aniversario.
achievement_12077_title;La fórmula de la diversión
achievement_12078_desc;Juega 5 partidas con la facción del Sindicato durante la celebración del aniversario.
achievement_12078_title;Gestando el entretenimiento
achievement_12080_desc;Juega 3 partidas de Draft durante la celebración del aniversario.
achievement_12080_title;Tramando algo
achievement_12081_desc;Juega 5 partidas de Draft durante la celebración del aniversario.
achievement_12081_title;Centrado en el premio
achievement_12083_desc;Abre 1 barril durante la celebración del aniversario.
achievement_12084_desc;Abre 3 barriles durante la celebración del aniversario.
achievement_12085_desc;Abre 6 barriles durante la celebración del aniversario.
achievement_12086_desc;Abre 10 barriles durante la celebración del aniversario.
achievement_12088_desc;Envía «Buena partida» 1 vez durante la celebración del aniversario.
achievement_12089_desc;Envía «Buena partida» 3 veces durante la celebración del aniversario.
achievement_12090_desc;Envía «Buena partida» 6 veces durante la celebración del aniversario.
achievement_12091_desc;Envía «Buena partida» 10 veces durante la celebración del aniversario.
achievement_13005_desc;Gana 10 partidas con el aspecto de Troco.
achievement_13005_title;¡Adorable!
achievement_20001_desc;Juega una partida en línea en cualquier modo.
achievement_20001_title;Solo para probar
achievement_20002_desc;Juega 5 partidas en línea en cualquier modo.
achievement_20002_title;No hay vuelta atrás
