_inputshopbuymultiple;购买
achievement_10546_desc;在在线对局中，从己方墓场复活 1000 个单位。
achievement_10546_title;有人叫医生吗？
achievement_10547_desc;赢得一场在线对局，且某个己方单位的战力不低于 50 点。
achievement_10547_title;战力兄贵
achievement_10548_desc;在一场在线对局中，转变 1 张牌。
achievement_10548_title;改头换面
achievement_10549_desc;在一场在线对局中，用1 张牌摧毁至少 3 个单位并获胜。
achievement_10549_title;一石三鸟
achievement_10550_desc;在一场在线对局中，用另一个整排效果覆盖当前效果。
achievement_10550_title;驾驭元素
achievement_10551_title;见到你很高兴
achievement_10552_title;最佳拍档
achievement_10553_title;同袍之情
achievement_10554_title;同族之魂
achievement_10555_title;第一滴血
achievement_10556_title;绝灭
achievement_10557_title;屠夫
achievement_10558_title;行刑手
achievement_10559_title;戒断
achievement_10560_title;拥抱自然
achievement_10561_title;原汁原味
achievement_10562_title;纯粹者
achievement_10563_title;躁火
achievement_10564_title;激怒
achievement_10565_title;错乱
achievement_10566_title;哦吼吼吼吼！！
achievement_10567_title;传教士
achievement_10568_title;移居者
achievement_10569_title;殖民者
achievement_10570_title;霸权者
achievement_10571_title;友善亲邻
achievement_10572_title;和而不同
achievement_10573_title;团结就是力量！
achievement_10574_title;自然之子
achievement_10575_title;无关痛痒
achievement_10576_title;血染
achievement_10577_title;血浸
achievement_10578_title;猩红如潮
achievement_10579_title;小圆盾
achievement_10580_title;防寒盾
achievement_10581_title;巨盾
achievement_10582_title;防弹盾
achievement_10583_title;杯中琼珍
achievement_10584_title;毒师
achievement_10585_title;封喉之毒
achievement_10586_title;断魂散
achievement_10587_title;状态良好
achievement_10588_title;供给不断
achievement_10589_title;安然无虞
achievement_10590_title;存活概率：高
achievement_10591_title;脆弱防线
achievement_10592_title;惶然无助
achievement_10593_title;蛮力进取
achievement_10594_title;破盾先锋
achievement_10595_desc;只用一种毒药便摧毁一个中毒的单位。
achievement_10595_title;无情袭击
achievement_10596_desc;在不使用任何金币的情况下，使用一个辛迪加阵营的能力赢得 1 场对局。
achievement_10596_title;寒酸鬼
achievement_10597_desc;在对局结束时保有 9 枚金币的情况下，使用一个辛迪加阵营的能力赢得 1 场对局。
achievement_10597_title;财力雄厚
achievement_10598_desc;在对局结束时花光所有金币的情况下，使用一个辛迪加阵营的能力赢得 1 场对局。
achievement_10598_title;花光！花光！
achievement_10599_title;败家子
achievement_10600_title;小气鬼
achievement_10601_title;吝啬鬼
achievement_10602_title;守财奴
achievement_10603_title;铁公鸡
achievement_10604_title;小散
achievement_10605_title;财主
achievement_10606_title;投资人
achievement_10607_title;风投家
achievement_10608_title;新人
achievement_10609_title;辛迪加特权
achievement_10610_title;无法拒绝的提议
achievement_10611_title;最终费用
achievement_10612_title;最后期限
achievement_10613_title;小金库
achievement_10614_title;储蓄库
achievement_10615_title;藏金库
achievement_10620_title;悬赏
achievement_10621_title;目标
achievement_10622_title;追捕
achievement_10623_title;猎杀
achievement_10624_title;第一桶金
achievement_10625_title;小动作
achievement_10626_title;很富有
achievement_10627_title;金融泡沫
achievement_10628_title;恶霸
achievement_10629_title;打手
achievement_10630_title;执行者
achievement_10631_title;打手
achievement_10634_desc;为单位附加护甲 10 次
achievement_10634_title;升温！
achievement_10635_desc;为单位附加护甲 100 次
achievement_10635_title;淬火
achievement_10636_desc;为单位附加护甲 500 次
achievement_10636_title;回炉
achievement_10637_desc;为单位附加护甲 1000 次
achievement_10637_title;硬化钢甲
achievement_10638_desc;触发“壁垒” 10 次
achievement_10638_title;路障
achievement_10639_desc;触发“壁垒” 100 次
achievement_10639_title;哨站
achievement_10640_desc;触发“壁垒” 500 次
achievement_10640_title;要塞
achievement_10641_desc;触发“壁垒” 1000 次
achievement_10641_title;城堡
achievement_10642_desc;触发“破甲” 10 次
achievement_10642_title;皮外小伤
achievement_10643_desc;触发“破甲” 100 次
achievement_10643_title;轻伤而已
achievement_10644_desc;触发“破甲” 500 次
achievement_10644_title;我即无敌
achievement_10645_desc;触发“破甲” 1000 次
achievement_10645_title;我要咬人了！
achievement_10646_desc;打出 5 次“镜子大师”扩展包中历变卡牌的最终形态
achievement_10646_title;Lv.1 恶棍
achievement_10647_desc;打出 50 次“镜子大师”扩展包中历变卡牌的最终形态
achievement_10647_title;Lv.10 刺客
achievement_10648_desc;打出 250 次“镜子大师”扩展包中历变卡牌的最终形态
achievement_10648_title;Lv.30 首领
achievement_10649_desc;打出 500 次“镜子大师”扩展包中历变卡牌的最终形态
achievement_10649_title;Lv.100 教父
achievement_10650_desc;用“霜”造成 25 次伤害
achievement_10650_title;少冰
achievement_10651_desc;用“霜”造成 250 次伤害
achievement_10651_title;莫吉托
achievement_10652_desc;用“霜”造成 1250 次伤害
achievement_10652_title;多冰
achievement_10653_desc;用“霜”造成 2500 次伤害
achievement_10653_title;冰棍
achievement_10654_desc;触发“共谋” 10 次
achievement_10654_title;初次合作
achievement_10655_desc;触发“共谋” 100 次
achievement_10655_title;互助互惠
achievement_10656_desc;触发“共谋” 500 次
achievement_10656_title;黑衣人
achievement_10657_desc;触发“共谋” 1000 次
achievement_10657_title;世界新秩序
achievement_10658_desc;生成 10 个“游荡的树人”
achievement_10658_title;发芽
achievement_10659_desc;生成 100 个“游荡的树人”
achievement_10659_title;自然之子
achievement_10660_desc;生成 500 个“游荡的树人”
achievement_10660_title;绿波成海
achievement_10661_desc;生成 1000 个“游荡的树人”
achievement_10661_title;树人的崛起
achievement_10662_desc;生成 10 名“志愿军”
achievement_10662_title;班长
achievement_10663_desc;生成 100 名“志愿军”
achievement_10663_title;连长
achievement_10664_desc;生成 500 名“志愿军”
achievement_10664_title;营长
achievement_10665_desc;生成 1000 名“志愿军”
achievement_10665_title;旅长
achievement_10666_desc;生成 10 名“烈焰蔷薇步兵”
achievement_10666_title;烈焰蔷薇步兵
achievement_10667_desc;生成 100 名“烈焰蔷薇步兵”
achievement_10667_title;烈焰蔷薇骑士
achievement_10668_desc;生成 500 名“烈焰蔷薇步兵”
achievement_10668_title;烈焰蔷薇元帅
achievement_10669_desc;生成 1000 名“烈焰蔷薇步兵”
achievement_10669_title;烈焰蔷薇大团长
achievement_10670_desc;触发“老兵”关键字 10 次
achievement_10670_title;奴隶
achievement_10671_desc;触发“老兵”关键字 100 次
achievement_10671_title;被解放的奴隶
achievement_10672_desc;触发“老兵”关键字 500 次
achievement_10672_title;自由民
achievement_10673_desc;触发“老兵”关键字 1000 次
achievement_10673_title;侍卫
achievement_10674_desc;打出 10 张“猎魔人”牌
achievement_10674_title;被绑架者
achievement_10675_desc;打出 100 张“猎魔人”牌
achievement_10675_title;青草试炼
achievement_10676_desc;打出 500 张“猎魔人”牌
achievement_10676_title;残忍的技艺修炼
achievement_10677_desc;打出 1000 张“猎魔人”牌
achievement_10677_title;年迈的狩魔猎人
achievement_10678_desc;触发“亢奋”关键字 10 次
achievement_10678_title;战意激升
achievement_10679_desc;触发“亢奋”关键字 100 次
achievement_10679_title;求战若渴
achievement_10680_desc;触发“亢奋”关键字 500 次
achievement_10680_title;为战痴狂
achievement_10681_desc;触发“亢奋”关键字 1000 次
achievement_10681_title;我需要冷静！
achievement_10682_desc;触发“夜宴”关键字 10 次
achievement_10682_title;黑色安息日：偏执狂
achievement_10683_desc;触发“夜宴”关键字 100 次
achievement_10683_title;黑色安息日：铁娘子
achievement_10684_desc;触发“夜宴”关键字 500 次
achievement_10684_title;黑色安息日：战熊
achievement_10685_desc;触发“夜宴”关键字 1000 次
achievement_10685_title;“上帝已去”
achievement_10686_desc;触发“耐性”关键字 10 次
achievement_10686_title;…是一种美德
achievement_10687_desc;触发“耐性”关键字 100 次
achievement_10687_title;克己
achievement_10688_desc;触发“耐性”关键字 500 次
achievement_10688_title;失去耐心就等于输掉战斗
achievement_10689_desc;触发“耐性”关键字 1000 次
achievement_10689_title;轻度的绝望
achievement_10690_desc;完成 5 场对局，每局打出至少 1 张来自“衔尾蛇”牌组的牌
achievement_10690_title;利爪与匕首
achievement_10691_desc;完成 10 场对局，每局打出至少 1 张来自“衔尾蛇”牌组的牌
achievement_10691_title;计划之始
achievement_10692_desc;完成 20 场对局，每局打出至少 1 张来自“衔尾蛇”牌组的牌
achievement_10692_title;蓄谋已久
achievement_10693_desc;完成 30 场对局，每局打出至少 1 张来自“衔尾蛇”牌组的牌
achievement_10693_title;万事俱备
achievement_11000_desc;在挑战期间，使用“怪兽”牌组赢得 {0} 场对局
achievement_11000_new_desc;在阵营挑战期间，使用“怪兽”阵营赢得 {0} 场对局
achievement_11001_desc;在一场挑战活动中，代表怪兽阵营完成 3 个任务。
achievement_11001_title;仆从
achievement_11002_desc;在一场挑战活动中，代表怪兽阵营完成 5 个任务。
achievement_11002_title;新兵
achievement_11003_desc;在一场挑战活动中，代表怪兽阵营完成 10 个任务。
achievement_11003_title;侍祭
achievement_11004_desc;在一场挑战活动中，代表怪兽阵营完成 15 个任务。
achievement_11004_title;弄臣
achievement_11005_desc;在一场挑战活动中，代表怪兽阵营完成 25 个任务。
achievement_11005_title;巨像
achievement_11010_desc;在挑战期间，使用“史凯利格”牌组赢得 {0} 场对局
achievement_11010_new_desc;在阵营挑战期间，使用“史凯利格”阵营赢得 {0} 场对局
achievement_11011_desc;在一场挑战活动中，代表史凯利格阵营完成 3 个任务。
achievement_11011_title;袭击者
achievement_11012_desc;在一场挑战活动中，代表史凯利格阵营完成 5 个任务。
achievement_11012_title;法外之徒
achievement_11013_desc;在一场挑战活动中，代表史凯利格阵营完成 10 个任务。
achievement_11013_title;袭劫者
achievement_11014_desc;在一场挑战活动中，代表史凯利格阵营完成 15 个任务。
achievement_11014_title;大副
achievement_11015_desc;在一场挑战活动中，代表史凯利格阵营完成 25 个任务。
achievement_11015_title;无畏船长
achievement_11020_desc;在挑战期间，使用“北方领域”牌组赢得 {0} 场对局
achievement_11020_new_desc;在阵营挑战期间，使用“北方领域”阵营赢得 {0} 场对局
achievement_11021_desc;在一场挑战活动中，代表北方领域阵营完成 3 个任务。
achievement_11021_title;新军
achievement_11022_desc;在一场挑战活动中，代表北方领域阵营完成 5 个任务。
achievement_11022_title;中尉
achievement_11023_desc;在一场挑战活动中，代表北方领域阵营完成 10 个任务。
achievement_11023_title;忠士
achievement_11024_desc;在一场挑战活动中，代表北方领域阵营完成 15 个任务。
achievement_11024_title;爱国者
achievement_11025_desc;在一场挑战活动中，代表北方领域阵营完成 25 个任务。
achievement_11025_title;为了吾王吾土
achievement_11030_desc;在挑战期间，使用“尼弗迦德”牌组赢得 {0} 场对局
achievement_11030_new_desc;在阵营挑战期间，使用“尼弗迦德”阵营赢得 {0} 场对局
achievement_11031_desc;在一场挑战活动中，代表尼弗迦德阵营完成 3 个任务。
achievement_11031_title;潜伏
achievement_11032_desc;在一场挑战活动中，代表尼弗迦德阵营完成 5 个任务。
achievement_11032_title;潜行者
achievement_11033_desc;在一场挑战活动中，代表尼弗迦德阵营完成 10 个任务。
achievement_11033_title;暗袭者
achievement_11034_desc;在一场挑战活动中，代表尼弗迦德阵营完成 15 个任务。
achievement_11034_title;密探大师
achievement_11035_desc;在一场挑战活动中，代表尼弗迦德阵营完成 25 个任务。
achievement_11035_title;皇帝之手
achievement_11040_desc;在挑战期间，使用“松鼠党”牌组赢得 {0} 场对局
achievement_11040_new_desc;在阵营挑战期间，使用“松鼠党”阵营赢得 {0} 场对局
achievement_11041_desc;在一场挑战活动中，代表松鼠党阵营完成 3 个任务。
achievement_11041_title;起义者
achievement_11042_desc;在一场挑战活动中，代表松鼠党阵营完成 5 个任务。
achievement_11042_title;快刀手
achievement_11043_desc;在一场挑战活动中，代表松鼠党阵营完成 10 个任务。
achievement_11043_title;反叛志士
achievement_11044_desc;在一场挑战活动中，代表松鼠党阵营完成 15 个任务。
achievement_11044_title;狂热者
achievement_11045_desc;在一场挑战活动中，代表松鼠党阵营完成 25 个任务。
achievement_11045_title;突击队领袖
achievement_11050_desc;在挑战期间，使用“辛迪加”牌组赢得 {0} 场对局
achievement_11050_new_desc;在阵营挑战期间，使用“辛迪加”阵营赢得 {0} 场对局
achievement_11051_title;跑腿
achievement_11052_title;轻犯
achievement_11053_title;副官
achievement_11054_title;左右手
achievement_11055_title;一把手
achievement_11060_desc;完成 {0} 个挑战任务
achievement_11060_new_desc;完成 {0} 个挑战任务
achievement_11061_title;请帮忙招募！
achievement_11062_title;调停者
achievement_11063_title;自由职业者
achievement_11064_title;佣兵
achievement_11065_title;兵痞
achievement_11066_desc;将“夏妮”增益至 20 点战力
achievement_11066_title;拉多维德的爱
achievement_12001_desc;装备“战场：桥上之战”，赢得 1 场对局
achievement_12001_title;雅鲁加河的桥上之战
achievement_12002_desc;装备“战场：桥上之战”，赢得 15 场对局
achievement_12002_title;为了莱里亚!
achievement_12003_desc;装备“战场：桥上之战”，赢得 50 场对局
achievement_12003_title;攻城大师
achievement_12005_desc;完成 1 个希里和叶奈法的生日宴会日常任务！
achievement_12005_title;宴会开始！
achievement_12006_desc;完成 2 个希里和叶奈法的生日宴会日常任务！
achievement_12006_title;许愿吧！
achievement_12007_desc;完成 3 个希里和叶奈法的生日宴会日常任务！
achievement_12007_title;生日快乐！
achievement_12009_title;为你的猎魔人投一枚金币
achievement_12009_title_alt;猎魔人的印记
achievement_12009_title_alt_2;为你的狼投一枚金币
achievement_12010_title;为你的公主投一枚金币
achievement_12010_title_alt;公主的印记
achievement_12011_title;为你的法师投一枚金币
achievement_12011_title_alt;女术士的印记
achievement_12013_title;只是一个佣兵
achievement_12014_title;不止是一个佣兵
achievement_12015_title;不是一个普通佣兵
achievement_12017_title;只是玩玩
achievement_12024_title;伟大的牌局
achievement_12028_title;最伟大的牌局
achievement_12030_desc;打开一个牌桶
achievement_12030_title;桶桶有金
achievement_12035_title;打得不错，瑞思拜
achievement_12040_desc;装备加斯科的皮肤，赢得 1 场对局
achievement_12040_title;为了布罗萨德！
achievement_12041_desc;装备加斯科的皮肤，赢得 15 场对局
achievement_12041_title;为了史帕拉流亡军！
achievement_12042_desc;装备加斯科的皮肤，赢得 50 场对局
achievement_12042_title;为了野狗公爵！
achievement_12044_title;大红帽
achievement_12045_title;甜心制造
achievement_12047_desc;在周年庆期间赢得 1 场对局
achievement_12047_title;看，生日蛋糕！
achievement_12048_desc;在周年庆期间赢得 3 场对局
achievement_12048_title;胜利的甜美
achievement_12049_desc;在周年庆期间赢得 6 场对局
achievement_12049_title;再来一口
achievement_12050_desc;在周年庆期间赢得 15 场对局
achievement_12050_title;统统吃掉
achievement_12052_desc;在周年庆期间完成 1 个日常任务
achievement_12052_title;做好准备！
achievement_12053_desc;在周年庆期间完成 3 个日常任务
achievement_12053_title;准备就绪！
achievement_12054_desc;在周年庆期间完成 7 个日常任务
achievement_12054_title;开始爬梯！
achievement_12056_desc;在周年庆期间使用“怪兽”阵营完成 1 场对局
achievement_12056_title;怪兽的狂欢！
achievement_12057_desc;在周年庆期间使用“怪兽”阵营完成 3 场对局
achievement_12057_title;血还是酒？
achievement_12058_desc;在周年庆期间使用“怪兽”阵营完成 5 场对局
achievement_12058_title;把酒言欢
achievement_12060_desc;在周年庆期间使用“尼弗迦德”阵营完成 1 场对局
achievement_12060_title;尼弗迦德的狂欢！
achievement_12061_desc;在周年庆期间使用“尼弗迦德”阵营完成 3 场对局
achievement_12061_title;为什么不呢？
achievement_12062_desc;在周年庆期间使用“尼弗迦德”阵营完成 5 场对局
achievement_12062_title;今夜我们正年轻
achievement_12064_desc;在周年庆期间使用“松鼠党”阵营完成 1 场对局
achievement_12064_title;松鼠党的狂欢！
achievement_12065_desc;在周年庆期间使用“松鼠党”阵营完成 3 场对局
achievement_12065_title;一同举杯
achievement_12066_desc;在周年庆期间使用“松鼠党”阵营完成 5 场对局
achievement_12066_title;共襄盛举
achievement_12068_desc;在周年庆期间使用“史凯利格”阵营完成 1 场对局
achievement_12068_title;史凯利格的狂欢！
achievement_12069_desc;在周年庆期间使用“史凯利格”阵营完成 3 场对局
achievement_12069_title;今夜无眠
achievement_12070_desc;在周年庆期间使用“史凯利格”阵营完成 5 场对局
achievement_12070_title;浪涛上的欢歌
achievement_12072_desc;在周年庆期间使用“北方领域”阵营完成 1 场对局
achievement_12072_title;北方领域的狂欢！
achievement_12073_desc;在周年庆期间使用“北方领域”阵营完成 3 场对局
achievement_12073_title;虚名何劳？
achievement_12074_desc;在周年庆期间使用“北方领域”阵营完成 5 场对局
achievement_12074_title;好食物，好心情
achievement_12076_desc;在周年庆期间使用“辛迪加”阵营完成 1 场对局
achievement_12076_title;辛迪加的欢庆！
achievement_12077_desc;在周年庆期间使用“辛迪加”阵营完成 3 场对局
achievement_12077_title;玩个大的
achievement_12078_desc;在周年庆期间使用“辛迪加”阵营完成 5 场对局
achievement_12078_title;帮派生活好
achievement_12080_desc;在周年庆期间完成 3 场轮抽
achievement_12080_title;不怀好意
achievement_12081_desc;在周年庆期间完成 5 场轮抽
achievement_12081_title;心系奖励
achievement_12083_desc;在周年庆期间开启 1 个牌桶
achievement_12084_desc;在周年庆期间开启 3 个牌桶
achievement_12085_desc;在周年庆期间开启 6 个牌桶
achievement_12086_desc;在周年庆期间开启 10 个牌桶
achievement_12088_desc;在周年庆期间打出 GG 1 次
achievement_12089_desc;在周年庆期间打出 GG 3 次
achievement_12090_desc;在周年庆期间打出 GG 6 次
achievement_12091_desc;在周年庆期间打出 GG 10 次
achievement_13005_desc;使用“店店”皮肤赢得 10 场对局
achievement_13005_title;萌萌哒！
achievement_20001_desc;进行一场在线对局，模式不限。
achievement_20001_title;新手入坑
achievement_20002_desc;进行 5 场在线对局，模式不限。
achievement_20002_title;小玩怡情
achievement_20003_desc;进行 25 场在线对局，模式不限。
achievement_20003_title;渐入佳境
achievement_20004_desc;进行 100 场在线对局，模式不限。
achievement_20004_title;将帅之才
achievement_20005_desc;进行 500 场在线对局，模式不限。
achievement_20005_title;横扫八荒
achievement_20100_desc;向对手发送 1 次 “打得不错”。
achievement_20100_title;牌桌礼仪
achievement_20101_desc;向对手发送 10 次 “打得不错”。
achievement_20101_title;礼貌游戏
achievement_20102_desc;向对手发送 100 次 “打得不错”。
achievement_20102_title;竞技风尚
achievement_20103_desc;向对手发送 200 次 “打得不错”。
achievement_20103_title;可敬的对手
achievement_20104_desc;向对手发送 500 次 “打得不错”。
achievement_20104_title;独乐乐不如众乐乐
achievement_20105_desc;向对手发送 1000 次 “打得不错”。
achievement_20105_title;胜负看淡
achievement_20106_desc;向对手发送 5000 次 “打得不错”。
achievement_20106_title;兼爱尚同，疏者为戚
achievement_20200_desc;使用每个阵营的基础能力赢得 100 场对局。
achievement_20200_title;全能选手
achievement_20210_desc;使用每一个怪兽阵营基础能力赢得 100 场对局。
achievement_20210_title;梦魇
achievement_20211_desc;使用坚硬甲壳能力赢得 100 场对局。
achievement_20211_title;坚硬甲壳精通
achievement_20212_desc;使用不息虫群能力赢得 100 场对局。
achievement_20212_title;不息虫群精通
achievement_20213_desc;使用自然之力能力赢得 100 场对局。
achievement_20213_title;自然之力精通
achievement_20214_desc;使用白霜降临能力赢得 100 场对局。
achievement_20214_title;白霜降临精通
achievement_20220_desc;使用每一个尼弗迦德阵营基础能力赢得 100 场对局。
achievement_20220_title;君临天下
achievement_20221_desc;使用牢狱之灾能力赢得 100 场对局。
achievement_20221_title;牢狱之灾精通
achievement_20222_desc;使用陶森特式好客能力赢得 100 场对局
achievement_20222_title;陶森特式好客精通
achievement_20223_desc;使用帝国列阵能力赢得 100 场对局。
achievement_20223_title;帝国列阵精通
achievement_20224_desc;使用战术决策能力赢得 100 场对局。
achievement_20224_title;战术决策精通
achievement_20230_desc;使用每一个北方领域阵营基础能力赢得 100 场对局。
achievement_20230_title;万王之王
achievement_20231_desc;使用灼心狂热能力赢得 100 场对局。
achievement_20231_title;灼心狂热精通
achievement_20232_desc;使用钢铁盾墙能力赢得 100 场对局。
achievement_20232_title;钢铁盾墙精通
achievement_20233_desc;使用战场动员能力赢得 100 场对局。
achievement_20233_title;战场动员精通
achievement_20234_desc;使用军需储备能力赢得 100 场对局。
achievement_20234_title;军需储备精通
