_inputshopbuymultiple;КУПИТЬ
achievement_10203_title;Постоянный покупатель
achievement_10204_desc;Потратить 50 000 единиц руды.
achievement_10204_title;Бочек мало не бывает
achievement_10300_desc;Потратить 100 единиц метеоритной пыли.
achievement_10300_title;Блестелка!
achievement_10301_desc;Потратить 1000 единиц метеоритной пыли.
achievement_10301_title;Красиво жить не запретишь
achievement_10302_desc;Потратить 5000 единиц метеоритной пыли.
achievement_10302_title;Модный приговор
achievement_10303_desc;Потратить 10 000 единиц метеоритной пыли.
achievement_10303_title;Шик и блеск
achievement_10304_desc;Потратить 20 000 единиц метеоритной пыли.
achievement_10304_title;Радужное настроение
achievement_10400_desc;Потратить 10 очков награды.
achievement_10400_title;Заметки на полях
achievement_10401_desc;Потратить 50 очков награды.
achievement_10401_title;Тропа из хлебных крошек
achievement_10402_desc;Потратить 100 очков награды.
achievement_10402_title;Эффект бабочки
achievement_10403_desc;Потратить 500 очков награды.
achievement_10403_title;Дендролог
achievement_10404_desc;Потратить 1000 очков награды.
achievement_10404_title;Соединяя точки
achievement_10501_desc;Вскрыть 10 карт в сетевых матчах.
achievement_10501_title;Ку-ку
achievement_10502_desc;Вскрыть 100 карт в сетевых матчах.
achievement_10502_title;Жмурки
achievement_10503_desc;Вскрыть 500 карт в сетевых матчах.
achievement_10503_title;От меня не спрячешься
achievement_10504_desc;Вскрыть 1000 карт в сетевых матчах.
achievement_10504_title;Всевидящее Око
achievement_10505_desc;Отдать приказ 10 отрядам в сетевых матчах.
achievement_10505_title;Твердая рука
achievement_10506_desc;Отдать приказ 100 отрядам в сетевых матчах.
achievement_10506_title;Левой, правой, левой, правой!
achievement_10507_desc;Отдать приказ 500 отрядам в сетевых матчах.
achievement_10507_title;Слепая преданность
achievement_10508_desc;Отдать приказ 1000 отрядов в сетевых матчах.
achievement_10508_title;Беспрекословное подчинение
achievement_10509_desc;Убить 10 нелюдей в сетевых матчах.
achievement_10509_title;Шок и трепет
achievement_10510_desc;Убить 100 нелюдей в сетевых матчах.
achievement_10510_title;Последнее слово?
achievement_10511_desc;Убить 1000 нелюдей в сетевых матчах.
achievement_10511_title;Смерть нелюдям
achievement_10512_desc;Контролировать 10 отрядов с силой 10 в сетевом матче одновременно.
achievement_10512_title;Десять из десяти
achievement_10513_desc;Заполнить всю свою сторону поля отрядами и/или артефактами.
achievement_10513_title;Не протолкнуться
achievement_10514_desc;Применить хотя бы 1 насмешку в 10 разных сетевых матчах.
achievement_10514_title;Приятно познакомиться
achievement_10515_desc;Применить хотя бы 1 насмешку в 100 разных сетевых матчах.
achievement_10515_title;Противник нынче измельчал
achievement_10516_desc;Использовать хотя бы 1 насмешку в 1000 разных сетевых матчей.
achievement_10516_title;Не могу удержаться
achievement_10517_desc;Получить больше 30 очков за 1 ход в сетевом матче.
achievement_10517_title;Мастерски сыграно
achievement_10518_desc;Нанести собственным отрядам 10 ед. урона в сетевых матчах.
achievement_10518_title;Как комарик укусит
achievement_10519_desc;Нанести собственным отрядам 100 ед. урона в сетевых матчах.
achievement_10519_title;Всё ради победы
achievement_10520_desc;Нанести собственным отрядам 1000 ед. урона в сетевых матчах.
achievement_10520_title;Кнут и кнут
achievement_10521_desc;Выиграть раунд в сетевом матче, набрав на 100 очков больше противника.
achievement_10521_title;Перегиб
achievement_10522_desc;Выиграть первый раунд в сетевом матче, оставшись без карт в руке.
achievement_10522_title;Пан или пропал
achievement_10523_desc;Выиграть сетевой матч, спасовав в первом раунде с 10 картами в руке.
achievement_10523_title;Туз в рукаве
achievement_10524_desc;Выиграть сетевой матч, использовав все замены в первом раунде.
achievement_10524_title;Ставки сделаны
achievement_10525_desc;Уничтожить 5 или больше вражеских отрядов за 1 ход в сетевом матче.
achievement_10525_title;Эффектная расправа
achievement_10526_desc;Выиграть сетевой матч, взяв все карты из колоды.
achievement_10526_title;Массированная атака
achievement_10527_desc;Сыграть 30 золотых карт в сетевых матчах.
achievement_10527_title;Качество важнее количества
achievement_10528_desc;Сыграть 100 премиальных карт в сетевых матчах.
achievement_10528_title;Шик и блеск
achievement_10529_desc;Выиграть игру, не уничтожив ни одной карты противника.
achievement_10529_title;А вдруг у них семьи
achievement_10530_desc;Выиграть последний раунд сетевого матча, не оставив на стороне противника ни одной карты.
achievement_10530_title;Геноцид
achievement_10531_desc;Выиграть матч с колодой, чья стоимость найма не превышает 100 ед.
achievement_10531_title;Гвинт для бедных
achievement_10533_desc;Сыграть сетевой матч с одним отрядом, у которого есть не менее 5 статусов.
achievement_10533_title;Преображение
achievement_10534_desc;Выиграть сетевой матч меньше чем за 7 минут.
achievement_10534_title;С ветерком
achievement_10536_desc;Сыграть 1000 карт в сетевых матчах.
achievement_10536_title;Играем по-крупному
achievement_10537_desc;Сыграть 10 000 карт в сетевых матчах.
achievement_10537_title;Карточный домик
achievement_10538_desc;Сыграть 100 000 карт в сетевых матчах.
achievement_10538_title;Тасуем, сегодня мы с тобой тасуем
achievement_10539_desc;Активировать 10 завещаний в сетевых матчах.
achievement_10539_title;Хороший нотариус
achievement_10540_desc;Активировать 100 завещаний в сетевых матчах.
achievement_10540_title;Не щадить никого
achievement_10541_desc;Активировать 1000 завещаний в сетевых матчах.
achievement_10541_title;Они сражались за Родину
achievement_10542_desc;Казнить отряд с силой 50 или больше в сетевом матче.
achievement_10542_title;Чем больше шкаф...
achievement_10543_desc;Выиграть сетевой матч, в конце каждого раунда оставаясь без карт в руке.
achievement_10543_title;Без полумер
achievement_10544_desc;Сыграть 10 отрядов из вашего сброса в сетевых матчах.
achievement_10544_title;Нетрадиционная медицина
achievement_10545_desc;Сыграть 100 отрядов из вашего сброса в сетевых матчах.
achievement_10545_title;Неприятность эту мы переживем
achievement_10546_desc;Сыграть 1000 отрядов из вашего сброса в сетевых матчах.
achievement_10546_title;Все нормально, я врач
achievement_10547_desc;Выиграть сетевой матч, в котором сила одного из ваших отрядов должна быть не меньше 50.
achievement_10547_title;Один за всех
achievement_10548_desc;Обратить карту в сетевом матче.
achievement_10548_title;Карта превращается, превращается карта
achievement_10549_desc;Выиграть сетевой матч, уничтожив не меньше 3 отрядов 1 картой.
achievement_10549_title;Одним махом троих побивахом
achievement_10550_desc;Во время сетевого матча заменить один эффект ряда другим.
achievement_10550_title;Какое-то сильное колдунство
achievement_10551_title;Какая встреча!
achievement_10552_title;Прикроешь?
achievement_10553_title;Соратники
achievement_10554_title;Родственные души
achievement_10555_title;Первая кровь
achievement_10556_title;Резня
achievement_10557_title;Бойня
achievement_10558_title;Палач
achievement_10559_title;Очищенный
achievement_10560_title;Естественный
achievement_10561_title;Нагой
achievement_10562_title;Пурист
achievement_10563_title;Беспокойный
achievement_10564_title;Яростный
achievement_10565_title;Бешеный
achievement_10566_title;Гр-р-р!!!
achievement_10567_title;Миссионер
achievement_10568_title;Поселенец
achievement_10569_title;Колонист
achievement_10570_title;Суверен
achievement_10571_title;Дай пять, сосед!
achievement_10572_title;Сила в различии
achievement_10573_title;Сила в единстве
achievement_10574_title;Дети природы
achievement_10575_title;Слабый укол
achievement_10576_title;Запачканный кровью
achievement_10577_title;Весь в крови
achievement_10578_title;Кровавая баня
achievement_10579_title;Баклер
achievement_10580_title;Экю
achievement_10581_title;Павеза
achievement_10582_title;Мантелет
achievement_10583_title;Ложка дегтя
achievement_10584_title;Ядовар
achievement_10585_title;Вкус смерти
achievement_10586_title;Иокаиновый порошок
achievement_10587_title;Годен к службе
achievement_10588_title;Всегда готов
achievement_10589_title;В добром здравии
achievement_10590_title;Долгих лет
achievement_10591_title;Уязвимый
achievement_10592_title;Беспомощный
achievement_10593_title;Грубая сила
achievement_10594_title;Сокрушитель
achievement_10595_desc;Уничтожить отравленный отряд, не добавляя яд еще раз.
achievement_10595_title;Нетерпеливый убийца
achievement_10596_desc;Выиграть матч со способностью Синдиката, не потратив ни одной монеты.
achievement_10596_title;Нет денег — нет проблем
achievement_10597_desc;Выиграть матч со способностью Синдиката, закончив последний раунд с 9 монетами в запасе.
achievement_10597_title;Бездонные карманы
achievement_10598_desc;Выиграть матч со способностью Синдиката, закончив последний раунд без монет в запасе.
achievement_10598_title;До последней монетки
achievement_10599_title;Транжира
achievement_10600_title;Крохобор
achievement_10601_title;Скупердяй
achievement_10602_title;Скряга
achievement_10603_title;Скрудж
achievement_10604_title;Грош цена
achievement_10605_title;Толстый кошель
achievement_10606_title;Вкладчик
achievement_10607_title;Капиталист
achievement_10608_title;Первый раз
achievement_10609_title;Привилегии Синдиката
achievement_10610_title;Предложение, от которого нельзя отказаться
achievement_10611_title;Последний взнос
achievement_10612_title;Копилка
achievement_10613_title;Заначка
achievement_10614_title;Денежный запас
achievement_10615_title;Сейф
achievement_10620_title;Разыскиваемый
achievement_10621_title;Отмеченный
achievement_10622_title;Преследуемый
achievement_10623_title;Затравленный
achievement_10624_title;Первый платеж
achievement_10625_title;Мелкие операции
achievement_10626_title;Довольно богат
achievement_10627_title;Финансовый пузырь
achievement_10628_title;Хулиган
achievement_10629_title;Громила
achievement_10630_title;Костолом
achievement_10631_title;Тяжеловес
achievement_10634_desc;Добавить отрядам броню 10 раз.
achievement_10634_title;Больше огня!
achievement_10635_desc;Добавить отрядам броню 100 раз.
achievement_10635_title;Защищенность
achievement_10636_desc;Добавить отрядам броню 500 раз.
achievement_10636_title;Спокойствие, только спокойствие
achievement_10637_desc;Добавить отрядам броню 1000 раз.
achievement_10637_title;Закаленная сталь
achievement_10638_desc;Активировать способность «Баррикада» 10 раз.
achievement_10638_title;Баррикада
achievement_10639_desc;Активировать способность «Баррикада» 100 раз.
achievement_10639_title;Аванпост
achievement_10640_desc;Активировать способность «Баррикада» 500 раз.
achievement_10640_title;Форт
achievement_10641_desc;Активировать способность «Баррикада» 1000 раз.
achievement_10641_title;Замок
achievement_10642_desc;Активировать способность «Уязвимость» 10 раз.
achievement_10642_title;Всего лишь царапина
achievement_10643_desc;Активировать способность «Уязвимость» 100 раз.
achievement_10643_title;Неприятность эту мы переживем
achievement_10644_desc;Активировать способность «Уязвимость» 500 раз.
achievement_10644_title;Я непобедим!
achievement_10645_desc;Активировать способность «Уязвимость» 1000 раз.
achievement_10645_title;Да я тебе ноги откушу!
achievement_10646_desc;5 раз сыграть последнюю стадию динамических карт из дополнения «Господин Зеркало».
achievement_10646_title;1-й уровень: мошенник
achievement_10647_desc;50 раз сыграть последнюю стадию динамических карт из дополнения «Господин Зеркало».
achievement_10647_title;10-й уровень: наемный убийца
achievement_10648_desc;250 раз сыграть последнюю стадию динамических карт из дополнения «Господин Зеркало».
achievement_10648_title;30-й уровень: босс
achievement_10649_desc;500 раз сыграть последнюю стадию динамических карт из дополнения «Господин Зеркало».
achievement_10649_title;100-й уровень: крестный отец
achievement_10650_desc;Нанести урон эффектом мороза 25 раз.
achievement_10650_title;Вечно им дует
achievement_10651_desc;Нанести урон эффектом мороза 250 раз.
achievement_10651_title;Приятная свежесть
achievement_10652_desc;Нанести урон эффектом мороза 1250 раз.
achievement_10652_title;Студеная былина
achievement_10653_desc;Нанести урон эффектом мороза 2500 раз.
achievement_10653_title;Повелитель стужи
achievement_10654_desc;Активировать способность «Заговор» 10 раз.
achievement_10654_title;Это теория заговора!
achievement_10655_desc;Активировать способность «Заговор» 100 раз.
achievement_10655_title;Общество плоской Земли
achievement_10656_desc;Активировать способность «Заговор» 500 раз.
achievement_10656_title;Люди в черном
achievement_10657_desc;Активировать способность «Заговор» 1000 раз.
achievement_10657_title;Новый мировой порядок
achievement_10658_desc;Создать 10 Бродячих древней.
achievement_10658_title;Экоактивизм
achievement_10659_desc;Создать 100 Бродячих древней.
achievement_10659_title;Сын матушки-природы
achievement_10660_desc;Создать 500 Бродячих древней.
achievement_10660_title;Зеленое море тайги
achievement_10661_desc;Создать 1000 Бродячих древней.
achievement_10661_title;День древней
achievement_10662_desc;Создать 10 Добровольцев.
achievement_10662_title;Спецотряд
achievement_10663_desc;Создать 100 Добровольцев.
achievement_10663_title;Братия
achievement_10664_desc;Создать 500 Добровольцев.
achievement_10664_title;Батальон
achievement_10665_desc;Создать 1000 Добровольцев.
achievement_10665_title;Бригада
achievement_10666_desc;Создать 10 карт «Пылающая Роза: пехотинец».
achievement_10666_title;Пехотинец Пылающей Розы
achievement_10667_desc;Создать 100 карт «Пылающая Роза: пехотинец».
achievement_10667_title;Рыцарь Пылающей Розы
achievement_10668_desc;Создать 500 карт «Пылающая Роза: пехотинец».
achievement_10668_title;Маршал Пылающей Розы
achievement_10669_desc;Создать 1000 карт «Пылающая Роза: пехотинец».
achievement_10669_title;Великий Магистр Пылающей Розы
achievement_10670_desc;Активировать ключевое слово «Ветеран» 10 раз.
achievement_10670_title;Трэлл
achievement_10671_desc;Активировать ключевое слово «Ветеран» 100 раз.
achievement_10671_title;Вольноотпущенник
achievement_10672_desc;Активировать ключевое слово «Ветеран» 500 раз.
achievement_10672_title;Карл
achievement_10673_desc;Активировать ключевое слово «Ветеран» 1000 раз.
achievement_10673_title;Хускарл
achievement_10674_desc;Сыграть 10 ведьмаков.
achievement_10674_title;Похищенные дети
achievement_10675_desc;Сыграть 100 ведьмаков.
achievement_10675_title;Испытание Травами
achievement_10676_desc;Сыграть 500 ведьмаков.
achievement_10676_title;Изматывающие тренировки
achievement_10677_desc;Сыграть 1000 ведьмаков.
achievement_10677_title;Взрослые убийцы чудовищ
achievement_10678_desc;Активировать ключевое слово «Адреналин» 10 раз.
achievement_10678_title;Выброс адреналина
achievement_10679_desc;Активировать ключевое слово «Адреналин» 100 раз.
achievement_10679_title;Пагубное пристрастие
achievement_10680_desc;Активировать ключевое слово «Адреналин» 500 раз.
achievement_10680_title;Окрыляет!
achievement_10681_desc;Активировать ключевое слово «Адреналин» 1000 раз.
achievement_10681_title;Отдохнуть бы
achievement_10682_desc;Активировать ключевое слово «Шабаш» 10 раз.
achievement_10682_title;Паранойя
achievement_10683_desc;Активировать ключевое слово «Шабаш» 100 раз.
achievement_10683_title;Железная дева
achievement_10684_desc;Активировать ключевое слово «Шабаш» 500 раз.
achievement_10684_title;Боевой вепрь
achievement_10685_desc;Активировать ключевое слово «Шабаш» 1000 раз.
achievement_10685_title;«И мы его убили»
achievement_10686_desc;Активировать ключевое слово «Выдержка» 10 раз.
achievement_10686_title;Спешить некуда
achievement_10687_desc;Активировать ключевое слово «Выдержка» 100 раз.
achievement_10687_title;Тише едешь — дальше будешь
achievement_10688_desc;Активировать ключевое слово «Выдержка» 500 раз.
achievement_10688_title;Чудеса самообладания
achievement_10689_desc;Активировать ключевое слово «Выдержка» 1000 раз.
achievement_10689_title;Терпение вознаграждается
achievement_10690_desc;Провести 5 игр, сыграв в каждой из них как минимум по одной карте из набора «Уроборос».
achievement_10690_title;Коготь и кинжал
achievement_10691_desc;Провести 10 игр, сыграв в каждой из них как минимум по одной карте из набора «Уроборос».
achievement_10691_title;Подготовка чертежа
achievement_10692_desc;Провести 20 игр, сыграв в каждой из них как минимум по одной карте из набора «Уроборос».
achievement_10692_title;Запасной план
achievement_10693_desc;Провести 30 игр, сыграв в каждой из них как минимум по одной карте из набора «Уроборос».
achievement_10693_title;Боеготовность
achievement_11000_desc;Выиграть не менее {0} матчей за Чудовищ во время испытания
achievement_11000_new_desc;Выиграть не менее {0} матчей за Чудовищ во время испытания.
achievement_11001_desc;Выполнить 3 задания, поддерживая Чудовищ во время события испытаний.
achievement_11001_title;Прислужник
achievement_11002_desc;Выполнить 5 заданий, поддерживая Чудовищ во время события испытаний.
achievement_11002_title;Послушник
achievement_11003_desc;Выполнить 10 заданий, поддерживая Чудовищ во время события испытаний.
achievement_11003_title;Приверженец
achievement_11004_desc;Выполнить 15 заданий, поддерживая Чудовищ во время события испытаний.
achievement_11004_title;Служитель
achievement_11005_desc;Выполнить 25 заданий, поддерживая Чудовищ во время события испытаний.
achievement_11005_title;Колосс
achievement_11010_desc;Выиграть не менее {0} матчей за Скеллиге во время испытания
achievement_11010_new_desc;Выиграть не менее {0} матчей за Скеллиге во время испытания.
achievement_11011_desc;Выполнить 3 задания, поддерживая Скеллиге во время события испытаний.
achievement_11011_title;Налетчик
achievement_11012_desc;Выполнить 5 заданий, поддерживая Скеллиге во время события испытаний.
achievement_11012_title;Бандит
achievement_11013_desc;Выполнить 10 заданий, поддерживая Скеллиге во время события испытаний.
achievement_11013_title;Разбойник
achievement_11014_desc;Выполнить 15 заданий, поддерживая Скеллиге во время события испытаний.
achievement_11014_title;Первый помощник
achievement_11015_desc;Выполнить 25 заданий, поддерживая Скеллиге во время события испытаний.
achievement_11015_title;Капитан пиратов
achievement_11020_desc;Выиграть не менее {0} матчей за Королевства Севера во время испытания.
achievement_11020_new_desc;Выиграть не менее {0} матчей за Королевства Севера во время испытания.
achievement_11021_desc;Выполнить 3 задания, поддерживая Королевства Севера во время события испытаний.
achievement_11021_title;Новобранец
achievement_11022_desc;Выполнить 5 заданий, поддерживая Королевства Севера во время события испытаний.
achievement_11022_title;Сотник
achievement_11023_desc;Выполнить 10 заданий, поддерживая Королевства Севера во время события испытаний.
achievement_11023_title;Лоялист
achievement_11024_desc;Выполнить 15 заданий, поддерживая Королевства Севера во время события испытаний.
achievement_11024_title;Патриот
achievement_11025_desc;Выполнить 25 заданий, поддерживая Королевства Севера во время события испытаний.
achievement_11025_title;За короля и отчизну
achievement_11030_desc;Выиграть не менее {0} матчей за Нильфгаард во время испытания.
achievement_11030_new_desc;Выиграть не менее {0} матчей за Нильфгаард во время испытания.
achievement_11031_desc;Выполнить 3 задания, поддерживая Нильфгаард во время события испытаний.
achievement_11031_title;Шпион
achievement_11032_desc;Выполнить 5 заданий, поддерживая Нильфгаард во время события испытаний.
achievement_11032_title;Убийца
achievement_11033_desc;Выполнить 10 заданий, поддерживая Нильфгаард во время события испытаний.
achievement_11033_title;Предатель
achievement_11034_desc;Выполнить 15 заданий, поддерживая Нильфгаард во время события испытаний.
achievement_11034_title;Мастер шпионажа
achievement_11035_desc;Выполнить 25 заданий, поддерживая Нильфгаард во время события испытаний.
achievement_11035_title;Воля императора
achievement_11040_desc;Выиграть не менее {0} матчей за Скоя'таэлей во время испытания.
achievement_11040_new_desc;Выиграть не менее {0} матчей за Скоя'таэлей во время испытания.
achievement_11041_desc;Выполнить 3 задания, поддерживая Скоя'таэлей во время события испытаний.
achievement_11041_title;Бунтарь
achievement_11042_desc;Выполнить 5 заданий, поддерживая Скоя'таэлей во время события испытаний.
achievement_11042_title;Головорез
achievement_11043_desc;Выполнить 10 заданий, поддерживая Скоя'таэлей во время события испытаний.
achievement_11043_title;Революционер
achievement_11044_desc;Выполнить 15 заданий, поддерживая Скоя'таэлей во время события испытаний.
achievement_11044_title;Фанатик
achievement_11045_desc;Выполнить 25 заданий, поддерживая Скоя'таэлей во время события испытаний.
achievement_11045_title;Командир бойцов
achievement_11050_desc;Выиграть не менее {0} матчей за Синдикат во время испытания.
achievement_11050_new_desc;Выиграть не менее {0} матчей за Синдикат во время испытания.
achievement_11051_title;Шестёрка
achievement_11052_title;Мелкий преступник
achievement_11053_title;Криминальная личность
achievement_11054_title;Правая рука
achievement_11055_title;Большая шишка
achievement_11060_desc;Выполнить {0} заданий испытания.
achievement_11060_new_desc;Выполнить {0} заданий испытания.
achievement_11061_title;Наемник на час
achievement_11062_title;Посредник
achievement_11063_title;Вольный работник
achievement_11064_title;Наемник
achievement_11065_title;Солдат удачи
achievement_11066_desc;Усилить карту «Шани» до 20 очков
achievement_11066_title;От Радовида с любовью
achievement_12001_desc;Выиграть 1 матч, выбрав поле моста на Яруге.
achievement_12001_title;Битва за мост на Яруге
achievement_12002_desc;Выиграть 15 матчей, выбрав поле моста на Яруге.
achievement_12002_title;За Лирию!
achievement_12003_desc;Выиграть 50 матчей, выбрав поле моста на Яруге.
achievement_12003_title;Гений осады
achievement_12005_desc;Выполнить 1 ежедневное задание на дне рождения Цири и Йеннифэр.
achievement_12005_title;Праздник начинается!
achievement_12006_desc;Выполнить 2 ежедневных задания на дне рождения Цири и Йеннифэр.
achievement_12006_title;Загадай желание!
achievement_12007_desc;Выполнить 3 ежедневных задания на дне рождения Цири и Йеннифэр.
achievement_12007_title;С днем рождения!
achievement_12009_title;Ведьмаку заплатите
achievement_12009_title_alt;Знак ведьмака
achievement_12009_title_alt_2;Волку заплатите
achievement_12010_title;Княжне заплатите
achievement_12010_title_alt;Знак княжны
achievement_12011_title;Чародейке заплатите
achievement_12011_title_alt;Знак чародейки
achievement_12013_title;Простой наемник
achievement_12014_title;Не простой наемник
achievement_12015_title;Необычный наемник
achievement_12017_title;Что наша жизнь — игра
achievement_12024_title;Хороший расклад
achievement_12028_title;Идеальный расклад
achievement_12030_desc;Открыть бочку.
achievement_12030_title;Хорошо хрустит
achievement_12035_title;Нажмите GG, чтобы выразить уважение
achievement_12040_desc;Выиграть 1 матч с обликом Гаскона.
achievement_12040_title;За Броссардов!
achievement_12041_desc;Выиграть 15 матчей с обликом Гаскона.
achievement_12041_title;За Кобелей из Спаллы!
achievement_12042_desc;Выиграть 50 матчей с обликом Гаскона.
achievement_12042_title;За Кобелиного Князя!
achievement_12044_title;Красная шапочка
achievement_12045_title;Не сахарные, не растаем
achievement_12047_desc;Выиграть 1 матч во время Празднования двадцатилетия.
achievement_12047_title;О, смотри, тортик!
achievement_12048_desc;Выиграть 3 матча во время Празднования двадцатилетия.
achievement_12048_title;Сладкий вкус победы
achievement_12049_desc;Выиграть 6 матчей во время Празднования двадцатилетия.
achievement_12049_title;Ну, ещё один, и всё
achievement_12050_desc;Выиграть 15 матчей во время Празднования двадцатилетия.
achievement_12050_title;Что не съем, то понадкусываю
achievement_12052_desc;Выполнить 1 ежедневное задание во время Празднования двадцатилетия.
achievement_12052_title;На старт!
achievement_12053_desc;Выполнить 3 ежедневных задания во время Празднования двадцатилетия.
achievement_12053_title;Внимание!
achievement_12054_desc;Выполнить 7 ежедневных заданий во время Празднования двадцатилетия.
achievement_12054_title;Пунш!
achievement_12056_desc;Сыграть 1 матч за Чудовищ во время Празднования двадцатилетия.
achievement_12056_title;Празднуют Чудовища!
achievement_12057_desc;Сыграть 3 матча за Чудовищ во время Празднования двадцатилетия.
achievement_12057_title;Кровь или вино?
achievement_12058_desc;Сыграть 5 матчей за Чудовищ во время Празднования двадцатилетия.
achievement_12058_title;По клыкам текло, да и в рот попало
achievement_12060_desc;Сыграть 1 матч за Нильфгаард во время Празднования двадцатилетия.
achievement_12060_title;Празднует Нильфгаард!
achievement_12061_desc;Сыграть 3 матча за Нильфгаард во время Празднования двадцатилетия.
achievement_12061_title;Почему бы и нет?
achievement_12062_desc;Сыграть 5 матчей за Нильфгаард во время Празднования двадцатилетия.
achievement_12062_title;Сегодня мы молоды
achievement_12064_desc;Сыграть 1 матч за Скоя'таэлей во время Празднования двадцатилетия.
achievement_12064_title;Празднуют Скоя'таэли!
achievement_12065_desc;Сыграть 3 матча за Скоя'таэлей во время Празднования двадцатилетия.
achievement_12065_title;Поднимем бокалы
achievement_12066_desc;Сыграть 5 матчей за Скоя'таэлей во время Празднования двадцатилетия.
achievement_12066_title;Сила в единстве
achievement_12068_desc;Сыграть 1 матч за Скеллиге во время Празднования двадцатилетия.
achievement_12068_title;Празднует Скеллиге!
achievement_12069_desc;Сыграть 3 матча за Скеллиге во время Празднования двадцатилетия.
achievement_12069_title;Это наша ночь
achievement_12070_desc;Сыграть 5 матчей за Скеллиге во время Празднования двадцатилетия.
achievement_12070_title;Праздник на море
achievement_12072_desc;Сыграть 1 матч за Королевства Севера во время Празднования двадцатилетия.
achievement_12072_title;Празднуют Королевства Севера!
achievement_12073_desc;Сыграть 3 матча за Королевства Севера во время Празднования двадцатилетия.
achievement_12073_title;Что в имени тебе моём?
achievement_12074_desc;Сыграть 5 матчей за Королевства Севера во время Празднования двадцатилетия.
achievement_12074_title;Пей-гуляй, отмечай
achievement_12076_desc;Сыграть 1 матч за Синдикат во время Празднования двадцатилетия.
achievement_12076_title;Празднует Синдикат!
achievement_12077_desc;Сыграть 3 матча за Синдикат во время Празднования двадцатилетия.
achievement_12077_title;Формула радости
achievement_12078_desc;Сыграть 5 матчей за Синдикат во время Празднования двадцатилетия.
achievement_12078_title;Варится веселье
achievement_12080_desc;Сыграть 3 матча в режиме подбора во время Празднования двадцатилетия.
achievement_12080_title;Добра не жди
achievement_12081_desc;Сыграть 5 матчей в режиме подбора во время Празднования двадцатилетия.
achievement_12081_title;Путь к победе
achievement_12083_desc;Открыть 1 бочку во время Празднования двадцатилетия.
achievement_12084_desc;Открыть 3 бочки во время Празднования двадцатилетия.
achievement_12085_desc;Открыть 6 бочек во время Празднования двадцатилетия.
achievement_12086_desc;Открыть 10 бочек во время Празднования двадцатилетия.
achievement_12088_desc;Отправить противнику благодарность во время Празднования двадцатилетия.
achievement_12089_desc;Отправить противнику благодарность 3 раза во время Празднования двадцатилетия.
achievement_12090_desc;Отправить противнику благодарность 6 раз во время Празднования двадцатилетия.
achievement_12091_desc;Отправить противнику благодарность 10 раз во время Празднования двадцатилетия.
achievement_13005_desc;Выиграть 10 игр с обликом Лавка.
achievement_13005_title;Хорошейшая игра!
