_inputshopbuymultiple;COMPRAR
achievement_10504_desc;Revela 1000 cartas en partidas en línea.
achievement_10504_title;Un ojo que todo lo ve
achievement_10505_desc;Ordena 10 unidades en partidas en línea.
achievement_10505_title;Formación cerrada
achievement_10506_desc;Ordena 100 unidades en partidas en línea.
achievement_10506_title;¡Izquierda, derecha, izquierda, derecha!
achievement_10507_desc;Ordena 500 unidades en partidas en línea.
achievement_10507_title;Obediencia ciega
achievement_10508_desc;Ordena 1000 unidades en partidas en línea.
achievement_10508_title;Sigan al líder
achievement_10509_desc;Destruye 10 unidades no humanas en partidas en línea.
achievement_10509_title;Miedo y pavor
achievement_10510_desc;Destruye 100 unidades no humanas en partidas en línea.
achievement_10510_title;¿Unas últimas palabras?
achievement_10511_desc;Destruye 1000 unidades no humanas en partidas en línea.
achievement_10511_title;Humanista
achievement_10512_desc;Controla 10 unidades con 10 de poder al tiempo en una partida en línea.
achievement_10512_title;10/10
achievement_10513_desc;Llena tu lado del tablero con unidades o artefactos.
achievement_10513_title;Nos quedamos sin espacio
achievement_10514_desc;Usa al menos 1 burla en 10 partidas en línea distintas.
achievement_10514_title;Ven por mí
achievement_10515_desc;Usa al menos 1 burla en 100 partidas en línea distintas.
achievement_10515_title;¿Es todo lo que tienes?
achievement_10516_desc;Usa al menos 1 burla en 1000 partidas en línea distintas.
achievement_10516_title;¡Escuchen mi rugido!
achievement_10517_desc;Obtén más de 30 puntos en un turno en una partida en línea.
achievement_10517_title;Hora de balancearse
achievement_10518_desc;Inflige 10 de daño a tus unidades en partidas en línea.
achievement_10518_title;Esto no dolerá
achievement_10519_desc;Inflige 100 de daño a tus unidades en partidas en línea.
achievement_10519_title;Quien quiere celeste que le cueste
achievement_10520_desc;Inflige 1000 de daño a tus unidades en partidas en línea.
achievement_10520_title;Disciplina y castigo
achievement_10521_desc;Gana una ronda al obtener 100 puntos más que tu oponente en una partida en línea.
achievement_10521_title;Bien muerto
achievement_10522_desc;Gana la primera ronda en una partida en línea sin que te queden cartas en la mano.
achievement_10522_title;¡Voy con todo!
achievement_10523_desc;Gana una partida en línea luego de pasar la primera ronda con 10 cartas en mano.
achievement_10523_title;Plan oculto
achievement_10524_desc;Gana una partida en línea luego de usar todos tus intercambios en la primera ronda.
achievement_10524_title;Hagan sus apuestas
achievement_10525_desc;Destruye 5 unidades enemigas o más en un turno en una partida en línea.
achievement_10525_title;Ejecución perfecta
achievement_10526_desc;Saca todo tu mazo y gana una partida en línea.
achievement_10526_title;Sin malgastar ni una gota
achievement_10527_desc;Juega 30 cartas doradas en partidas en línea.
achievement_10527_title;Calidad sobre cantidad
achievement_10528_desc;Juega 100 cartas premium en partidas en línea.
achievement_10528_title;Puro estilo
achievement_10529_desc;Gana una partida sin destruir ninguna carta de tu oponente.
achievement_10529_title;Solo imagínalo
achievement_10530_desc;Gana la última ronda sin cartas en el lado de tu oponente en una partida en línea.
achievement_10530_title;Aniquilación
achievement_10531_desc;Gana una partida usando un mazo con costo de reclutamiento de 100 o menos.
achievement_10531_title;Gwent de bajo presupuesto
achievement_10533_desc;Pon al menos 5 estados en una unidad en una partida en línea.
achievement_10533_title;¡C-c-cambios!
achievement_10534_desc;Gana una partida en línea en menos de 7 minutos.
achievement_10534_title;¡Despejado!
achievement_10536_desc;Juega 1000 cartas en partidas en línea.
achievement_10536_title;Millenial
achievement_10537_desc;Juega 10 000 cartas en partidas en línea.
achievement_10537_title;Castillo de naipes
achievement_10538_desc;Juega 100 000 cartas en partidas en línea.
achievement_10538_title;Puedo hacerlo todo el día
achievement_10539_desc;Activa 10 habilidades de Agonía en partidas en línea.
achievement_10539_title;¡Golpéame!
achievement_10540_desc;Activa 100 habilidades de Agonía en partidas en línea.
achievement_10540_title;Sin piedad
achievement_10541_desc;Activa 1000 habilidades de Agonía en partidas en línea.
achievement_10541_title;Sacrificio digno
achievement_10542_desc;Conflagra una unidad de al menos 50 de poder en una partida en línea.
achievement_10542_title;Entre más grandes...
achievement_10543_desc;Queda sin cartas en mano al final de cada ronda y gana en una partida en línea.
achievement_10543_title;Sin contenerse
achievement_10544_desc;Juega 10 unidades desde tu cementerio durante partidas en línea.
achievement_10544_title;Métodos heterodoxos
achievement_10545_desc;Juega 100 unidades desde tu cementerio durante partidas en línea.
achievement_10545_title;Solo una herida superficial
achievement_10546_desc;Juega 1000 unidades desde tu cementerio durante partidas en línea.
achievement_10546_title;¿Alguien llamó a un médico?
achievement_10547_desc;Gana una partida en línea con una unidad cuya fuerza sea de al menos 50.
achievement_10547_title;Fisicoculturista
achievement_10548_desc;Transforma una carta durante una partida en línea.
achievement_10548_title;Metamorfosis
achievement_10549_desc;Destruye al menos 3 unidades con 1 carta y gana una partida en línea.
achievement_10549_title;Trinidad
achievement_10550_desc;Reemplaza un efecto de fila con uno distinto durante una partida en línea.
achievement_10550_title;Desafía a los elementos
achievement_10551_title;Encantado de conocerte
achievement_10552_title;¿Serás mi compañero?
achievement_10553_title;Compañeros de guerra
achievement_10554_title;Almas gemelas
achievement_10555_title;Primera sangre
achievement_10556_title;Masacre
achievement_10557_title;Carnicería
achievement_10558_title;Verdugo
achievement_10559_title;Desintoxicación
achievement_10560_title;Al natural
achievement_10561_title;Concentrado
achievement_10562_title;Purista
achievement_10563_title;Agitado
achievement_10564_title;Enfurecido
achievement_10565_title;Demente
achievement_10566_title;¡RAAAARGHHH!!
achievement_10567_title;Misionero
achievement_10568_title;Colono
achievement_10569_title;Colonizador
achievement_10570_title;Imperium
achievement_10571_title;¡Hola, vecino!
achievement_10572_title;Fuerza en la diferencia
achievement_10573_title;¡Juntos resistiremos!
achievement_10574_title;Hijos de la naturaleza
achievement_10575_title;Solo un pinchazo
achievement_10576_title;Manchado de sangre
achievement_10577_title;Empapado de sangre
achievement_10578_title;Baño de sangre carmesí
achievement_10579_title;Rodela
achievement_10580_title;Escudo calentador
achievement_10581_title;Pavés
achievement_10582_title;Pluteo
achievement_10583_title;Una gota en tu copa
achievement_10584_title;Afición al veneno
achievement_10585_title;Gusto fatal
achievement_10586_title;Polvo iocano
achievement_10587_title;Apto para servir
achievement_10588_title;Dolce Vita
achievement_10589_title;Igual que una campana
achievement_10590_title;Expectativa de vida: alta
achievement_10591_title;Vulnerable
achievement_10592_title;Indefenso
achievement_10593_title;Fuerza bruta
achievement_10594_title;Rompeescudos
achievement_10595_desc;Destruye una unidad envenenada sin dar ningún veneno adicional.
achievement_10595_title;Asesino inquieto
achievement_10596_desc;Gana una partida con una habilidad del Sindicato sin usar ninguna moneda.
achievement_10596_title;¿Sin dinero? No hay problema
achievement_10597_desc;Gana una partida con una habilidad del Sindicato teniendo 9 monedas al final de la partida.
achievement_10597_title;Bolsillos profundos
achievement_10598_desc;Gana una partida con una habilidad del Sindicato sin tener ninguna moneda al final de la partida
achievement_10598_title;Hasta el último centavo
achievement_10599_title;Derrochador
achievement_10600_title;Tacaño
achievement_10601_title;Miserable
achievement_10602_title;Avaro
achievement_10603_title;Mísero
achievement_10604_title;Cambio
achievement_10605_title;Bolsa pesada
achievement_10606_title;Inversionista
achievement_10607_title;Capital inicial
achievement_10608_title;Nuevo miembro
achievement_10609_title;Ventajas del Sindicato
achievement_10610_title;Una oferta que no puedes rechazar
achievement_10611_title;Pagos vencidos
achievement_10612_title;Alcancía
achievement_10613_title;Acaparador
achievement_10614_title;Acumulador
achievement_10615_title;Bóveda
achievement_10620_title;Se busca
achievement_10621_title;Marcado
achievement_10622_title;Perseguido
achievement_10623_title;Cazado
achievement_10624_title;Primer pago
achievement_10625_title;Operación menor
achievement_10626_title;Bastante rico
achievement_10627_title;Burbuja financiera
achievement_10628_title;Matón
achievement_10629_title;Golpeador
achievement_10630_title;Asesino a sueldo
achievement_10631_title;Músculo
achievement_10634_desc;Agrega armadura a unidades 10 veces
achievement_10634_title;¡Calienta!
achievement_10635_desc;Agrega armadura a unidades 100 veces
achievement_10635_title;Agua y reposo
achievement_10636_desc;Agrega armadura a unidades 500 veces
achievement_10636_title;Temple, temple
achievement_10637_desc;Agrega armadura a unidades 1000 veces
achievement_10637_title;Acero endurecido
achievement_10638_desc;Activa Barricada 10 veces
achievement_10638_title;Barricada
achievement_10639_desc;Activa Barricada 100 veces
achievement_10639_title;Puesto de avanzada
achievement_10640_desc;Activa Barricada 500 veces
achievement_10640_title;Fuerte
achievement_10641_desc;Activa Barricada 1000 veces
achievement_10641_title;Castillo
achievement_10642_desc;Activa Expuesto 10 veces
achievement_10642_title;No es más que un arañazo
achievement_10643_desc;Activa expuesto 100 veces
achievement_10643_title;Una herida superficial
achievement_10644_desc;Activa expuesto 500 veces
achievement_10644_title;Soy invencible
achievement_10645_desc;Activa expuesto 1000 veces
achievement_10645_title;Te destrozaré a mordiscos
achievement_10646_desc;Alcanza la 3.ª fase con cartas cambiantes de la expansión Master Mirror 5 veces.
achievement_10646_title;Nvl. 1 Bandido
achievement_10647_desc;Alcanza la 3.ª fase con cartas cambiantes de la expansión Master Mirror 50 veces.
achievement_10647_title;Nvl. 10 Sicario
achievement_10648_desc;Alcanza la 3.ª fase con cartas cambiantes de la expansión Master Mirror 250 veces.
achievement_10648_title;Nvl. 30 Jefe
achievement_10649_desc;Alcanza la 3.ª fase con cartas cambiantes de la expansión Master Mirror 500 veces.
achievement_10649_title;Nvl. 100 Padrino
achievement_10650_desc;Inflige daño con Escarcha 25 veces.
achievement_10650_title;Me hiela la sangre
achievement_10651_desc;Inflige daño con Escarcha 250 veces.
achievement_10651_title;Limonada helada
achievement_10652_desc;Inflige daño con Escarcha 1250 veces.
achievement_10652_title;Rompe el hielo
achievement_10653_desc;Inflige daño con Escarcha 2500 veces.
achievement_10653_title;Vándalo de escarcha
achievement_10654_desc;Activa Conspiración 10 veces.
achievement_10654_title;¡Solo es una teoría conspiratoria!
achievement_10655_desc;Activa Conspiración 100 veces.
achievement_10655_title;Sociedad de la tierra plana
achievement_10656_desc;Activa Conspiración 500 veces.
achievement_10656_title;Hombres de negro
achievement_10657_desc;Activa Conspiración 1000 veces.
achievement_10657_title;Nuevo orden mundial
achievement_10658_desc;Genera 10 treants caminantes.
achievement_10658_title;Qué verde era mi valle
achievement_10659_desc;Genera 100 treants caminantes.
achievement_10659_title;El hijo de la madre naturaleza
achievement_10660_desc;Genera 500 treants caminantes.
achievement_10660_title;Un mar verde
achievement_10661_desc;Genera 1000 treants caminantes.
achievement_10661_title;El día de los treants
achievement_10662_desc;Genera 10 reclutas.
achievement_10662_title;Escuadrón
achievement_10663_desc;Genera 100 reclutas.
achievement_10663_title;Compañía
achievement_10664_desc;Genera 500 reclutas.
achievement_10664_title;Batallón
achievement_10665_desc;Genera 1000 reclutas.
achievement_10665_title;Brigada
achievement_10666_desc;Genera 10 soldados de la Rosa Llameante.
achievement_10666_title;Soldado de la Rosa llameante
achievement_10667_desc;Genera 100 soldados de la Rosa Llameante.
achievement_10667_title;Caballero de la Rosa Llameante
achievement_10668_desc;Genera 500 soldados de la Rosa Llameante.
achievement_10668_title;Mariscal de la Rosa Llameante
achievement_10669_desc;Genera 1000 soldados de la Rosa Llameante.
achievement_10669_title;Gran Maestro de la Rosa Llameante
achievement_10670_desc;Activa la palabra clave Veterano 10 veces.
achievement_10670_title;Esclavo
achievement_10671_desc;Activa la palabra clave Veterano 100 veces.
achievement_10671_title;Liberto
achievement_10672_desc;Activa la palabra clave Veterano 500 veces.
achievement_10672_title;Ceorl
achievement_10673_desc;Activa la palabra clave Veterano 1000 veces.
achievement_10673_title;Plebeyo
achievement_10674_desc;Juega 10 brujos
achievement_10674_title;Secuestrado
achievement_10675_desc;Juega 100 brujos
achievement_10675_title;Prueba de las hierbas
achievement_10676_desc;Juega 500 brujos
achievement_10676_title;Entrenamiento marcial brutal
achievement_10677_desc;Juega 1000 brujos
achievement_10677_title;Brujos matamonstruos adultos
achievement_10678_desc;Activa la palabra clave Adrenalina 10 veces
achievement_10678_title;Subida de adrenalina
achievement_10679_desc;Activa la palabra clave Adrenalina 100 veces
achievement_10679_title;Adicción a la adrenalina
achievement_10680_desc;Activa la palabra clave Adrenalina 500 veces
achievement_10680_title;Inyecciones de adrenalina
achievement_10681_desc;Activa la palabra clave Adrenalina 1000 veces
achievement_10681_title;Necesito relajarme
achievement_10682_desc;Activa la palabra clave aquelarre 10 veces.
achievement_10682_title;Paranoia
achievement_10683_desc;Activa la palabra clave aquelarre 100 veces.
achievement_10683_title;Doncella de hierro
achievement_10684_desc;Activa la palabra clave aquelarre 500 veces.
achievement_10684_title;Jabalí de guerra
achievement_10685_desc;Activa la palabra clave aquelarre 1000 veces.
achievement_10685_title;"Y nosotros lo hemos matado"
achievement_10686_desc;Activa la palabra paciencia 10 veces.
achievement_10686_title;... es una virtud.
achievement_10687_desc;Activa la palabra paciencia 100 veces.
achievement_10687_title;Autocontrol
achievement_10688_desc;Activa la palabra paciencia 500 veces.
achievement_10688_title;Perder la paciencia es perder la batalla
achievement_10689_desc;Activa la palabra paciencia 1000 veces.
achievement_10689_title;Una forma menor de desesperación
achievement_11001_desc;Completa 3 misiones mientras apoyas a los monstruos durante un evento de desafío.
achievement_11001_title;Súbdito
achievement_11002_desc;Completa 5 misiones mientras apoyas a los monstruos durante un evento de desafío.
achievement_11002_title;Aprendiz
achievement_11003_desc;Completa 10 misiones mientras apoyas a los monstruos durante un evento de desafío.
achievement_11003_title;Acólito
achievement_11004_desc;Completa 15 misiones mientras apoyas a los monstruos durante un evento de desafío.
achievement_11004_title;Adulador
achievement_11005_desc;Completa 25 misiones mientras apoyas a los monstruos durante un evento de desafío.
achievement_11005_title;Coloso
achievement_11011_desc;Completa 3 misiones mientras apoyas a Skellige durante un evento de desafío.
achievement_11011_title;Asaltante
achievement_11012_desc;Completa 5 misiones mientras apoyas a Skellige durante un evento de desafío.
achievement_11012_title;Forajida
achievement_11013_desc;Completa 10 misiones mientras apoyas a Skellige durante un evento de desafío.
achievement_11013_title;Saqueador
achievement_11014_desc;Completa 15 misiones mientras apoyas a Skellige durante un evento de desafío.
achievement_11014_title;Primer oficial
achievement_11015_desc;Completa 25 misiones mientras apoyas a Skellige durante un evento de desafío.
achievement_11015_title;Capitán pirata
achievement_11021_desc;Completa 3 misiones mientras apoyas a los Reinos del Norte durante un evento de desafío.
achievement_11021_title;Novato
achievement_11022_desc;Completa 5 misiones mientras apoyas a los Reinos del Norte durante un evento de desafío.
achievement_11022_title;Teniente
achievement_11023_desc;Completa 10 misiones mientras apoyas a los Reinos del Norte durante un evento de desafío.
achievement_11023_title;Partidario
achievement_11024_desc;Completa 15 misiones mientras apoyas a los Reinos del Norte durante un evento de desafío.
achievement_11024_title;Patriota
achievement_11025_desc;Completa 25 misiones mientras apoyas a los Reinos del Norte durante un evento de desafío.
achievement_11025_title;Por el rey y el territorio
achievement_11031_desc;Completa 3 misiones mientras apoyas a Nilfgaard durante un evento de desafío.
achievement_11031_title;Espía
achievement_11032_desc;Completa 5 misiones mientras apoyas a Nilfgaard durante un evento de desafío.
achievement_11032_title;Asesino
achievement_11033_desc;Completa 10 misiones mientras apoyas a Nilfgaard durante un evento de desafío.
achievement_11033_title;Traidor
achievement_11034_desc;Completa 15 misiones mientras apoyas a Nilfgaard durante un evento de desafío.
achievement_11034_title;Maestro espía
achievement_11035_desc;Completa 25 misiones mientras apoyas a Nilfgaard durante un evento de desafío.
achievement_11035_title;La voluntad del emperador
achievement_11041_desc;Completa 3 misiones mientras apoyas a los Scoia'tael durante un evento de desafío.
achievement_11041_title;Insurgente
achievement_11042_desc;Completa 5 misiones mientras apoyas a los Scoia'tael durante un evento de desafío.
achievement_11042_title;Degollador
achievement_11043_desc;Completa 10 misiones mientras apoyas a los Scoia'tael durante un evento de desafío.
achievement_11043_title;Revolucionario
achievement_11044_desc;Completa 15 misiones mientras apoyas a los Scoia'tael durante un evento de desafío.
achievement_11044_title;Fanático
achievement_11045_desc;Completa 25 misiones mientras apoyas a los Scoia'tael durante un evento de desafío.
achievement_11045_title;Líder de comando
achievement_11051_title;Recadero
achievement_11052_title;Criminal de poca monta
achievement_11053_title;Teniente
achievement_11054_title;Mano derecha
achievement_11055_title;Mandamás
achievement_11061_title;¡Ayudo por un precio!
achievement_11062_title;Mediador
achievement_11063_title;Independiente
achievement_11064_title;Mercenario
achievement_11065_title;Soldado de la fortuna
achievement_11066_desc;Potencia a Shani a 20 puntos
achievement_11066_title;De Radovid con amor
achievement_12001_desc;Gana 1 partida con el tablero Puente sobre el Yaruga equipado
achievement_12001_title;Batalla por el puente sobre el Yaruga
achievement_12002_desc;Gana 15 partidas con el tablero Puente sobre el Yaruga equipado
achievement_12002_title;¡Por Lyria!
achievement_12003_desc;Gana 50 partidas con el tablero Puente sobre el Yaruga equipado
achievement_12003_title;Maestro de asedios
achievement_12005_desc;¡Completa 1 misión diaria durante la fiesta de cumpleaños de Ciri y Yennefer!
achievement_12005_title;¡Comienza la partida!
achievement_12006_desc;¡Completa 2 misiones diarias durante la fiesta de cumpleaños de Ciri y Yennefer!
achievement_12006_title;¡Pide un deseo!
achievement_12007_desc;¡Completa 3 misiones diarias durante la fiesta de cumpleaños de Ciri y Yennefer!
achievement_12007_title;¡Feliz cumpleaños!
achievement_12009_title;Lanza una moneda a tu brujo
achievement_12009_title_alt;Señal del brujo
achievement_12009_title_alt_2;Lanza una moneda a tu lobo
achievement_12010_title;Lanza una moneda a tu princesa
achievement_12010_title_alt;Señal de la princesa
achievement_12011_title;Lanza una moneda a tu hechicera
achievement_12011_title_alt;Señal de la hechicera
achievement_12013_title;Solo un mercenario
achievement_12014_title;No solo un mercenario
achievement_12015_title;No cualquier mercenario
achievement_12017_title;Solo déjate llevar
achievement_12024_title;La gran mezcla
achievement_12028_title;La mezcla más grande
achievement_12030_desc;Abre un barril
achievement_12030_title;Abriendo uno dorado
achievement_12035_title;Presiona GG para mostrar tu respeto
achievement_12040_desc;Gana 1 partida con el aspecto de Gascon equipado
achievement_12040_title;¡Por los Brossard!
achievement_12041_desc;Gana 15 partidas con el aspecto de Gascon equipado
achievement_12041_title;¡Por la Jauría de Spalla!
achievement_12042_desc;Gana 50 partidas con el aspecto de Gascon equipado
achievement_12042_title;¡Por el duque de Perros!
achievement_12044_title;Sombrero rojo feroz
achievement_12045_title;Hecha de azúcar
achievement_13005_desc;Gana 10 partidas con el aspecto de Troco
achievement_13005_title;¡Hermoso!
achievement_20001_desc;Juega una partida en línea en cualquier modo.
achievement_20001_title;Pruébalo, decían...
achievement_20002_desc;Juega 5 partidas en línea en cualquier modo.
achievement_20002_title;De copas
achievement_20003_desc;Juega 25 partidas en línea en cualquier modo.
achievement_20003_title;Vengo a ganar
achievement_20004_desc;Juega 100 partidas en línea en cualquier modo.
achievement_20004_title;Joven comandante
achievement_20005_desc;Juega 500 partidas en línea en cualquier modo.
achievement_20005_title;Conquistador
achievement_20100_desc;Envíale un GG a tu oponente.
achievement_20100_title;Modales en la mesa
achievement_20101_desc;Envíale un GG a tu oponente 10 veces.
achievement_20101_title;Apretón de manos
achievement_20102_desc;Envíale un GG a tu oponente 100 veces.
achievement_20102_title;Deportista modelo
achievement_20103_desc;Envíale un GG a tu oponente 200 veces.
achievement_20103_title;Oponente digno
achievement_20104_desc;Envíale un GG a tu oponente 500 veces.
achievement_20104_title;No me voy a detener
achievement_20105_desc;Envíale un GG a tu oponente 1000 veces.
achievement_20105_title;Qué divertido
achievement_20106_desc;Envíale un GG a tu oponente 5000 veces.
achievement_20106_title;Entre nubes
achievement_20200_desc;Gana 100 partidas con cada habilidad de facción básica.
achievement_20200_title;Versátil
achievement_20210_desc;Gana 100 partidas con cada habilidad básica de Monstruos.
achievement_20210_title;Pesadilla
achievement_20211_desc;Gana 100 partidas con la habilidad Caparazón.
achievement_20211_title;Maestro de Caparazón
achievement_20212_desc;Gana 100 partidas con la habilidad Enjambre de Arachas.
achievement_20212_title;Maestro del Enjambre de Arachas
achievement_20213_desc;Gana 100 partidas con la habilidad Fuerza de la naturaleza
achievement_20213_title;Maestro de la Fuerza de la naturaleza
achievement_20214_desc;Gana 100 partidas con la habilidad Frío Blanco
achievement_20214_title;Maestro del Frío Blanco
achievement_20220_desc;Gana 100 partidas con cada habilidad básica de Nilfgaard.
achievement_20220_title;El emperador
achievement_20221_desc;Gana 100 partidas con la habilidad Encarcelamiento
achievement_20221_title;Maestro del Encarcelamiento
achievement_20222_desc;Gana 100 partidas con la habilidad Bloqueo
achievement_20222_title;Maestro del Bloqueo
achievement_20223_desc;Gana 100 partidas con la habilidad Formación imperial
achievement_20223_title;Maestro de la Formación imperial
achievement_20224_desc;Gana 100 partidas con la habilidad Decisión táctica
achievement_20224_title;Maestro de la Decisión táctica
achievement_20230_desc;Gana 100 partidas con cada habilidad básica de Reinos del Norte.
achievement_20230_title;Rey de reyes
achievement_20231_desc;Gana 100 partidas con la habilidad Fervor inspirador
achievement_20231_title;Maestro del Fervor inspirador
achievement_20232_desc;Gana 100 partidas con la habilidad Muro de escudos
achievement_20232_title;Maestro del Muro de escudos
achievement_20233_desc;Gana 100 partidas con la habilidad Movilización
achievement_20233_title;Maestro de la Movilización
achievement_20234_desc;Gana 100 partidas con la habilidad Acumulación
achievement_20234_title;Maestro de la Acumulación
achievement_20240_desc;Gana 100 partidas con cada habilidad básica de Scoia'tael.
achievement_20240_title;La guerrilla
achievement_20241_desc;Gana 100 partidas con la habilidad Ataque preciso
achievement_20241_title;Maestro del Ataque preciso
achievement_20242_desc;Gana 100 partidas con la habilidad Tonificación
achievement_20242_title;Maestro de la Tonificación
achievement_20243_desc;Gana 100 partidas con la habilidad Regalo de la naturaleza
achievement_20243_title;Maestro del Regalo de la naturaleza
achievement_20244_desc;Gana 100 partidas con la habilidad Tácticas de guerrilla
achievement_20244_title;Maestro de las Tácticas de guerrilla
achievement_20250_desc;Gana 100 partidas con cada habilidad básica de Skellige.
achievement_20250_title;El jari
achievement_20251_desc;Gana 100 partidas con la habilidad Ráfaga temeraria
achievement_20251_title;Maestro de la Ráfaga temeraria
achievement_20252_desc;Gana 100 partidas con la habilidad Furia del mar
achievement_20252_title;Furia del mar
achievement_20253_desc;Gana 100 partidas con la habilidad Embestida
achievement_20253_title;Maestro de la Embestida
achievement_20254_desc;Gana 100 partidas con la habilidad Trance de batalla
achievement_20254_title;Trance de batalla
achievement_20260_desc;Gana 100 partidas con cada habilidad de Thronebreaker.
achievement_20260_title;Salvación de Lyria y Rivia
achievement_20261_desc;Gana 100 partidas con la habilidad Furia parricida
achievement_20261_title;Maestro de la Furia parricida
achievement_20262_desc;Gana 100 partidas con la habilidad Emboscada certera
achievement_20262_title;Maestro de la Emboscada certera
achievement_20263_desc;Gana 100 partidas con la habilidad Inspiración real
achievement_20263_title;Maestro de la Inspiración real
achievement_20264_desc;Gana 100 partidas con la habilidad Esclavitud
achievement_20264_title;Maestro de la Esclavitud
achievement_20265_desc;Gana 100 partidas con la habilidad Frutos de Ysgith
achievement_20265_title;Maestro de los Frutos de Ysgith
achievement_20270_desc;Gana 100 partidas con cada habilidad de Crimson Curse.
achievement_20270_title;Gobernante carmesí
achievement_20271_desc;Gana 100 partidas con la habilidad Llamada de la armonía
achievement_20271_title;Maestro de la Llamada de la armonía
achievement_20272_desc;Gana 100 partidas con la habilidad Ritual osuno
achievement_20272_title;Maestro del Ritual osuno
achievement_20273_desc;Gana 100 partidas con la habilidad Aroma a sangre
achievement_20273_title;Maestro del Aroma a sangre
achievement_20274_desc;Gana 100 partidas con la habilidad Traición
achievement_20274_title;Maestro de la Traición
achievement_20275_desc;Gana 100 partidas con la habilidad Maniobra de tenaza
achievement_20275_title;Maestro de la Maniobra de tenaza
