_inputshopbuymultiple;KAUFEN
achievement_10524_desc;Gewinne ein Onlinespiel, nachdem du alle deine Mulligans in der ersten Runde ausgeführt hast.
achievement_10524_title;Alles auf eine Karte
achievement_10525_desc;Zerstöre bei einem Onlinespiel mindestens 5 gegnerische Einheiten in einem Zug.
achievement_10525_title;Makelloses Exekutieren
achievement_10526_desc;Ziehe dein gesamtes Deck und gewinne ein Onlinespiel.
achievement_10526_title;Nichts wird verschwendet
achievement_10527_desc;Spiele 30 Goldkarten bei Onlinespielen aus.
achievement_10527_title;Qualität über Quantität
achievement_10528_desc;Spiele 100 Premium-Karten bei Onlinespielen aus.
achievement_10528_title;Wer was hat, zeigt es gerne
achievement_10529_desc;Gewinne ein Spiel, ohne eine gegnerische Karte zu zerstören.
achievement_10529_title;Denk an all die Leute
achievement_10530_desc;Gewinne bei einem Onlinespiel die letzte Runde ohne Karten auf der gegnerischen Schlachtfeldseite.
achievement_10530_title;Auslöschung
achievement_10531_desc;Gewinne eine Partie mit einem Deck, das 100 oder weniger Rekrutierungskosten hat.
achievement_10531_title;Gwent des armen Mannes
achievement_10533_desc;Verfüge in einem Onlinespiel über eine Einheit mit mindestens 5 Statuseffekten.
achievement_10533_title;V-V-Veränderungen!
achievement_10534_desc;Gewinne ein Onlinespiel in weniger als 7 Minuten.
achievement_10534_title;Ratzfatz fertig!
achievement_10536_desc;Spiele 1.000 Karten in Onlinespielen aus.
achievement_10536_title;Tausendjährig
achievement_10537_desc;Spiele 10.000 Karten in Onlinespielen aus.
achievement_10537_title;Kartenhaus
achievement_10538_desc;Spiele 100.000 Karten in Onlinespielen aus.
achievement_10538_title;Ich mische täglich
achievement_10539_desc;Löse 10 Todeswunsch-Fähigkeiten in Onlinespielen aus.
achievement_10539_title;Schlag mich!
achievement_10540_desc;Löse 100 Todeswunsch-Fähigkeiten in Onlinespielen aus.
achievement_10540_title;Niemand wird geschont
achievement_10541_desc;Löse 1.000 Todeswunsch-Fähigkeiten in Onlinespielen aus.
achievement_10541_title;Würdiges Opfer
achievement_10542_desc;Verbrenne bei einem Onlinespiel eine Einheit mit mindestens 50 Stärke.
achievement_10542_title;Je größer sie sind ...
achievement_10543_desc;Habe bei einem Onlinespiel am Ende jeder Runde 0 Karten auf der Hand und gewinne das Spiel.
achievement_10543_title;Kompromisslos
achievement_10544_desc;Spiele bei Onlinespielen 10 Einheiten von deinem Friedhof aus.
achievement_10544_title;Unorthodoxe Methoden
achievement_10545_desc;Spiele bei Onlinespielen 100 Einheiten von deinem Friedhof aus.
achievement_10545_title;Nur eine Fleischwunde
achievement_10546_desc;Spiele bei Onlinespielen 1.000 Einheiten von deinem Friedhof aus.
achievement_10546_title;Hat jemand nach einem Arzt gerufen?
achievement_10547_desc;Gewinne ein Onlinespiel, in dem eine deiner Einheiten eine Stärke von mindestens 50 hat.
achievement_10547_title;Muskelprotz
achievement_10548_desc;Verwandle eine Karte bei einem Onlinespiel.
achievement_10548_title;Metamorphose
achievement_10549_desc;Zerstöre mindestens 3 Einheiten mit 1 Karte und gewinne ein Onlinespiel.
achievement_10549_title;Dreifaltigkeit
achievement_10550_desc;Ersetze bei einem Onlinespiel einen Reiheneffekt mit einem anderen Reiheneffekt.
achievement_10550_title;Beherrschung der Elemente
achievement_10551_title;Sehr erfreut
achievement_10552_title;Bist du mein Handlanger?
achievement_10553_title;Kriegsgefährten
achievement_10554_title;Verwandte Seelen
achievement_10555_title;Erster Treffer
achievement_10556_title;Gemetzel
achievement_10557_title;Schlachtung
achievement_10558_title;Henker
achievement_10559_title;Entschlackung
achievement_10560_title;Au Naturel
achievement_10561_title;Unverfälscht
achievement_10562_title;Purist
achievement_10563_title;Agitiert
achievement_10564_title;Erzürnt
achievement_10565_title;Durchgedreht
achievement_10566_title;RAAAARGHHH!!
achievement_10567_title;Missionar
achievement_10568_title;Siedler
achievement_10569_title;Kolonisator
achievement_10570_title;Imperium
achievement_10571_title;Tag auch, Nachbar!
achievement_10572_title;Unterschiede verbinden
achievement_10573_title;Gemeinsam stark!
achievement_10574_title;Kinder der Natur
achievement_10575_title;Nur ein kleiner Piks
achievement_10576_title;Blutbefleckt
achievement_10577_title;Blutüberströmt
achievement_10578_title;Blutrotes Bad
achievement_10579_title;Faustschild
achievement_10580_title;Dreieckschild
achievement_10581_title;Pavese
achievement_10582_title;Blende
achievement_10583_title;Tropfen im Kelch
achievement_10584_title;Giftmischer
achievement_10585_title;Bitterer Geschmack
achievement_10586_title;Jokanpulver
achievement_10587_title;Dienliche Gesundheit
achievement_10588_title;Dolce Vita
achievement_10589_title;Gesund und munter
achievement_10590_title;Lebenserwartung: hoch
achievement_10591_title;Verwundbar
achievement_10592_title;Hilflos
achievement_10593_title;Brachialmethode
achievement_10594_title;Schildbrecher
achievement_10595_desc;Zerstöre eine vergiftete Einheit, ohne sie zusätzlich zu vergiften.
achievement_10595_title;Ruheloser Meuchelmörder
achievement_10596_desc;Gewinne eine Partie mit einer Syndikatsfähigkeit, ohne Münzen auszugeben.
achievement_10596_title;Kein Geld, kein Problem
achievement_10597_desc;Gewinne eine Partie mit einer Syndikatsfähigkeit und habe am Ende noch 9 Münzen übrig.
achievement_10597_title;Tiefe Taschen
achievement_10598_desc;Gewinne eine Partie mit einer Syndikatsfähigkeit und habe am Ende keine Münzen mehr.
achievement_10598_title;Bis auf den letzten Cent
achievement_10599_title;Verschwendung
achievement_10600_title;Pfennigfuchser
achievement_10601_title;Geizkragen
achievement_10602_title;Knauserer
achievement_10603_title;Scrooge
achievement_10604_title;Kleingeld
achievement_10605_title;Schwere Börse
achievement_10606_title;Investor
achievement_10607_title;Risikokapital
achievement_10608_title;Neues Mitglied
achievement_10609_title;Syndikatsvorteile
achievement_10610_title;Ein Angebot, das du nicht ablehnen kannst
achievement_10611_title;Letzte Gebühr
achievement_10612_title;Sparschwein
achievement_10613_title;Sammelwut
achievement_10614_title;Horter
achievement_10615_title;Tresor
achievement_10620_title;Gesucht
achievement_10621_title;Gezeichnet
achievement_10622_title;Verfolgt
achievement_10623_title;Gejagt
achievement_10624_title;Erste Rate
achievement_10625_title;Kleine Operation
achievement_10626_title;Ziemlich reich
achievement_10627_title;Finanzblase
achievement_10628_title;Tyrann
achievement_10629_title;Schläger
achievement_10630_title;Vollstrecker
achievement_10631_title;Haudrauf
achievement_10634_desc;Füge Einheiten 10-mal Rüstung hinzu.
achievement_10634_title;Anheizen!
achievement_10635_desc;Füge Einheiten 100-mal Rüstung hinzu.
achievement_10635_title;Zischen im Wasser
achievement_10636_desc;Füge Einheiten 500-mal Rüstung hinzu.
achievement_10636_title;Stärker und immer stärker
achievement_10637_desc;Füge Einheiten 1.000-mal Rüstung hinzu.
achievement_10637_title;Gehärteter Stahl
achievement_10638_desc;Löse 10-mal „Barrikade“ aus.
achievement_10638_title;Barrikade
achievement_10639_desc;Löse 100-mal „Barrikade“ aus.
achievement_10639_title;Außenposten
achievement_10640_desc;Löse 500-mal „Barrikade“ aus.
achievement_10640_title;Festung
achievement_10641_desc;Löse 1.000-mal „Barrikade“ aus.
achievement_10641_title;Schloss
achievement_10642_desc;Löse 10-mal „Ungeschützt“ aus.
achievement_10642_title;Oh, das ist nur ein Kratzer!
achievement_10643_desc;Löse 100-mal „Ungeschützt“ aus.
achievement_10643_title;Ach, ist doch nur eine Fleischwunde!
achievement_10644_desc;Löse 500-mal „Ungeschützt“ aus.
achievement_10644_title;Ich bin unbesiegbar!
achievement_10645_desc;Löse 1.000-mal „Ungeschützt“ aus.
achievement_10645_title;Ich durchtrenne deine Oberschenkel. Mit meinen Zähnen!
achievement_10646_desc;Spiele 5-mal die letzte Stufe der sich ändernden Karten aus Master Mirror aus
achievement_10646_title;Gauner Stufe 1
achievement_10647_desc;Spiele 50-mal die letzte Stufe der sich ändernden Karten aus Master Mirror aus
achievement_10647_title;Auftragskiller Stufe 10
achievement_10648_desc;Spiele 250-mal die letzte Stufe der sich ändernden Karten aus Master Mirror aus
achievement_10648_title;Boss Stufe 30
achievement_10649_desc;Spiele 500-mal die letzte Stufe der sich ändernden Karten aus Master Mirror aus
achievement_10649_title;Pate Stufe 100
achievement_10650_desc;Verursache 25-mal Schaden durch Frost
achievement_10650_title;Gänsehaut
achievement_10651_desc;Verursache 250-mal Schaden durch Frost
achievement_10651_title;Eiskalte Limonade
achievement_10652_desc;Verursache 1250-mal Schaden durch Frost
achievement_10652_title;Coole Story, Alter
achievement_10653_desc;Verursache 2.500-mal Schaden durch Frost
achievement_10653_title;Frost Punk
achievement_10654_desc;Löse 10-mal Verschwörung aus
achievement_10654_title;Nur eine Verschwörungstheorie!
achievement_10655_desc;Löse 100-mal Verschwörung aus
achievement_10655_title;Flacherdler
achievement_10656_desc;Löse 500-mal Verschwörung aus
achievement_10656_title;Men in Black
achievement_10657_desc;Löse 1.000-mal Verschwörung aus
achievement_10657_title;Neue Weltordnung
achievement_10658_desc;Generiere 10 Umherstreifende Ents
achievement_10658_title;Der Umwelt zuliebe
achievement_10659_desc;Generiere 100 Umherstreifende Ents
achievement_10659_title;Sohn von Mutter Natur
achievement_10660_desc;Generiere 500 Umherstreifende Ents
achievement_10660_title;Ein grünes Meer
achievement_10661_desc;Generiere 1.000 Umherstreifende Ents
achievement_10661_title;Der Tag der Ents
achievement_10662_desc;Generiere 10 Freiwillige
achievement_10662_title;Trupp
achievement_10663_desc;Generiere 100 Freiwillige
achievement_10663_title;Kompanie
achievement_10664_desc;Generiere 500 Freiwillige
achievement_10664_title;Bataillon
achievement_10665_desc;Generiere 1.000 Freiwillige
achievement_10665_title;Brigade
achievement_10666_desc;Generiere 10 Flammenrose-Fußsoldaten
achievement_10666_title;Flammenrose-Fußsoldat
achievement_10667_desc;Generiere 100 Flammenrose-Fußsoldaten
achievement_10667_title;Ritter der Flammenrose
achievement_10668_desc;Generiere 500 Flammenrose-Fußsoldaten
achievement_10668_title;Marschall der Flammenrose
achievement_10669_desc;Generiere 1.000 Flammenrose-Fußsoldaten
achievement_10669_title;Großmeister des Ordens der Flammenrose
achievement_10670_desc;Löse 10-mal das Schlüsselwort "Veteran" aus
achievement_10670_title;Leibeigener
achievement_10671_desc;Löse 100-mal das Schlüsselwort "Veteran" aus
achievement_10671_title;Freigelassener
achievement_10672_desc;Löse 500-mal das Schlüsselwort "Veteran" aus
achievement_10672_title;Ceorl
achievement_10673_desc;Löse 1000-mal das Schlüsselwort "Veteran" aus
achievement_10673_title;Huscarl
achievement_10674_desc;Spiele 10 Hexer aus
achievement_10674_title;Entführt
achievement_10675_desc;Spiele 100 Hexer aus
achievement_10675_title;Kräuterprobe
achievement_10676_desc;Spiele 500 Hexer aus
achievement_10676_title;Brutales Kampftraining
achievement_10677_desc;Spiele 1000 Hexer aus
achievement_10677_title;Grown Up Monster Slaying Witchers
achievement_10678_desc;Löse 10-mal das Schlüsselwort "Adrenalin" aus
achievement_10678_title;Adrenalinrausch
achievement_10679_desc;Löse 100-mal das Schlüsselwort "Adrenalin" aus
achievement_10679_title;Adrenalinjunkie
achievement_10680_desc;Löse 500-mal das Schlüsselwort "Adrenalin" aus
achievement_10680_title;Adrenalinwahn
achievement_10681_desc;Löse 1000-mal das Schlüsselwort "Adrenalin" aus
achievement_10681_title;Beruhig dich mal
achievement_10682_desc;Löse 10-mal das Schlüsselwort "Sabbat" aus
achievement_10682_title;Paranoia
achievement_10683_desc;Löse 100-mal das Schlüsselwort "Sabbat" aus
achievement_10683_title;Iron Maiden
achievement_10684_desc;Löse 500-mal das Schlüsselwort "Sabbat" aus
achievement_10684_title;War Boar
achievement_10685_desc;Löse 1000-mal das Schlüsselwort "Sabbat" aus
achievement_10685_title;"Und wir haben ihn getötet"
achievement_10686_desc;Löse 10-mal das Schlüsselwort "Geduld" aus
achievement_10686_title;... Ist eine Tugend
achievement_10687_desc;Löse 100-mal das Schlüsselwort "Geduld" aus
achievement_10687_title;Selbstbeherrschung
achievement_10688_desc;Löse 500-mal das Schlüsselwort "Geduld" aus
achievement_10688_title;Geduld zu verlieren bedeutet, den Kampf zu verlieren
achievement_10689_desc;Löse 1000-mal das Schlüsselwort "Geduld" aus
achievement_10689_title;Eine mindere Spielart der Verzweiflung
achievement_10690_desc;Spiele 5 Partien, in denen du jeweils mindestens eine Karte aus dem Set "Uroboros" ausspielst
achievement_10690_title;Krallen und Dolche
achievement_10691_desc;Spiele 10 Partien, in denen du jeweils mindestens eine Karte aus dem Set "Uroboros" ausspielst
achievement_10691_title;Vorbereitung der Blaupause
achievement_10692_desc;Spiele 20 Partien, in denen du jeweils mindestens eine Karte aus dem Set "Uroboros" ausspielst
achievement_10692_title;Ausweichplan
achievement_10693_desc;Spiele 30 Partien, in denen du jeweils mindestens eine Karte aus dem Set "Uroboros" ausspielst
achievement_10693_title;Bereit für den Coup
achievement_11000_desc;Gewinne {0} Partien mit einem Monster-Deck in einer aktiven Herausforderung
achievement_11000_new_desc;Gewinne {0} Partien mit Monstern in einer aktiven Herausforderung
achievement_11001_desc;Unterstütze die Monster in einem Herausforderungs-Event und schließe 3 Quests ab.
achievement_11001_title;Diener
achievement_11002_desc;Unterstütze die Monster in einem Herausforderungs-Event und schließe 5 Quests ab.
achievement_11002_title;Lehrling
achievement_11003_desc;Unterstütze die Monster in einem Herausforderungs-Event und schließe 10 Quests ab.
achievement_11003_title;Akolyth
achievement_11004_desc;Unterstütze die Monster in einem Herausforderungs-Event und schließe 15 Quests ab.
achievement_11004_title;Lobhudler
achievement_11005_desc;Unterstütze die Monster in einem Herausforderungs-Event und schließe 25 Quests ab.
achievement_11005_title;Koloss
achievement_11010_desc;Gewinne {0} Partien mit einem Skellige-Deck in einer aktiven Herausforderung
achievement_11010_new_desc;Gewinne {0} Partien mit Skellige in einer aktiven Herausforderung
achievement_11011_desc;Unterstütze Skellige in einem Herausforderungs-Event und schließe 3 Quests ab.
achievement_11011_title;Räuber
achievement_11012_desc;Unterstütze Skellige in einem Herausforderungs-Event und schließe 5 Quests ab.
achievement_11012_title;Gesetzloser
achievement_11013_desc;Unterstütze Skellige in einem Herausforderungs-Event und schließe 10 Quests ab.
achievement_11013_title;Plünderer
achievement_11014_desc;Unterstütze Skellige in einem Herausforderungs-Event und schließe 15 Quests ab.
achievement_11014_title;Erster Maat
achievement_11015_desc;Unterstütze Skellige in einem Herausforderungs-Event und schließe 25 Quests ab.
achievement_11015_title;Piratenkapitän
achievement_11020_desc;Gewinne {0} Partien mit einem Nördliche-Königreiche-Deck in einer aktiven Herausforderung
achievement_11020_new_desc;Gewinne {0} Partien mit den Nördlichen Königreichen in einer aktiven Herausforderung
achievement_11021_desc;Unterstütze die Nördlichen Königreiche in einem Herausforderungs-Event und schließe 3 Quests ab.
achievement_11021_title;Neuling
achievement_11022_desc;Unterstütze die Nördlichen Königreiche in einem Herausforderungs-Event und schließe 5 Quests ab.
achievement_11022_title;Leutnant
achievement_11023_desc;Unterstütze die Nördlichen Königreiche in einem Herausforderungs-Event und schließe 10 Quests ab.
achievement_11023_title;Loyalist
achievement_11024_desc;Unterstütze die Nördlichen Königreiche in einem Herausforderungs-Event und schließe 15 Quests ab.
achievement_11024_title;Patriot
achievement_11025_desc;Unterstütze die Nördlichen Königreiche in einem Herausforderungs-Event und schließe 25 Quests ab.
achievement_11025_title;Für König und Vaterland
achievement_11030_desc;Gewinne {0} Partien mit einem Nilfgaard-Deck in einer aktiven Herausforderung
achievement_11030_new_desc;Gewinne {0} Partien mit Nilfgaard in einer aktiven Herausforderung
achievement_11031_desc;Unterstütze Nilfgaard in einem Herausforderungs-Event und schließe 3 Quests ab.
achievement_11031_title;Spion
achievement_11032_desc;Unterstütze Nilfgaard in einem Herausforderungs-Event und schließe 5 Quests ab.
achievement_11032_title;Meuchelmörder
achievement_11033_desc;Unterstütze Nilfgaard in einem Herausforderungs-Event und schließe 10 Quests ab.
achievement_11033_title;Verräter
achievement_11034_desc;Unterstütze Nilfgaard in einem Herausforderungs-Event und schließe 15 Quests ab.
achievement_11034_title;Meisterspion
achievement_11035_desc;Unterstütze Nilfgaard in einem Herausforderungs-Event und schließe 25 Quests ab.
achievement_11035_title;Der Wille des Kaisers
achievement_11040_desc;Gewinne {0} Partien mit einem Scoia'tael-Deck in einer aktiven Herausforderung
achievement_11040_new_desc;Gewinne {0} Partien mit den Scoia'tael in einer aktiven Herausforderung
achievement_11041_desc;Unterstütze die Scoia'tael in einem Herausforderungs-Event und schließe 3 Quests ab.
achievement_11041_title;Aufrührer
achievement_11042_desc;Unterstütze die Scoia'tael in einem Herausforderungs-Event und schließe 5 Quests ab.
achievement_11042_title;Halsabschneider
achievement_11043_desc;Unterstütze die Scoia'tael in einem Herausforderungs-Event und schließe 10 Quests ab.
achievement_11043_title;Revolutionär
achievement_11044_desc;Unterstütze die Scoia'tael in einem Herausforderungs-Event und schließe 15 Quests ab.
achievement_11044_title;Eiferer
achievement_11045_desc;Unterstütze die Scoia'tael in einem Herausforderungs-Event und schließe 25 Quests ab.
achievement_11045_title;Kommando-Anführer
achievement_11050_desc;Gewinne {0} Partien mit einem Syndikat-Deck in einer aktiven Herausforderung
achievement_11050_new_desc;Gewinne {0} Partien mit dem Syndikat in einer aktiven Herausforderung
achievement_11051_title;Botenjunge
achievement_11052_title;Kleinkrimineller
achievement_11053_title;Leutnant
achievement_11054_title;Rechte Hand
achievement_11055_title;Großer Boss
achievement_11060_desc;Schließe {0} Herausforderungsquests ab
achievement_11060_new_desc;Schließe {0} Herausforderungsquests ab
achievement_11061_title;Aushilfe zu mieten!
achievement_11062_title;Vermittler
achievement_11063_title;Freiberufler
achievement_11064_title;Söldner
achievement_11065_title;Glücksritter
achievement_11066_desc;Verbessere Shani auf 20 Punkte.
achievement_11066_title;In Liebe, Radovid
achievement_12001_desc;Gewinne 1 Partie, während du das Spielbrett "Jaruga-Brücke" ausgerüstet hast
achievement_12001_title;Schlacht um die Jaruga-Brücke
achievement_12002_desc;Gewinne 15 Partien, während du das Spielbrett "Jaruga-Brücke" ausgerüstet hast
achievement_12002_title;Für Lyrien!
achievement_12003_desc;Gewinne 50 Partien, während du das Spielbrett "Jaruga-Brücke" ausgerüstet hast
achievement_12003_title;Belagerungsmeister
achievement_12005_desc;Schließe während Ciris & Yennefers Geburtstagsparty 1 Tagesquest ab!
achievement_12005_title;Die Party geht los!
achievement_12006_desc;Schließe während Ciris & Yennefers Geburtstagsparty 2 Tagesquests ab!
achievement_12006_title;Wünsch dir was!
achievement_12007_desc;Schließe während Ciris & Yennefers Geburtstagsparty 3 Tagesquests ab!
achievement_12007_title;Herzlichen Glückwunsch!
achievement_12009_title;Reichet Gold eurem Hexer
achievement_12009_title_alt;Zeichen des Hexers
achievement_12009_title_alt_2;Reichet Gold eurem Wolf
achievement_12010_title;Reichet Gold eurer Prinzessin
achievement_12010_title_alt;Zeichen der Prinzessin
achievement_12011_title;Reichet Gold eurem Magier
achievement_12011_title_alt;Zeichen der Zauberin
achievement_12013_title;Nur ein Söldner
achievement_12014_title;Nicht nur ein Söldner
achievement_12015_title;Mehr als nur ein Söldner
achievement_12017_title;Spiel einfach mit
achievement_12024_title;Das große Mischen
achievement_12028_title;Das größte Mischen
achievement_12030_desc;Öffne ein Fass
achievement_12030_title;Mach mal 'n Goldenes auf
achievement_12035_title;Mit GG Respekt zollen
achievement_12040_desc;Gewinne 1 Partie mit ausgerüstetem Gascon-Skin "Herzog der Hunde".
achievement_12040_title;Für die Brossards!
achievement_12041_desc;Gewinne 15 Partien mit ausgerüstetem Gascon-Skin "Herzog der Hunde".
achievement_12041_title;Für die Streuner von Spalla!
achievement_12042_desc;Gewinne 50 Partien mit ausgerüstetem Gascon-Skin "Herzog der Hunde".
achievement_12042_title;Für den Herzog der Hunde!
achievement_12044_title;Großer Böser Roter Hut
achievement_12045_title;Aus Zucker
achievement_12047_desc;Gewinne 1 Partie während der Geburtstagsfeier
achievement_12047_title;Oh, schau mal, Kuchen!
achievement_12048_desc;Gewinne 3 Partien während der Geburtstagsfeier
achievement_12048_title;Der süße Geschmack des Sieges
achievement_12049_desc;Gewinne 6 Partien während der Geburtstagsfeier
achievement_12049_title;Okay, nur noch ein Stück
achievement_12050_desc;Gewinne 15 Partien während der Geburtstagsfeier
achievement_12050_title;Hol sie dir alle (in deinen Magen)
achievement_12052_desc;Schließe 1 Tagesquest während der Geburtstagsfeier ab
achievement_12052_title;Auf die Plätze!
achievement_12053_desc;Schließe 3 Tagesquests während der Geburtstagsfeier ab
achievement_12053_title;Fertig!
achievement_12054_desc;Schließe 7 Tagesquests während der Geburtstagsfeier ab
achievement_12054_title;Feiern!
achievement_12056_desc;Spiele 1 Partie mit der Fraktion Monster während der Geburtstagsfeier
achievement_12056_title;Monsterfeier!
achievement_12057_desc;Spiele 3 Partien mit der Fraktion Monster während der Geburtstagsfeier
achievement_12057_title;Blut oder Wein?
achievement_12058_desc;Spiele 5 Partien mit der Fraktion Monster während der Geburtstagsfeier
achievement_12058_title;Wenn man Spaß hat, vergeht der Wein wie im Fluge
