achievement_10513_title;No meio da multidão
achievement_10514_desc;Use pelo menos 1 reação em 10 partidas online diferentes.
achievement_10514_title;Vem com tudo
achievement_10515_desc;Use pelo menos 1 reação em 100 partidas online diferentes.
achievement_10515_title;Isso é tudo o que você tem?
achievement_10516_desc;Use pelo menos 1 reação em 1.000 partidas online diferentes.
achievement_10516_title;Ouçam o meu RUGIDO!
achievement_10517_desc;Obtenha mais de 30 pontos em um único turno durante uma partida online.
achievement_10517_title;Hora de empunhar
achievement_10518_desc;Cause 10 de dano às suas próprias unidades durante partidas online.
achievement_10518_title;Isto não vai doer nadinha
achievement_10519_desc;Cause 100 de dano às suas próprias unidades durante partidas online.
achievement_10519_title;Sem dor, sem ganho
achievement_10520_desc;Cause 1.000 de dano às suas próprias unidades durante partidas online.
achievement_10520_title;Disciplina e punição
achievement_10521_desc;Vença uma rodada marcando 100 pontos a mais do que seu oponente em uma partida online.
achievement_10521_title;Exagero
achievement_10522_desc;Vença a primeira rodada em uma partida online sem cartas restantes em sua mão.
achievement_10522_title;Apostando tudo
achievement_10523_desc;Vença uma partida online depois de passar a primeira rodada com 10 cartas na mão.
achievement_10523_title;Plano oculto
achievement_10524_desc;Vença uma partida online depois de usar todas as suas segundas chances na primeira rodada.
achievement_10524_title;As apostas foram feitas
achievement_10525_desc;Destrua 5 ou mais unidades inimigas em um turno durante uma partida online.
achievement_10525_title;Execução impecável
achievement_10526_desc;Compre seu baralho inteiro e vença uma partida online.
achievement_10526_title;Nenhuma gota desperdiçada
achievement_10527_desc;Use 30 cartas de ouro durante partidas online.
achievement_10527_title;Qualidade em vez de quantidade
achievement_10528_desc;Use 100 cartas Premium durante partidas online.
achievement_10528_title;Ostentando
achievement_10529_desc;Vença uma partida sem destruir nenhuma das cartas do seu oponente.
achievement_10529_title;Tudo na paz
achievement_10530_desc;Vença a última rodada sem cartas no lado do oponente do tabuleiro durante uma partida online.
achievement_10530_title;Aniquilação
achievement_10531_desc;Ganhe uma partida usando um baralho com 100 de recrutamento ou menos.
achievement_10531_title;Gwent dos pobres
achievement_10533_desc;Tenha ao menos 5 status em uma única unidade durante uma partida online.
achievement_10533_title;Metamorfose ambulante
achievement_10534_desc;Vença uma partida online em menos de 7 minutos.
achievement_10534_title;Pronto, tá feito!
achievement_10536_desc;Use 1.000 cartas em partidas online.
achievement_10536_title;Milenar
achievement_10537_desc;Use 10.000 cartas em partidas online.
achievement_10537_title;Casa de cartas
achievement_10538_desc;Use 100.000 cartas em partidas online.
achievement_10538_title;Mestre do baralho
achievement_10539_desc;Ative 10 habilidades de Desejo de Morte em partidas online.
achievement_10539_title;Vem pra cima!
achievement_10540_desc;Ative 100 habilidades de Desejo de Morte em partidas online.
achievement_10540_title;Não poupe ninguém
achievement_10541_desc;Ative 1.000 habilidades de Desejo de Morte em partidas online.
achievement_10541_title;Sacrifício digno
achievement_10542_desc;Incinere uma unidade com ao menos 50 de poder em uma partida online.
achievement_10542_title;Quanto maiores são...
achievement_10543_desc;Tenha 0 cartas na mão no final de todas as rodadas e vença uma partida online.
achievement_10543_title;Brutalidade sem limites
achievement_10544_desc;Use 10 unidades da sua pilha de descarte durante partidas online.
achievement_10544_title;Métodos pouco ortodoxos
achievement_10545_desc;Use 100 unidades da sua pilha de descarte durante partidas online.
achievement_10545_title;Foi só um arranhão
achievement_10546_desc;Use 1.000 unidades da sua pilha de descarte durante partidas online.
achievement_10546_title;Alguém chamou o médico?
achievement_10547_desc;Vença uma partida online onde a força de uma de suas unidades seja ao menos 50.
achievement_10547_title;Fisiculturista
achievement_10548_desc;Transforme uma carta durante uma partida online.
achievement_10548_title;Transformação
achievement_10549_desc;Destrua pelo menos 3 unidades com 1 carta e vença uma partida online.
achievement_10549_title;Trindade
achievement_10550_desc;Substitua um efeito de fileira com um efeito de fileira diferente durante uma partida online.
achievement_10550_title;Enfrentar os elementos
achievement_10551_title;É um prazer
achievement_10552_title;Que tal uma parceria?
achievement_10553_title;Companheiros de Guerra
achievement_10554_title;Espíritos semelhantes
achievement_10555_title;Primeiro abate
achievement_10556_title;Carnificina
achievement_10557_title;Chacina
achievement_10558_title;Executor
achievement_10559_title;Desentoxicação
achievement_10560_title;In natura
achievement_10561_title;Espesso
achievement_10562_title;Purista
achievement_10563_title;Agitado
achievement_10564_title;Enfurecido
achievement_10565_title;Transtornado
achievement_10566_title;RAAAARGHHH!!
achievement_10567_title;Missionário
achievement_10568_title;Colono
achievement_10569_title;Colonizador
achievement_10570_title;Império
achievement_10571_title;E aí, vizinho!
achievement_10572_title;Força em diferença
achievement_10573_title;Juntos prevalesceremos!
achievement_10574_title;Crias da natureza
achievement_10575_title;Só uma picadinha
achievement_10576_title;Manchado de sangue
achievement_10577_title;Ensanguentado
achievement_10578_title;Banho de sangue carmesim
achievement_10579_title;Broquel
achievement_10580_title;Escudo temperado
achievement_10581_title;Escudo pavês
achievement_10582_title;Manta
achievement_10583_title;Uma gota no seu cálice
achievement_10584_title;Mestre do veneno
achievement_10585_title;Gosto homicida
achievement_10586_title;Pó de iocane
achievement_10587_title;Nascido para servir
achievement_10588_title;Doce vida
achievement_10589_title;Bate o sino
achievement_10590_title;Expectavida de vida: alta
achievement_10591_title;Vulnerável
achievement_10592_title;Indefeso
achievement_10593_title;Força bruta
achievement_10594_title;Quebra-escudos
achievement_10595_desc;Destrói uma unidade envenenada sem conceder veneno adicional.
achievement_10595_title;Assassino implacável
achievement_10596_desc;Ganhe uma partida usando uma habilidade do Sindicato sem usar nenhuma moeda.
achievement_10596_title;Sem grana, sem treta
achievement_10597_desc;Ganhe um jogo usando uma habilidade do Sindicato e ainda tenha 9 moedas no fim do jogo.
achievement_10597_title;Bolso sem fundo
achievement_10598_desc;Ganhe um jogo usando uma habilidade do Sindicato sem ter nenhuma moeda no final do jogo.
achievement_10598_title;Até o último centavo
achievement_10599_title;Gastalhão
achievement_10600_title;Muquirana
achievement_10601_title;Mão-de-vaca
achievement_10602_title;Avarento
achievement_10603_title;Sovina
achievement_10604_title;Esmola
achievement_10605_title;Bolsa pesada
achievement_10606_title;Investidor
achievement_10607_title;Capital de renda
achievement_10608_title;Novo membro
achievement_10609_title;Vantagens do Sindicato
achievement_10610_title;Oferta irrecusável
achievement_10611_title;Últimas contas
achievement_10612_title;Cofrinho
achievement_10613_title;Acumulador
achievement_10614_title;Estocador
achievement_10615_title;Cofre
achievement_10620_title;Procurado
achievement_10621_title;Marcado
achievement_10622_title;Perseguido
achievement_10623_title;Caçado
achievement_10624_title;Primeiro pagamento
achievement_10625_title;Pequena operação
achievement_10626_title;Riquíssimo
achievement_10627_title;Bolha financeira
achievement_10628_title;Valentão
achievement_10629_title;Parrudão
achievement_10630_title;Autoridade
achievement_10631_title;Músculo
achievement_10634_desc;Adicione armadura a unidades 10 vezes
achievement_10634_title;Aquecimento!
achievement_10635_desc;Adicione armadura a unidades 100 vezes
achievement_10635_title;Água e refresco
achievement_10636_desc;Adicione armadura a unidades 500 vezes
achievement_10636_title;A chapa tá quente
achievement_10637_desc;Adicione armadura a unidades 1.000 vezes
achievement_10637_title;Aço reforçado
achievement_10638_desc;Acione a barricada 10 vezes
achievement_10638_title;Barricada
achievement_10639_desc;Acione a barricada 100 vezes
achievement_10639_title;Posto avançado
achievement_10640_desc;Acione a barricada 500 vezes
achievement_10640_title;Forte
achievement_10641_desc;Acione a barricada 1.000 vezes
achievement_10641_title;Castelo
achievement_10642_desc;Acione a exposição 10 vezes
achievement_10642_title;É só um arranhão
achievement_10643_desc;Acione a exposição 100 vezes
achievement_10643_title;Foi só um cortezinho
achievement_10644_desc;Acione a exposição 500 vezes
achievement_10644_title;Eu sou invencível
achievement_10645_desc;Acione a exposição 1.000 vezes
achievement_10645_title;Vou arrancar suas pernas!
achievement_10646_desc;Chegue à 3ª fase com cartas evolutivas da expansão Master Mirror 5 vezes
achievement_10646_title;Bandido Nv. 1
achievement_10647_desc;Chegue à 3ª fase com cartas evolutivas da expansão Master Mirror 50 vezes
achievement_10647_title;Carrasco Nv. 10
achievement_10648_desc;Chegue à 3ª fase com cartas evolutivas da expansão Master Mirror 250 vezes
achievement_10648_title;Chefe Nv. 30
achievement_10649_desc;Chegue à 3ª fase com cartas evolutivas da expansão Master Mirror 500 vezes
achievement_10649_title;Patrão Nv. 100
achievement_10650_desc;Cause dano com Frio 25 vezes
achievement_10650_title;Chega a dar calafrio
achievement_10651_desc;Cause dano com Frio 250 vezes
achievement_10651_title;Limonada com gelo
achievement_10652_desc;Cause dano com Frio 1250 vezes
achievement_10652_title;Fica frio, mano
achievement_10653_desc;Cause dano com Frio 2500 vezes
achievement_10653_title;Punk do gelo
achievement_10654_desc;Acione Conspiração 10 vezes
achievement_10654_title;É só uma teoria da conspiração!
achievement_10655_desc;Acione Conspiração 100 vezes
achievement_10655_title;Sociedade terraplanista
achievement_10656_desc;Acione Conspiração 500 vezes
achievement_10656_title;Homens de preto
achievement_10657_desc;Acione Conspiração 1.000 vezes
achievement_10657_title;Nova Ordem Mundial
achievement_10658_desc;Faça 10 Entes Andarilhos surgirem
achievement_10658_title;Um verdinho aí?
achievement_10659_desc;Faça 100 Entes Andarilhos surgirem
achievement_10659_title;Filho da Mãe Natureza
achievement_10660_desc;Faça 500 Entes Andarilhos surgirem
achievement_10660_title;Um mar esverdeado
achievement_10661_desc;Faça 1.000 Entes Andarilhos surgirem
achievement_10661_title;Dia dos Entes
achievement_10662_desc;Faça 10 Voluntários surgirem
achievement_10662_title;Pelotão
achievement_10663_desc;Faça 100 Voluntários surgirem
achievement_10663_title;Companhia
achievement_10664_desc;Faça 500 Voluntários surgirem
achievement_10664_title;Batalhão
achievement_10665_desc;Faça 1.000 Voluntários surgirem
achievement_10665_title;Brigada
achievement_10666_desc;Faça 10 Soldados da Rosa Ardente surgirem
achievement_10666_title;Soldado da Rosa Ardente
achievement_10667_desc;Faça 100 Soldados da Rosa Ardente surgirem
achievement_10667_title;Cavaleiro da Rosa Ardente
achievement_10668_desc;Faça 500 Soldados da Rosa Ardente surgirem
achievement_10668_title;Marechal da Rosa Ardente
achievement_10669_desc;Faça 1.000 Soldados da Rosa Ardente surgirem
achievement_10669_title;Grão-mestre da Rosa Ardente
achievement_10670_desc;Acione a palavra-chave Veterano 10 vezes
achievement_10670_title;Prisioneiro
achievement_10671_desc;Acione a palavra-chave Veterano 100 vezes
achievement_10671_title;Liberto
achievement_10672_desc;Acione a palavra-chave Veterano 500 vezes
achievement_10672_title;Ceorl
achievement_10673_desc;Acione a palavra-chave Veterano 1.000 vezes
achievement_10673_title;Huscarl
achievement_10674_desc;Use 10 bruxos
achievement_10674_title;Sequestrado
achievement_10675_desc;Use 100 bruxos
achievement_10675_title;Provação dos campos
achievement_10676_desc;Use 500 bruxos
achievement_10676_title;Treinamento marcial brutal
achievement_10677_desc;Use 1.000 bruxos
achievement_10677_title;Monstro grande exterminador de bruxos
achievement_10678_desc;Acione a palavra-chave adrenalina 10 vezes
achievement_10678_title;Descarga de adrenalina
achievement_10679_desc;Acione a palavra-chave adrenalina 100 vezes
achievement_10679_title;Maluco da adrenalina
achievement_10680_desc;Acione a palavra-chave adrenalina 500 vezes
achievement_10680_title;Doses de adrenalina
achievement_10681_desc;Acione a palavra-chave adrenalina 1.000 vezes
achievement_10681_title;Preciso relaxar
achievement_10682_desc;Acione a palavra-chave Sabá 10 vezes
achievement_10682_title;Paranoia
achievement_10683_desc;Acione a palavra-chave Sabá 100 vezes
achievement_10683_title;Dama de Ferro
achievement_10684_desc;Acione a palavra-chave Sabá 500 vezes
achievement_10684_title;Javali de Guerra
achievement_10685_desc;Acione a palavra-chave Sabá 1.000 vezes
achievement_10685_title;"E, aqui, nós o matamos"
achievement_10686_desc;Acione a palavra-chave Paciência 10 vezes
achievement_10686_title;... É uma virtude
achievement_10687_desc;Acione a palavra-chave Paciência 100 vezes
achievement_10687_title;Autocontrole
achievement_10688_desc;Acione a palavra-chave Paciência 500 vezes
achievement_10688_title;Perder a paciência é perder a batalha
achievement_10689_desc;Acione a palavra-chave Paciência 1.000 vezes
achievement_10689_title;Uma pequena forma de desespero
achievement_11000_desc;Vença {0} partidas com o baralho dos Monstros durante o desafio ativo
achievement_11000_new_desc;Vença {0} partidas com Monstros durante o desafio ativo
achievement_11001_desc;Conclua 3 missões enquanto apoia os Monstros durante um evento de desafio.
achievement_11001_title;Servo
achievement_11002_desc;Conclua 5 missões enquanto apoia os Monstros durante um evento de desafio.
achievement_11002_title;Aprendiz
achievement_11003_desc;Conclua 10 missões enquanto apoia os Monstros durante um evento de desafio.
achievement_11003_title;Acólito
achievement_11004_desc;Conclua 15 missões enquanto apoia os Monstros durante um evento de desafio.
achievement_11004_title;Bajulador
achievement_11005_desc;Conclua 25 missões enquanto apoia os Monstros durante um evento de desafio.
achievement_11005_title;Colosso
achievement_11010_desc;Vença {0} partidas com o baralho de Skellige durante o desafio ativo
achievement_11010_new_desc;Vença {0} partidas com Skellige durante o desafio ativo
achievement_11011_desc;Conclua 3 missões enquanto apoia Skellige durante um evento de desafio.
achievement_11011_title;Invasor
achievement_11012_desc;Conclua 5 missões enquanto apoia Skellige durante um evento de desafio.
achievement_11012_title;Fora da lei
achievement_11013_desc;Conclua 10 missões enquanto apoia Skellige durante um evento de desafio.
achievement_11013_title;Saqueador
achievement_11014_desc;Conclua 15 missões enquanto apoia Skellige durante um evento de desafio.
achievement_11014_title;Imediato
achievement_11015_desc;Conclua 25 missões enquanto apoia Skellige durante um evento de desafio.
achievement_11015_title;Capitão pirata
achievement_11020_desc;Vença {0} partidas com o baralho de Reinos do Norte durante o desafio ativo
achievement_11020_new_desc;Vença {0} partidas com Reinos do Norte durante o desafio ativo
achievement_11021_desc;Conclua 3 missões enquanto apoia os Reinos do Norte durante um evento de desafio.
achievement_11021_title;Novato
achievement_11022_desc;Conclua 5 missões enquanto apoia os Reinos do Norte durante um evento de desafio.
achievement_11022_title;Tenente
achievement_11023_desc;Conclua 10 missões enquanto apoia os Reinos do Norte durante um evento de desafio.
achievement_11023_title;Lealista
achievement_11024_desc;Conclua 15 missões enquanto apoia os Reinos do Norte durante um evento de desafio.
achievement_11024_title;Patriota
achievement_11025_desc;Conclua 25 missões enquanto apoia os Reinos do Norte durante um evento de desafio.
achievement_11025_title;Pelo rei e pelo país
achievement_11030_desc;Vença {0} partidas com o baralho de Nilfgaard durante o desafio ativo
achievement_11030_new_desc;Vença {0} partidas com Nilfgaard durante o desafio ativo
achievement_11031_desc;Conclua 3 missões enquanto apoia Nilfgaard durante um evento de desafio.
achievement_11031_title;Espião
achievement_11032_desc;Conclua 5 missões enquanto apoia Nilfgaard durante um evento de desafio.
achievement_11032_title;Assassino
achievement_11033_desc;Conclua 10 missões enquanto apoia Nilfgaard durante um evento de desafio.
achievement_11033_title;Pérfido
achievement_11034_desc;Conclua 15 missões enquanto apoia Nilfgaard durante um evento de desafio.
achievement_11034_title;Espião de ponta
achievement_11035_desc;Conclua 25 missões enquanto apoia Nilfgaard durante um evento de desafio.
achievement_11035_title;Vontade do imperador
achievement_11040_desc;Vença {0} partidas com o baralho de Scoia'tael durante o desafio ativo
achievement_11040_new_desc;Vença {0} partidas com Scoia'tael durante o desafio ativo
achievement_11041_desc;Conclua 3 missões enquanto apoia os Scoia'tael durante um evento de desafio.
achievement_11041_title;Insurgente
achievement_11042_desc;Conclua 5 missões enquanto apoia os Scoia'tael durante um evento de desafio.
achievement_11042_title;Degolador
achievement_11043_desc;Conclua 10 missões enquanto apoia os Scoia'tael durante um evento de desafio.
achievement_11043_title;Revolucionário
achievement_11044_desc;Conclua 15 missões enquanto apoia os Scoia'tael durante um evento de desafio.
achievement_11044_title;Fanático
achievement_11045_desc;Conclua 25 missões enquanto apoia os Scoia'tael durante um evento de desafio.
achievement_11045_title;Líder do comando
achievement_11050_desc;Vença {0} partidas com o baralho de Sindicato durante o desafio ativo
achievement_11050_new_desc;Vença {0} partidas com Sindicato durante o desafio ativo
achievement_11051_title;Entregador
achievement_11052_title;Trombadinha
achievement_11053_title;Tenente
achievement_11054_title;Braço direito
achievement_11055_title;Manda-chuva
achievement_11060_desc;Conclua {0} missões de desafio
achievement_11060_new_desc;Conclua {0} missões de desafio
achievement_11061_title;Ajuda de aluguel!
achievement_11062_title;Mediador
achievement_11063_title;Autônomo
achievement_11064_title;Mercenário
achievement_11065_title;Soldado da Sorte
achievement_11066_desc;Reforce Shani em 20 pontos
achievement_11066_title;De Radovid, com amor
achievement_12001_desc;Ganhe 1 partida com o Tabuleiro Ponte em Yaruga equipado.
achievement_12001_title;Batalha pela Ponte em Yaruga
achievement_12002_desc;Ganhe 15 partidas com o Tabuleiro Ponte em Yaruga equipado.
achievement_12002_title;Por Lyria!
achievement_12003_desc;Ganhe 50 partidas com o Tabuleiro Ponte em Yaruga equipado.
achievement_12003_title;Mestre de Cerco
achievement_12005_desc;Conclua 1 missão diária durante a Festa de Aniversário de Ciri e Yennefer!
achievement_12005_title;Comece a festejar!
achievement_12006_desc;Conclua 2 missões diárias durante a Festa de Aniversário de Ciri e Yennefer!
achievement_12006_title;Faça um pedido!
achievement_12007_desc;Conclua 3 missões diárias durante a Festa de Aniversário de Ciri e Yennefer!
achievement_12007_title;Feliz aniversário!
achievement_12009_title;Dê um trocado pro seu bruxo
achievement_12009_title_alt;Sinal do Bruxo
achievement_12009_title_alt_2;Dê um trocado pro seu lobo
achievement_12010_title;Dê um trocado pra sua princesa
achievement_12010_title_alt;Sinal da Princesa
achievement_12011_title;Dê um trocado pro seu mago
achievement_12011_title_alt;Sinal da feiticeira
achievement_12013_title;Só um mercenário
achievement_12014_title;Não só um mercenário
achievement_12015_title;Não só qualquer mercenário
achievement_12017_title;Segue a batida
achievement_12024_title;A grande bagunça
achievement_12028_title;A maior bagunça
achievement_12030_desc;Abra um barril
achievement_12030_title;Tomando uma geladona
achievement_12035_title;Aperte GG para prestar respeito
achievement_12040_desc;Vença 1 partida com o visual de Gascon equipado
achievement_12040_title;Pelos Brossards!
achievement_12041_desc;Vença 15 partidas com o visual de Gascon equipado
achievement_12041_title;Pelos Vira-latas de Spalla!
achievement_12042_desc;Vença 50 partidas com o visual de Gascon equipado
achievement_12042_title;Pelo Duque dos Cães!
achievement_12044_title;Chapéu Vermelho Lobo Mau
achievement_12045_title;Feito de Açúcar
achievement_12047_desc;Vença 1 partida durante a Comemoração de Aniversário
achievement_12047_title;Olha, um bolo!
achievement_12048_desc;Vença 3 partidas durante a Comemoração de Aniversário
achievement_12048_title;Doce sabor da vitória
achievement_12049_desc;Vença 6 partidas durante a Comemoração de Aniversário
achievement_12049_title;Tá, só mais um
achievement_12050_desc;Vença 15 partidas durante a Comemoração de Aniversário
achievement_12050_title;Tem que comer tudo
achievement_12052_desc;Cumpra 1 missão diária durante a Comemoração de Aniversário
achievement_12052_title;Prepare-se!
achievement_12053_desc;Cumpra 3 missões diárias durante a Comemoração de Aniversário
achievement_12053_title;Apronte tudo!
achievement_12054_desc;Cumpra 7 missões diárias durante a Comemoração de Aniversário
achievement_12054_title;Festejar!
achievement_12056_desc;Jogue 1 partida com a facção Monstro durante a Comemoração de Aniversário
achievement_12056_title;Comemoração de Monstro!
achievement_12057_desc;Jogue 3 partidas com a facção Monstro durante a Comemoração de Aniversário
achievement_12057_title;Sangue ou vinho?
achievement_12058_desc;Jogue 5 partidas com a facção Monstro durante a Comemoração de Aniversário
achievement_12058_title;O vinho desse redondo quando estamos nos divertindo
achievement_12060_desc;Jogue 1 partida com a facção Nilfgaard durante a Comemoração de Aniversário
achievement_12060_title;Comemoração de Nilfgaard!
achievement_12061_desc;Jogue 3 partidas com a facção Nilfgaard durante a Comemoração de Aniversário
achievement_12061_title;Por que não, ora?
achievement_12062_desc;Jogue 5 partidas com a facção Nilfgaard durante a Comemoração de Aniversário
achievement_12062_title;Esta noite somos jovens
achievement_12064_desc;Jogue 1 partida com a facção Scoia'tael durante a Comemoração de Aniversário
achievement_12064_title;Comemoração de Scoia’tael!
achievement_12065_desc;Jogue 3 partidas com a facção Scoia'tael durante a Comemoração de Aniversário
achievement_12065_title;Brindemos
achievement_12066_desc;Jogue 5 partidas com a facção Scoia'tael durante a Comemoração de Aniversário
achievement_12066_title;Juntos somos fortes
achievement_12068_desc;Jogue 1 partida com a facção Skellige durante a Comemoração de Aniversário
achievement_12068_title;Comemoração de Skellige!
achievement_12069_desc;Jogue 3 partidas com a facção Skellige durante a Comemoração de Aniversário
achievement_12069_title;Donos da noite
achievement_12070_desc;Jogue 5 partidas com a facção Skellige durante a Comemoração de Aniversário
achievement_12070_title;Festa no mar
achievement_12072_desc;Jogue 1 partida com a facção Reinos do Norte durante a Comemoração de Aniversário
achievement_12072_title;Comemoração de Reinos do Norte!
achievement_12073_desc;Jogue 3 partidas com a facção Reinos do Norte durante a Comemoração de Aniversário
achievement_12073_title;O que há num nome?
achievement_12074_desc;Jogue 5 partidas com a facção Reinos do Norte durante a Comemoração de Aniversário
achievement_12074_title;Boa comida, bom humor
achievement_12076_desc;Jogue 1 partida com a facção Sindicato durante a Comemoração de Aniversário
achievement_12076_title;Comemoração de Sindicato!
achievement_12077_desc;Jogue 3 partidas com a facção Sindicato durante a Comemoração de Aniversário
achievement_12077_title;A fórmula da diversão
achievement_12078_desc;Jogue 5 partidas com a facção Sindicato durante a Comemoração de Aniversário
achievement_12078_title;O preparo do entretenimento
achievement_12080_desc;Jogue 3 partidas de Seleção durante a Comemoração de Aniversário
achievement_12080_title;A fim de extravasar
achievement_12081_desc;Jogue 5 partidas de Seleção durante a Comemoração de Aniversário
achievement_12081_title;De olho no prêmio
achievement_12083_desc;Abra 1 barril durante a Comemoração de Aniversário
achievement_12084_desc;Abra 3 barris durante a Comemoração de Aniversário
achievement_12085_desc;Abra 6 barris durante a Comemoração de Aniversário
achievement_12086_desc;Abra 10 barris durante a Comemoração de Aniversário
achievement_12088_desc;Envie boa partida durante a Comemoração de Aniversário
achievement_12089_desc;Envie boa partida 3 vezes durante a Comemoração de Aniversário
achievement_12090_desc;Envie boa partida 6 vezes durante a Comemoração de Aniversário
achievement_12091_desc;Envie boa partida 10 vezes durante a Comemoração de Aniversário
achievement_13005_desc;Ganhe 10 partidas com o visual do Lojø
achievement_13005_title;Adorável!
achievement_20001_desc;Jogue uma partida online em qualquer modo.
achievement_20001_title;Experimente, disseram
achievement_20002_desc;Jogue 5 partidas online em qualquer modo.
achievement_20002_title;Caiu como um patinho
achievement_20003_desc;Jogue 25 partidas online em qualquer modo.
achievement_20003_title;Chegou para ganhar
achievement_20004_desc;Jogue 100 partidas online em qualquer modo.
achievement_20004_title;Jovem comandante
achievement_20005_desc;Jogue 500 partidas online em qualquer modo.
achievement_20005_title;Conquistador
