_inputshopbuymultiple;ACHETER
achievement_10304_desc;Dépenser 20 000 poussières de météorite.
achievement_10304_title;De l'autre côté de l'arc-en-ciel
achievement_10400_desc;Dépenser 10 points de récompense.
achievement_10400_title;Marquage à l'encre
achievement_10401_desc;Dépenser 50 points de récompense.
achievement_10401_title;Petit Poucet
achievement_10402_desc;Dépenser 100 points de récompense.
achievement_10402_title;Le lien entre toutes choses
achievement_10403_desc;Dépenser 500 points de récompense.
achievement_10403_title;Écolo
achievement_10404_desc;Dépenser 1 000 points de récompense.
achievement_10404_title;Déduction
achievement_10501_desc;Révéler 10 cartes durant des parties en ligne.
achievement_10501_title;Cache-cache
achievement_10502_desc;Révéler 100 cartes durant des parties en ligne.
achievement_10502_title;Démasqué
achievement_10503_desc;Révéler 500 cartes durant des parties en ligne.
achievement_10503_title;Nulle part où se cacher
achievement_10504_desc;Révéler 1 000 cartes durant des parties en ligne.
achievement_10504_title;Omniscient
achievement_10505_desc;Donner 10 ordres à des unités durant des parties en ligne.
achievement_10505_title;Rangs serrés
achievement_10506_desc;Donner 100 ordres à des unités durant des parties en ligne.
achievement_10506_title;Gauche, droite, gauche, droite !
achievement_10507_desc;Donner 500 ordres à des unités durant des parties en ligne.
achievement_10507_title;Obéissance aveugle
achievement_10508_desc;Donner 1 000 ordres à des unités durant des parties en ligne.
achievement_10508_title;Suivez le chef
achievement_10509_desc;Détruire 10 unités non-humaines durant des parties en ligne.
achievement_10509_title;Stupeur et tremblements
achievement_10510_desc;Détruire 100 unités non-humaines durant des parties en ligne.
achievement_10510_title;C'est votre dernier mot ?
achievement_10511_desc;Détruire 1 000 unités non-humaines durant des parties en ligne.
achievement_10511_title;Humaniste
achievement_10512_desc;Contrôler 10 unités disposant de 10 points de force en même temps durant une partie en ligne.
achievement_10512_title;10 / 10
achievement_10513_desc;Remplir tout votre côté du plateau d'unités et/ou d'artefacts.
achievement_10513_title;Comme des sardines
achievement_10514_desc;Utiliser au moins 1 raillerie durant 10 parties en ligne différentes.
achievement_10514_title;Venez à moi
achievement_10515_desc;Utiliser au moins 1 raillerie durant 100 parties en ligne différentes.
achievement_10515_title;Alors, c'est tout ?
achievement_10516_desc;Utiliser au moins 1 raillerie durant 1 000 parties en ligne différentes.
achievement_10516_title;Je RUGIS !
achievement_10517_desc;Obtenir plus de 30 points en un seul tour durant une partie en ligne.
achievement_10517_title;Balancier
achievement_10518_desc;Infliger 10 points de dégâts à vos propres unités au cours de parties en ligne.
achievement_10518_title;Même pas mal
achievement_10519_desc;Infliger 100 points de dégâts à vos propres unités au cours de parties en ligne.
achievement_10519_title;On n'a rien sans rien
achievement_10520_desc;Infliger 1 000 points de dégâts à vos propres unités au cours de parties en ligne.
achievement_10520_title;Discipline et punition
achievement_10521_desc;Gagner une manche en remportant 100 points de plus que votre adversaire durant une partie en ligne.
achievement_10521_title;Excès de zèle
achievement_10522_desc;Remporter la première manche sans carte dans la main au cours d'une partie en ligne.
achievement_10522_title;Cartes sur table
achievement_10523_desc;Remporter une partie en ligne après avoir passé lors de la première manche avec 10 cartes en main.
achievement_10523_title;J'ai un plan
achievement_10524_desc;Remporter une partie en ligne après avoir utilisé tous vos choix de cartes durant la première manche.
achievement_10524_title;Les jeux sont faits
achievement_10525_desc;Détruire 5 ennemis ou plus en un seul tour durant une partie en ligne.
achievement_10525_title;Parfaite exécution
achievement_10526_desc;Piocher l'intégralité de votre jeu et gagner durant une partie en ligne.
achievement_10526_title;Jusqu'à la dernière goutte
achievement_10527_desc;Jouer 30 cartes Or au cours de parties en ligne.
achievement_10527_title;Je mise sur la qualité
achievement_10528_desc;Jouer 100 cartes Premium au cours de parties en ligne.
achievement_10528_title;Tout est dans le style
achievement_10529_desc;Remporter une partie sans détruire de cartes de votre adversaire.
achievement_10529_title;Pacifiste
achievement_10530_desc;Remporter la dernière manche alors qu'il ne reste aucune carte sur le plateau du côté de votre adversaire pendant une partie en ligne.
achievement_10530_title;Annihilation
achievement_10531_desc;Gagner une partie avec un jeu ayant un coût de recrutement inférieur ou égal à 100.
achievement_10531_title;Le Gwent du pauvre
achievement_10533_desc;Disposer d'au moins 5 attributs sur une seule unité pendant une partie en ligne.
achievement_10533_title;Transformation !
achievement_10534_desc;Remporter une partie en ligne en moins de 7 minutes.
achievement_10534_title;Veni, vidi, vici !
achievement_10536_desc;Jouer 1 000 cartes au cours de parties en ligne.
achievement_10536_title;Millénaire
achievement_10537_desc;Jouer 10 000 cartes au cours de parties en ligne.
achievement_10537_title;Château de cartes
achievement_10538_desc;Jouer 100 000 cartes au cours de parties en ligne.
achievement_10538_title;Croupier de l'extrême
achievement_10539_desc;Déclencher 10 capacités Baroud d'honneur au cours de parties en ligne.
achievement_10539_title;Frappe-moi !
achievement_10540_desc;Déclencher 100 capacités Baroud d'honneur au cours de parties en ligne.
achievement_10540_title;Sans pitié
achievement_10541_desc;Déclencher 1 000 capacités Baroud d'honneur au cours de parties en ligne.
achievement_10541_title;Sacrifice honorable
achievement_10542_desc;Incinérer une unité ayant au moins 50 points de force pendant une partie en ligne.
achievement_10542_title;Plus c'est gros…
achievement_10543_desc;Gagner une partie en ligne en ayant 0 carte en main à la fin de chaque manche.
achievement_10543_title;Tous les coups sont permis
achievement_10544_desc;Jouer 10 unités depuis votre cimetière au cours de parties en ligne.
achievement_10544_title;Méthodes peu orthodoxes
achievement_10545_desc;Jouer 100 unités depuis votre cimetière au cours de parties en ligne.
achievement_10545_title;Ce n'est qu'une égratignure
achievement_10546_desc;Jouer 1 000 unités depuis votre cimetière au cours de parties en ligne.
achievement_10546_title;Quelqu'un a demandé un docteur ?
achievement_10547_desc;Gagner une partie en ligne durant laquelle la force de l'une de vos unités est de 50 points ou plus.
achievement_10547_title;Musclor
achievement_10548_desc;Transformer une carte au cours d'une partie en ligne.
achievement_10548_title;Métamorphose
achievement_10549_desc;Gagner une partie en ligne en ayantdétruit au moins 3 unités avec 1 carte.
achievement_10549_title;Trinité
achievement_10550_desc;Remplacer un effet de ligne par un autre effet de ligne pendant une partie en ligne.
achievement_10550_title;Affronter les éléments
achievement_10551_title;Ravi de vous rencontrer
achievement_10552_title;On fait équipe ?
achievement_10553_title;Compagnons de guerre
achievement_10554_title;Des âmes sœurs
achievement_10555_title;Premier sang
achievement_10556_title;Carnage
achievement_10557_title;Massacre
achievement_10558_title;Bourreau
achievement_10559_title;Désintoxication
achievement_10560_title;État originel
achievement_10561_title;Produit non dilué
achievement_10562_title;Puriste
achievement_10563_title;Esprit agité
achievement_10564_title;Sous l'emprise de la rage
achievement_10565_title;Crise de démence
achievement_10566_title;RAAAARGHHH !!!
achievement_10567_title;Missionnaire
achievement_10568_title;Colon
achievement_10569_title;Colonisateur
achievement_10570_title;Imperium
achievement_10571_title;Salut, voisin !
achievement_10572_title;La force des différences
achievement_10573_title;L'union fait la force !
achievement_10574_title;Enfants de la nature
achievement_10575_title;Une simple sensation de piqûre
achievement_10576_title;Tache de sang
achievement_10577_title;Mare de sang
achievement_10578_title;Bain de sang pourpre
achievement_10579_title;Rondache
achievement_10580_title;Écu
achievement_10581_title;Pavois
achievement_10582_title;Mantelet
achievement_10583_title;Une goutte dans votre gobelet
achievement_10584_title;Spécialiste des venins
achievement_10585_title;Un goût mortel
achievement_10586_title;Poudre d'iocane
achievement_10587_title;Apte au service
achievement_10588_title;Dolce vita
achievement_10589_title;En parfaite santé
achievement_10590_title;Espérance de vie : élevée
achievement_10591_title;Vulnérable
achievement_10592_title;Sans défense
achievement_10593_title;Force brute
achievement_10594_title;Destructeur de bouclier
achievement_10595_desc;Détruire une unité empoisonnée sans lui infliger d'attribut Empoisonnement supplémentaire.
achievement_10595_title;Assassin infatigable
achievement_10596_desc;Gagner une partie en utilisant une capacité du Syndicat mais sans utiliser de piastre.
achievement_10596_title;L'argent ne fait pas le bonheur
achievement_10597_desc;Gagner une partie en utilisant une capacité du Syndicat et en disposant encore de 9 piastres à la fin de la partie.
achievement_10597_title;Poches bien remplies
achievement_10598_desc;Gagner une partie en utilisant une capacité du Syndicat et sans disposer d'aucune piastre à la fin de la partie.
achievement_10598_title;Jusqu'au dernier centime
achievement_10599_title;Dépensier
achievement_10600_title;Bouts de chandelle
achievement_10601_title;Pingre
achievement_10602_title;Avare
achievement_10603_title;Grigou
achievement_10604_title;Petite monnaie
achievement_10605_title;Bourse rebondie
achievement_10606_title;Investisseur
achievement_10607_title;Capital-risque
achievement_10608_title;Affranchi
achievement_10609_title;Privilèges du Syndicat
achievement_10610_title;Une offre que vous ne pourrez pas refuser
achievement_10611_title;Indemnité
achievement_10612_title;Tirelire
achievement_10613_title;Syllogomane
achievement_10614_title;Amasseur
achievement_10615_title;En cas de coup dur
achievement_10620_title;Avis de recherche
achievement_10621_title;Marqué
achievement_10622_title;Pourchassé
achievement_10623_title;Proie
achievement_10624_title;Premier versement
achievement_10625_title;Petite entreprise
achievement_10626_title;Nouveau riche
achievement_10627_title;Bulle financière
achievement_10628_title;Brute
achievement_10629_title;Gros bras
achievement_10630_title;Estafier
achievement_10631_title;Crapule
achievement_10634_desc;Ajouter de l'armure à des unités 10 fois.
achievement_10634_title;Chauffe
achievement_10635_desc;Ajouter de l'armure à des unités 100 fois.
achievement_10635_title;Refroidissement
achievement_10636_desc;Ajouter de l'armure à des unités 500 fois.
achievement_10636_title;Trempage
achievement_10637_desc;Ajouter de l'armure à des unités 1000 fois.
achievement_10637_title;Acier renforcé
achievement_10638_desc;Déclencher Barricade 10 fois.
achievement_10638_title;Barricade
achievement_10639_desc;Déclencher Barricade 100 fois.
achievement_10639_title;Avant-poste
achievement_10640_desc;Déclencher Barricade 500 fois.
achievement_10640_title;Fort
achievement_10641_desc;Déclencher Barricade 1000 fois.
achievement_10641_title;Château
achievement_10642_desc;Déclencher Exposée 10 fois.
achievement_10642_title;Ce n'est qu'une égratignure
achievement_10643_desc;Déclencher Exposée 100 fois.
achievement_10643_title;Une simple blessure
achievement_10644_desc;Déclencher Exposée 500 fois.
achievement_10644_title;Je suis invincible
achievement_10645_desc;Déclencher Exposée 1000 fois.
achievement_10645_title;Je vais t'arracher les jambes avec les dents
achievement_10646_desc;Jouer 5 fois le dernier niveau des cartes évolutives de Master Mirror.
achievement_10646_title;Escroc de niveau 1
achievement_10647_desc;Jouer 50 fois le dernier niveau des cartes évolutives de Master Mirror.
achievement_10647_title;Tueur à gages de niveau 10
achievement_10648_desc;Jouer 250 fois le dernier niveau des cartes évolutives de Master Mirror.
achievement_10648_title;Chef de niveau 30
achievement_10649_desc;Jouer 500 fois le dernier niveau des cartes évolutives de Master Mirror.
achievement_10649_title;Parrain de niveau 100
achievement_10650_desc;Infliger des dégâts avec Givre 25 fois.
achievement_10650_title;Frissons
achievement_10651_desc;Infliger des dégâts avec Givre 250 fois.
achievement_10651_title;Limonade glacée
achievement_10652_desc;Infliger des dégâts avec Givre 1250 fois.
achievement_10652_title;Vague de froid
achievement_10653_desc;Infliger des dégâts avec Givre 2500 fois.
achievement_10653_title;Ère glaciaire
achievement_10654_desc;Déclencher Conspiration 10 fois.
achievement_10654_title;Ce n'est qu'une théorie du complot !
achievement_10655_desc;Déclencher Conspiration 100 fois.
achievement_10655_title;Société du monde plat
achievement_10656_desc;Déclencher Conspiration 500 fois.
achievement_10656_title;Hommes en noir
achievement_10657_desc;Déclencher Conspiration 1000 fois.
achievement_10657_title;Nouvel ordre mondial
achievement_10658_desc;Générer 10 Sylvains errants.
achievement_10658_title;Écologiste
achievement_10659_desc;Générer 100 Sylvains errants.
achievement_10659_title;Enfant de Mère Nature
achievement_10660_desc;Générer 500 Sylvains errants.
achievement_10660_title;Marée verte
achievement_10661_desc;Générer 1000 Sylvains errants.
achievement_10661_title;La journée des sylvains
achievement_10662_desc;Générer 10 Volontaires.
achievement_10662_title;Escouade
achievement_10663_desc;Générer 100 Volontaires.
achievement_10663_title;Compagnie
achievement_10664_desc;Générer 500 Volontaires.
achievement_10664_title;Bataillon
achievement_10665_desc;Générer 1000 Volontaires.
achievement_10665_title;Brigade
achievement_10666_desc;Générer 10 Fantassins de la Rose-Ardente.
achievement_10666_title;Fantassin de la Rose-Ardente
achievement_10667_desc;Générer 100 Fantassins de la Rose-Ardente.
achievement_10667_title;Chevalier de la Rose-Ardente
achievement_10668_desc;Générer 500 Fantassins de la Rose-Ardente.
achievement_10668_title;Maréchal de la Rose-Ardente
achievement_10669_desc;Générer 1000 Fantassins de la Rose-Ardente.
achievement_10669_title;Grand maître de la Rose-Ardente
achievement_10670_desc;Déclencher le mot-clé Vétéran 10 fois.
achievement_10670_title;Esclave
achievement_10671_desc;Déclencher le mot-clé Vétéran 100 fois.
achievement_10671_title;Homme libre
achievement_10672_desc;Déclencher le mot-clé Vétéran 500 fois.
achievement_10672_title;Ceorl
achievement_10673_desc;Déclencher le mot-clé Vétéran 1000 fois.
achievement_10673_title;Housecarl
achievement_10674_desc;Jouer 10 sorceleurs.
achievement_10674_title;Enlèvement
achievement_10675_desc;Jouer 100 sorceleurs.
achievement_10675_title;Épreuve des herbes
achievement_10676_desc;Jouer 500 sorceleurs.
achievement_10676_title;Entraînement brutal
achievement_10677_desc;Jouer 1 000 sorceleurs.
achievement_10677_title;Je serai sorceleur en grandissant
achievement_10678_desc;Déclencher le mot-clé Adrénaline 10 fois.
achievement_10678_title;Poussée d'adrénaline
achievement_10679_desc;Déclencher le mot-clé Adrénaline 100 fois.
achievement_10679_title;Accro à l'adrénaline
achievement_10680_desc;Déclencher le mot-clé Adrénaline 500 fois.
achievement_10680_title;Piqûre d'adrénaline
achievement_10681_desc;Déclencher le mot-clé Adrénaline 1000 fois.
achievement_10681_title;On se calme
achievement_10682_desc;Déclencher le mot-clé Sabbat 10 fois.
achievement_10682_title;Paranoïa
achievement_10683_desc;Déclencher le mot-clé Sabbat 100 fois.
achievement_10683_title;Vierge de fer
achievement_10684_desc;Déclencher le mot-clé Sabbat 500 fois.
achievement_10684_title;Sanglier militaire
achievement_10685_desc;Déclencher le mot-clé Sabbat 1000 fois.
achievement_10685_title;"Et c'est nous qui l'avons tué"
achievement_10686_desc;Déclencher le mot-clé Patience 10 fois.
achievement_10686_title;... est une vertu
achievement_10687_desc;Déclencher le mot-clé Patience 100 fois.
achievement_10687_title;Maîtrise de soi
achievement_10688_desc;Déclencher le mot-clé Patience 500 fois.
achievement_10688_title;Celui qui perd patience a perdu la bataille
achievement_10689_desc;Déclencher le mot-clé Patience 1 000 fois.
achievement_10689_title;Une forme mineure de désespoir
achievement_10690_desc;Jouer 5 parties en utilisant au moins une carte de l'ensemble Uroboros.
achievement_10690_title;Griffe et poignard
achievement_10691_desc;Jouer 10 parties en utilisant au moins une carte de l'ensemble Uroboros.
achievement_10691_title;Élaboration du plan
achievement_10692_desc;Jouer 20 parties en utilisant au moins une carte de l'ensemble Uroboros.
achievement_10692_title;Plan B
achievement_10693_desc;Jouer 30 parties en utilisant au moins une carte de l'ensemble Uroboros.
achievement_10693_title;Prêt à en découdre
achievement_11000_desc;Gagner {0} parties avec un jeu des Monstres durant le défi actif.
achievement_11000_new_desc;Gagner {0} parties avec les Monstres durant le défi actif.
achievement_11001_desc;Terminer 3 quêtes en soutenant les Monstres durant un événement de défi.
achievement_11001_title;Serviteur
achievement_11002_desc;Terminer 5 quêtes en soutenant les Monstres durant un événement de défi.
achievement_11002_title;Apprenti
achievement_11003_desc;Terminer 10 quêtes en soutenant les Monstres durant un événement de défi.
achievement_11003_title;Acolyte
achievement_11004_desc;Terminer 15 quêtes en soutenant les Monstres durant un événement de défi.
achievement_11004_title;Thuriféraire
achievement_11005_desc;Terminer 25 quêtes en soutenant les Monstres durant un événement de défi.
achievement_11005_title;Colosse
achievement_11010_desc;Gagner {0} parties avec un jeu de Skellige durant le défi actif.
achievement_11010_new_desc;Gagner {0} parties avec Skellige durant le défi actif.
achievement_11011_desc;Terminer 3 quêtes en soutenant Skellige durant un événement de défi.
achievement_11011_title;Attaquant
achievement_11012_desc;Terminer 5 quêtes en soutenant Skellige durant un événement de défi.
achievement_11012_title;Hors-la-loi
achievement_11013_desc;Terminer 10 quêtes en soutenant Skellige durant un événement de défi.
achievement_11013_title;Pillard
achievement_11014_desc;Terminer 15 quêtes en soutenant Skellige durant un événement de défi.
achievement_11014_title;Second
achievement_11015_desc;Terminer 25 quêtes en soutenant Skellige durant un événement de défi.
achievement_11015_title;Capitaine pirate
achievement_11020_desc;Gagner {0} parties avec un jeu des Royaumes du Nord durant le défi actif.
achievement_11020_new_desc;Gagner {0} parties avec les Royaumes du Nord durant le défi actif.
achievement_11021_desc;Terminer 3 quêtes en soutenant les Royaumes du Nord durant un événement de défi.
achievement_11021_title;Recrue
achievement_11022_desc;Terminer 5 quêtes en soutenant les Royaumes du Nord durant un événement de défi.
achievement_11022_title;Lieutenant
achievement_11023_desc;Terminer 10 quêtes en soutenant les Royaumes du Nord durant un événement de défi.
achievement_11023_title;Loyaliste
achievement_11024_desc;Terminer 15 quêtes en soutenant les Royaumes du Nord durant un événement de défi.
achievement_11024_title;Patriote
achievement_11025_desc;Terminer 25 quêtes en soutenant les Royaumes du Nord durant un événement de défi.
achievement_11025_title;Pour le roi et la patrie
achievement_11030_desc;Gagner {0} parties avec un jeu du Nilfgaard durant le défi actif.
achievement_11030_new_desc;Gagner {0} parties avec le Nilfgaard durant le défi actif.
achievement_11031_desc;Terminer 3 quêtes en soutenant le Nilfgaard durant un événement de défi.
achievement_11031_title;Espion
achievement_11032_desc;Terminer 5 quêtes en soutenant le Nilfgaard durant un événement de défi.
achievement_11032_title;Assassin
achievement_11033_desc;Terminer 10 quêtes en soutenant le Nilfgaard durant un événement de défi.
achievement_11033_title;Traître
achievement_11034_desc;Terminer 15 quêtes en soutenant le Nilfgaard durant un événement de défi.
achievement_11034_title;Maître-espion
achievement_11035_desc;Terminer 25 quêtes en soutenant le Nilfgaard durant un événement de défi.
achievement_11035_title;Volonté de l'empereur
achievement_11040_desc;Gagner {0} parties avec un jeu des Scoia'tael durant le défi actif.
achievement_11040_new_desc;Gagner {0} parties avec les Scoia'tael durant le défi actif.
achievement_11041_desc;Terminer 3 quêtes en soutenant les Scoia'tael durant un événement de défi.
achievement_11041_title;Insurgé
achievement_11042_desc;Terminer 5 quêtes en soutenant les Scoia'tael durant un événement de défi.
achievement_11042_title;Coupe-jarret
achievement_11043_desc;Terminer 10 quêtes en soutenant les Scoia'tael durant un événement de défi.
achievement_11043_title;Révolutionnaire
achievement_11044_desc;Terminer 15 quêtes en soutenant les Scoia'tael durant un événement de défi.
achievement_11044_title;Fanatique
achievement_11045_desc;Terminer 25 quêtes en soutenant les Scoia'tael durant un événement de défi.
achievement_11045_title;Chef de commando
achievement_11050_desc;Gagner {0} parties avec un jeu du Syndicat durant le défi actif.
achievement_11050_new_desc;Gagner {0} parties avec le Syndicat durant le défi actif.
achievement_11051_title;Petite main
achievement_11052_title;Escroc
achievement_11053_title;Lieutenant
achievement_11054_title;Bras droit
achievement_11055_title;Grand chef
achievement_11060_desc;Terminer {0} quêtes de défi.
achievement_11060_new_desc;Terminer {0} quêtes de défi.
achievement_11061_title;Aide à louer !
achievement_11062_title;Médiateur
achievement_11063_title;Travailleur indépendant
achievement_11064_title;Mercenaire
achievement_11065_title;Soldat de fortune
achievement_11066_desc;Améliorer Shani jusqu'à 20 points.
achievement_11066_title;Avec l'amour de Radovid
achievement_12001_desc;Gagner 1 partie en ayant équipé le plateau du pont sur la Iaruga.
achievement_12001_title;Bataille du pont sur la Iaruga
achievement_12002_desc;Gagner 15 parties en ayant équipé le plateau du pont sur la Iaruga.
achievement_12002_title;Pour la Lyrie !
achievement_12003_desc;Gagner 50 parties en ayant équipé le plateau du pont sur la Iaruga.
achievement_12003_title;Maître de siège
achievement_12005_desc;Terminer 1 quête quotidienne lors de la Fête d'anniversaire de Ciri et Yennefer.
achievement_12005_title;Que la fête commence !
achievement_12006_desc;Terminer 2 quêtes quotidiennes lors de la Fête d'anniversaire de Ciri et Yennefer.
achievement_12006_title;Faites un vœu !
achievement_12007_desc;Terminer 3 quêtes quotidiennes lors de la Fête d'anniversaire de Ciri et Yennefer.
achievement_12007_title;Joyeux anniversaire !
achievement_12009_title;Jette un sou au sorceleur
achievement_12009_title_alt;Le signe du sorceleur
achievement_12009_title_alt_2;Jette un sou au Loup
achievement_12010_title;Jette un sou à la princesse
achievement_12010_title_alt;Le signe de la princesse
achievement_12011_title;Jette un sou à la magicienne
achievement_12011_title_alt;Le signe de la magicienne
achievement_12013_title;Un simple mercenaire
achievement_12014_title;Pas qu'un simple mercenaire
achievement_12015_title;Pas n'importe quel mercenaire
achievement_12017_title;Pour le plaisir du jeu
achievement_12024_title;Le grand mélange
achievement_12028_title;Le plus grand des mélanges
achievement_12030_desc;Ouvrir un baril
achievement_12030_title;Ouverture d'un baril en or
achievement_12035_title;Félicitations d'hommage
achievement_12040_desc;Gagner 1 partie en ayant équipé la tenue de Gascon.
achievement_12040_title;Pour les Brossard !
achievement_12041_desc;Gagner 15 parties en ayant équipé la tenue de Gascon.
achievement_12041_title;Pour les chiens errants de Spalla !
achievement_12042_desc;Gagner 50 parties en ayant équipé la tenue de Gascon.
achievement_12042_title;Pour le duc des chiens !
achievement_12044_title;Grand méchant chapeau rouge
achievement_12045_title;Sucreries en folie
achievement_12047_desc;Gagner 1 partie durant les célébrations de l'anniversaire.
achievement_12047_title;Oh, un gâteau !
achievement_12048_desc;Gagner 3 parties durant les célébrations de l'anniversaire.
achievement_12048_title;Le doux goût de la victoire
achievement_12049_desc;Gagner 6 parties durant les célébrations de l'anniversaire.
achievement_12049_title;D'accord, juste un dernier
achievement_12050_desc;Gagner 15 parties durant les célébrations de l'anniversaire.
achievement_12050_title;Mangez-les tous !
achievement_12052_desc;Terminer 1 quête quotidienne durant les célébrations de l'anniversaire.
achievement_12052_title;Attention !
achievement_12053_desc;Terminer 3 quêtes quotidiennes durant les célébrations de l'anniversaire.
achievement_12053_title;Prêt !
achievement_12054_desc;Terminer 7 quêtes quotidiennes durant les célébrations de l'anniversaire.
achievement_12054_title;Faites la fête !
achievement_12056_desc;Jouer 1 partie avec les Monstres durant les célébrations de l'anniversaire.
achievement_12056_title;Célébrations des Monstres !
achievement_12057_desc;Jouer 3 parties avec les Monstres durant les célébrations de l'anniversaire.
achievement_12057_title;Du sang ou du vin ?
achievement_12058_desc;Jouer 5 parties avec les Monstres durant les célébrations de l'anniversaire.
achievement_12058_title;Le sang file quand on s'amuse
achievement_12060_desc;Jouer 1 partie avec le Nilfgaard durant les célébrations de l'anniversaire.
achievement_12060_title;Célébrations du Nilfgaard !
achievement_12061_desc;Jouer 3 parties avec le Nilfgaard durant les célébrations de l'anniversaire.
achievement_12061_title;Et pourquoi pas ?
achievement_12062_desc;Jouer 5 parties avec le Nilfgaard durant les célébrations de l'anniversaire.
achievement_12062_title;L'âge ne compte pas, ce soir
achievement_12064_desc;Jouer 1 partie avec les Scoia'tael durant les célébrations de l'anniversaire.
achievement_12064_title;Célébrations des Scoia'tael !
achievement_12065_desc;Jouer 3 parties avec les Scoia'tael durant les célébrations de l'anniversaire.
achievement_12065_title;Trinquons
achievement_12066_desc;Jouer 5 parties avec les Scoia'tael durant les célébrations de l'anniversaire.
achievement_12066_title;L'union fait la force
achievement_12068_desc;Jouer 1 partie avec Skellige durant les célébrations de l'anniversaire.
achievement_12068_title;Célébrations de Skellige !
achievement_12069_desc;Jouer 3 parties avec Skellige durant les célébrations de l'anniversaire.
achievement_12069_title;La nuit est à nous
achievement_12070_desc;Jouer 5 parties avec Skellige durant les célébrations de l'anniversaire.
achievement_12070_title;Fête en mer
achievement_12072_desc;Jouer 1 partie avec les Royaumes du Nord durant les célébrations de l'anniversaire.
achievement_12072_title;Célébrations des Royaumes du Nord !
achievement_12073_desc;Jouer 3 parties avec les Royaumes du Nord durant les célébrations de l'anniversaire.
achievement_12073_title;Qu'y a-t-il dans un nom ?
achievement_12074_desc;Jouer 5 parties avec les Royaumes du Nord durant les célébrations de l'anniversaire.
achievement_12074_title;Bonne humeur et bonne chère
achievement_12076_desc;Jouer 1 partie avec le Syndicat durant les célébrations de l'anniversaire.
achievement_12076_title;Célébrations du Syndicat !
achievement_12077_desc;Jouer 3 parties avec le Syndicat durant les célébrations de l'anniversaire.
achievement_12077_title;La formule du bon temps
achievement_12078_desc;Jouer 5 parties avec le Syndicat durant les célébrations de l'anniversaire.
